symbol,investment,profit,roi
A,627.3826859999999,47.57712500000001,7.58
AA,1368.0828419999998,-51.735261000000065,-3.78
AAIC,1501.1900010000002,86.19999299999998,5.74
AAN,0,0,NaN
AAP,1408.323331,156.843317,11.14
AAT,186.759998,6.670005999999987,3.57
AB,641.7999980000001,52.487497999999995,8.18
ABB,182.70999999999998,44.409997000000004,24.31
ABBV,552.930008,54.92998499999999,9.93
ABC,780.500927,124.84594399999999,16.00
ABEV,44.5986,2.6477999999999984,5.94
ABG,371.420002,-27.77000000000001,-7.48
ABM,515.043752,8.354991000000005,1.62
ABR,107.76,3.629998999999998,3.37
ABT,493.669271,80.334247,16.27
AC,228.205876,-20.629661,-9.04
ACA,45.220001,-5.950001,-13.16
ACB,184.716,29.951997000000013,16.22
ACC,448.179997,19.400010999999978,4.33
ACCO,175.029999,-12.729998000000007,-7.27
ACEL,33.150000000000006,-3.7699999999999996,-11.37
ACH,250.832499,13.652499000000002,5.44
ACI,0,0,NaN
ACIC,0,0,NaN
ACM,553.730002,-32.47999899999998,-5.87
ACN,675.830009,160.52998499999998,23.75
ACND,0,0,NaN
ACP,92.85390199999999,-3.425246999999999,-3.69
ACRE,90.59,-7.040000000000003,-7.77
ACV,84.329997,15.160002999999993,17.98
ADC,464.63500100000005,40.482495000000014,8.71
ADCT,0,0,NaN
ADM,628.716671,9.552341000000013,1.52
ADNT,49.48,9.170002000000004,18.53
ADS,1687.449993,-64.87998999999998,-3.84
ADT,23.380000000000003,-2.660000000000001,-11.38
ADX,260.728336,1.239999000000001,0.48
AEB,294.890001,-14.35000500000001,-4.87
AEE,873.130001,14.81749600000002,1.70
AEFC,0,0,NaN
AEG,193.954904,27.364321999999994,14.11
AEL,222.98000000000002,16.630000999999993,7.46
AEM,1063.075008,-46.10126299999996,-4.34
AENZ,24.14,-2.950000000000001,-12.22
AEO,203.37194399999998,17.21823599999999,8.47
AER,248.56999499999998,32.010006000000004,12.88
AES,227.73188399999998,34.118116,14.98
AFB,148.89999999999998,-0.5500000000000078,-0.37
AFC,290.02000300000003,-14.629994000000035,-5.04
AFG,573.645,58.24000600000002,10.15
AFGB,0,0,NaN
AFGC,0,0,NaN
AFGD,0,0,NaN
AFGE,0,0,NaN
AFI,22.240001,-2.3400019999999992,-10.52
AFL,451.11312399999997,-1.2524939999999916,-0.28
AFT,98.03999800000001,-2.8499980000000065,-2.91
AG,94.64999900000001,6.630000000000003,7.00
AGCB,0,0,NaN
AGCO,800.2374990000002,45.72749999999999,5.71
AGD,170.00999799999997,-11.369999000000002,-6.69
AGI,120.77000299999997,-11.700002999999993,-9.69
AGM,806.349998,-13.353336999999996,-1.66
AGO,336.650001,-5.850005999999993,-1.74
AGR,346.500005,-38.55001,-11.13
AGRO,94.94000000000001,-7.3,-7.69
AGS,33.31,-3.539998999999998,-10.63
AGX,316.75062399999996,8.791259000000004,2.78
AHC,24.62,6.839999999999999,27.78
AHH,79.11999999999999,-4.109999999999992,-5.19
AHT,537.332267,6.232978999999986,1.16
AI,0,0,NaN
AIC,117.880999,-11.133998999999992,-9.45
AIF,76.38,-3.17,-4.15
AIG,9333.696155999998,418.447969,4.48
AIN,866.1944370000001,-8.021493000000007,-0.93
AIO,0,0,NaN
AIR,425.14082899999994,7.010007999999999,1.65
AIRC,0,0,NaN
AIT,625.996227,24.946970999999998,3.99
AIV,75.977211,6.181790000000004,8.14
AIW,168.120001,-15.720003999999996,-9.35
AIZ,880.999991,-19.43999699999995,-2.21
AIZN,0,0,NaN
AIZP,231.809998,-6.029999999999987,-2.60
AJAX,0,0,NaN
AJG,590.271254,54.81749700000002,9.29
AJRD,243.180469,10.769061999999998,4.43
AJX,65.41,-7.139999999999995,-10.92
AJXA,75.49,-12.830001,-17.00
AKR,352.229998,-0.7049969999999988,-0.20
AL,211.309996,2.5000050000000087,1.18
ALB,752.2862490000001,133.51250199999998,17.75
ALC,186.02999799999998,-1.089999000000006,-0.59
ALE,1245.157506,77.44749200000001,6.22
ALEX,211.96999899999997,-29.59,-13.96
ALG,753.484993,154.80999699999995,20.55
ALK,542.2418700000001,23.883132999999994,4.40
ALL,780.667496,74.82750199999998,9.59
ALLE,481.47999500000003,-5.919996000000012,-1.23
ALLY,138.88,8.530002000000003,6.14
ALSN,210.259998,-1.250000000000007,-0.59
ALTG,8.53,-1.1799999999999997,-13.83
ALUS,0,0,NaN
ALV,1040.040708,3.0269290000000098,0.29
ALX,6848.717476,26.942419999999913,0.39
AM,33.07,-3.6499999999999986,-11.04
AMBC,120.25999900000001,-10.929996999999998,-9.09
AMC,53.75,0.6800010000000007,1.27
AMCR,83.23,-5.210000000000001,-6.26
AME,487.465556,58.14146800000002,11.93
AMG,676.50334,192.36332099999998,28.43
AMH,106.209999,1.510002,1.42
AMK,28.24,-3.119999,-11.05
AMN,394.159998,33.910005000000005,8.60
AMOV,191.533334,16.375,8.55
AMP,691.429988,131.27002299999998,18.99
AMPY,116.329999,-15.130001000000002,-13.01
AMRC,58.25,52.120000000000005,89.48
AMRX,4.83,0.08000000000000007,1.66
AMT,653.9474939999999,143.06750399999999,21.88
AMWL,0,0,NaN
AMX,193.085001,15.403330000000004,7.98
AN,539.669996,53.855005999999996,9.98
ANET,1246.0700009999998,-50.91002000000003,-4.09
ANF,635.3774930000002,-21.537489000000004,-3.39
ANH,92.15749999999998,0.2675000000000076,0.29
ANTM,2157.975017,73.29498299999989,3.40
AOD,100.66999999999999,-6.170000000000007,-6.13
AON,973.43111,130.19490799999997,13.37
AONE,0,0,NaN
AOS,238.46180399999997,51.412777999999996,21.56
AP,517.515004,-49.88250700000002,-9.64
APAM,149.539999,11.399999000000001,7.62
APD,1804.941699,210.53408900000005,11.66
APG,0,0,NaN
APH,440.640937,58.616411000000014,13.30
APLE,88.53999999999999,-8.339999999999998,-9.42
APO,158.05999799999998,15.460001000000005,9.78
APRN,22.31,-3.1599999999999984,-14.16
APSG,0,0,NaN
APTS,80.450001,5.369998999999998,6.67
APTV,383.535591,48.765752000000006,12.71
AQN,56.74,7.450000999999997,13.13
AQNA,27.83,0.18000000000000327,0.65
AQNB,27.200001,0.9100000000000001,3.35
AQUA,33.76,-7.179998999999999,-21.27
AR,113.71000000000001,-8.990001999999995,-7.91
ARC,57.959999999999994,-3.080000000000004,-5.31
ARCH,381.66000699999995,-14.960009999999983,-3.92
ARCO,33.57,-3.420000000000001,-10.19
ARD,31.840001,-2.4500009999999968,-7.69
ARDC,58.17,-0.5800000000000001,-1.00
ARE,1538.8075029999998,19.01500200000001,1.24
ARES,80.930001,21.079997,26.05
ARGD,176.350002,-19.720002999999984,-11.18
ARGO,726.8126399999999,27.56298799999999,3.79
ARI,148.74999899999997,-6.529999999999999,-4.39
ARL,215.76750000000004,-9.681249999999991,-4.49
ARLO,6,-0.6799999999999997,-11.33
ARMK,206.59000100000003,-3.4200050000000104,-1.66
ARNC,0,0,NaN
AROC,146.04,7.690000000000001,5.27
ARR,359.390003,-36.17999900000001,-10.07
ARW,830.712499,44.947502,5.41
ASA,377.77250100000003,3.1266639999999946,0.83
ASAN,0,0,NaN
ASAQ,0,0,NaN
ASB,446.8601759999999,17.023558999999985,3.81
ASC,88.55000000000001,-9.679999999999996,-10.93
ASG,164.715,-5.0275,-3.05
ASGI,0,0,NaN
ASGN,396.587504,43.284366,10.91
ASH,781.906514,15.986351999999997,2.04
ASIX,17.610001,5.559999000000001,31.57
ASPL,0,0,NaN
ASPN,57.93,4.799999999999994,8.29
ASR,1444.649978,136.87001900000004,9.47
ASX,73.38469399999998,-1.5457500000000017,-2.11
AT,61.55000000000001,-7.76,-12.61
ATA,0,0,NaN
ATAC,0,0,NaN
ATCO,92.70999900000001,-1.2200000000000024,-1.32
ATEN,56.91,-7.04,-12.37
ATGE,525.7518769999999,39.14311499999999,7.45
ATH,224.469998,-21.230001,-9.46
ATHM,433.92999999999995,0.6599910000000193,0.15
ATI,351.609993,-18.829993999999985,-5.36
ATKR,107.91,5.969999000000001,5.53
ATO,611.6433340000001,62.61916200000001,10.24
ATR,921.257501,64.03500100000002,6.95
ATTO,109.060806,4.009999999999998,3.68
ATUS,48.66,5.180000000000003,10.65
AU,645.5225069999999,-15.942505000000008,-2.47
AUY,119.19000100000002,-8.480001000000001,-7.11
AVA,493.78749899999997,37.102496,7.51
AVAL,63.82000000000001,-5.11,-8.01
AVAN,0,0,NaN
AVB,1456.535017,71.57499500000006,4.91
