Date,Open,High,Low,Close,Adj Close,Volume
2003-12-04,9.000000,9.350000,9.000000,9.050000,7.809927,4599300
2003-12-05,9.050000,9.590000,9.050000,9.420000,8.129226,3632000
2003-12-08,9.400000,9.610000,9.250000,9.350000,8.068818,251300
2003-12-09,9.450000,9.480000,9.090000,9.130000,7.878964,404600
2003-12-10,9.150000,9.210000,9.020000,9.100000,7.853074,180800
2003-12-11,9.130000,9.240000,9.050000,9.080000,7.835814,272900
2003-12-12,9.070000,9.100000,8.550000,9.100000,7.853074,304300
2003-12-15,9.060000,9.060000,9.000000,9.010000,7.775404,293000
2003-12-16,9.060000,9.100000,9.010000,9.020000,7.784036,53600
2003-12-17,9.020000,9.140000,9.010000,9.080000,7.844513,81900
2003-12-18,9.100000,9.180000,9.080000,9.120000,7.879068,97700
2003-12-19,9.100000,9.230000,9.080000,9.200000,7.948184,169400
2003-12-22,9.200000,9.320000,9.170000,9.200000,7.948184,90700
2003-12-23,9.200000,9.310000,9.160000,9.200000,7.948184,181800
2003-12-24,9.170000,9.250000,9.100000,9.230000,7.974102,43300
2003-12-26,9.250000,9.580000,9.210000,9.450000,8.164167,115300
2003-12-29,9.470000,9.650000,9.350000,9.400000,8.120970,159300
2003-12-30,9.400000,9.780000,9.340000,9.670000,8.354231,266000
2003-12-31,9.770000,10.300000,9.770000,9.970000,8.613412,756600
2004-01-02,10.050000,10.400000,10.050000,10.230000,8.838035,161800
2004-01-05,10.300000,10.620000,10.070000,10.400000,8.984902,244800
2004-01-06,10.500000,10.900000,10.400000,10.700000,9.244082,373800
2004-01-07,10.700000,10.780000,10.600000,10.710000,9.252723,183900
2004-01-08,10.810000,11.240000,10.660000,11.230000,9.701966,409600
2004-01-09,11.210000,11.800000,11.050000,11.590000,10.012981,524100
2004-01-12,11.750000,11.780000,10.850000,11.200000,9.676048,298600
2004-01-13,11.160000,11.270000,10.800000,10.950000,9.460066,197700
2004-01-14,11.050000,11.350000,10.720000,11.300000,9.762444,223200
2004-01-15,11.550000,12.050000,11.350000,11.780000,10.177132,695600
2004-01-16,11.880000,11.900000,11.550000,11.580000,10.004343,168100
2004-01-20,11.620000,11.620000,11.240000,11.510000,9.943868,192800
2004-01-21,11.540000,11.970000,11.430000,11.840000,10.228967,363300
2004-01-22,12.150000,12.150000,11.830000,12.030000,10.393112,523700
2004-01-23,12.130000,12.640000,12.100000,12.250000,10.583179,516800
2004-01-26,12.350000,12.700000,12.340000,12.600000,10.885554,538500
2004-01-27,12.700000,12.700000,12.200000,12.300000,10.626375,243000
2004-01-28,12.320000,12.480000,11.900000,12.480000,10.781881,293100
2004-01-29,12.580000,12.580000,11.750000,12.090000,10.444949,321100
2004-01-30,12.180000,12.180000,11.850000,11.950000,10.323997,223700
2004-02-02,12.000000,12.150000,11.950000,12.100000,10.453589,138400
2004-02-03,12.100000,12.150000,11.850000,11.850000,10.237606,117100
2004-02-04,11.870000,12.050000,11.500000,12.020000,10.384476,179100
2004-02-05,11.980000,12.100000,11.750000,11.790000,10.185769,153000
2004-02-06,11.850000,12.290000,11.850000,11.990000,10.358554,312900
2004-02-09,11.990000,12.000000,11.900000,11.950000,10.323997,109900
2004-02-10,11.950000,11.980000,11.880000,11.880000,10.263524,87200
2004-02-11,11.930000,12.000000,11.880000,11.970000,10.341277,90800
2004-02-12,11.900000,12.100000,11.900000,11.990000,10.358554,84800
2004-02-13,11.890000,11.950000,11.800000,11.880000,10.263524,76300
2004-02-17,11.920000,12.000000,11.840000,11.890000,10.272162,65900
2004-02-18,11.800000,11.800000,11.620000,11.710000,10.116656,146300
2004-02-19,11.750000,11.750000,11.500000,11.610000,10.030260,207600
2004-02-20,11.660000,11.700000,11.500000,11.500000,9.935230,122000
2004-02-23,11.540000,11.560000,11.450000,11.530000,9.961147,72500
2004-02-24,11.510000,12.150000,11.500000,12.050000,10.410392,101100
2004-02-25,12.000000,12.000000,11.850000,11.900000,10.280801,103100
2004-02-26,11.900000,11.930000,11.800000,11.910000,10.289442,54300
2004-02-27,11.960000,12.300000,11.960000,12.140000,10.488147,294400
2004-03-01,12.450000,12.550000,12.210000,12.300000,10.626375,317300
2004-03-02,12.170000,12.240000,11.850000,11.850000,10.237606,200800
2004-03-03,11.850000,12.350000,11.750000,12.240000,10.574539,242200
2004-03-04,12.480000,12.600000,12.200000,12.350000,10.669573,169200
2004-03-05,12.350000,12.500000,12.340000,12.450000,10.755966,128500
2004-03-08,12.700000,12.750000,12.210000,12.450000,10.755966,157600
2004-03-09,12.370000,12.500000,12.280000,12.370000,10.686851,156100
2004-03-10,12.320000,12.400000,12.200000,12.380000,10.695491,479300
2004-03-11,12.260000,12.400000,12.100000,12.250000,10.583179,84300
2004-03-12,12.180000,12.600000,12.180000,12.460000,10.764606,245500
2004-03-15,12.700000,12.740000,12.380000,12.380000,10.695491,155600
2004-03-16,12.400000,12.440000,12.310000,12.380000,10.695491,184800
2004-03-17,12.480000,12.540000,12.250000,12.270000,10.600458,62200
2004-03-18,12.320000,12.500000,12.300000,12.450000,10.755966,170700
2004-03-19,12.450000,12.450000,12.270000,12.270000,10.600458,42800
2004-03-22,12.350000,12.650000,12.270000,12.650000,10.928752,129800
2004-03-23,12.550000,13.150000,12.310000,12.400000,10.712769,523500
2004-03-24,12.450000,12.890000,12.450000,12.570000,10.859636,121400
2004-03-25,12.550000,12.620000,12.270000,12.500000,10.799160,86500
2004-03-26,12.450000,12.710000,12.450000,12.650000,10.928752,198200
2004-03-29,12.750000,12.890000,12.550000,12.630000,10.911475,172000
2004-03-30,12.730000,12.900000,12.700000,12.810000,11.066979,161000
2004-03-31,12.910000,13.010000,12.840000,12.850000,11.101539,109700
2004-04-01,12.800000,12.800000,12.620000,12.650000,10.928752,76800
2004-04-02,12.700000,12.950000,12.700000,12.950000,11.187931,59100
2004-04-05,13.050000,13.100000,12.640000,12.650000,10.928752,106900
2004-04-06,12.400000,12.650000,12.300000,12.400000,10.712769,189000
2004-04-07,12.350000,12.630000,12.350000,12.600000,10.885554,35300
2004-04-08,12.650000,12.650000,12.520000,12.620000,10.902834,58200
2004-04-12,12.620000,12.620000,12.540000,12.550000,10.842358,36500
2004-04-13,12.580000,12.640000,12.460000,12.480000,10.781881,66900
2004-04-14,12.480000,12.500000,12.330000,12.400000,10.712769,263400
2004-04-15,12.450000,12.560000,12.350000,12.450000,10.755966,210800
2004-04-16,12.450000,12.500000,12.270000,12.480000,10.781881,161500
2004-04-19,12.530000,12.650000,12.470000,12.580000,10.868277,116700
2004-04-20,12.650000,12.680000,12.200000,12.420000,10.730045,74200
2004-04-21,12.430000,12.450000,12.330000,12.450000,10.755966,49400
2004-04-22,12.370000,12.490000,12.120000,12.460000,10.764606,177500
2004-04-23,12.400000,12.600000,12.400000,12.600000,10.885554,171200
2004-04-26,12.690000,12.690000,11.550000,12.060000,10.419031,329400
2004-04-27,12.200000,12.200000,11.800000,11.950000,10.323997,301000
2004-04-28,11.850000,11.850000,11.560000,11.640000,10.056179,141900
2004-04-29,11.500000,11.640000,10.900000,11.500000,9.935230,242600
2004-04-30,11.400000,11.420000,10.950000,11.250000,9.719245,393200
2004-05-03,11.150000,11.560000,11.140000,11.500000,9.935230,222900
2004-05-04,11.500000,11.500000,11.070000,11.090000,9.581017,391500
2004-05-05,11.100000,11.270000,11.080000,11.250000,9.719245,131500
2004-05-06,11.300000,11.450000,11.000000,11.360000,9.814279,187700
2004-05-07,11.360000,11.470000,11.270000,11.270000,9.736524,142300
2004-05-10,11.170000,11.200000,10.950000,11.000000,9.503263,183100
2004-05-11,11.050000,11.560000,11.000000,11.560000,9.987065,98800
2004-05-12,11.580000,11.680000,11.380000,11.440000,9.883392,72900
2004-05-13,11.470000,11.500000,11.320000,11.400000,9.848835,34700
2004-05-14,11.450000,11.450000,11.170000,11.200000,9.676048,48400
2004-05-17,11.200000,11.200000,10.120000,10.160000,8.777559,461800
2004-05-18,10.140000,10.290000,9.750000,9.900000,8.552936,540700
2004-05-19,9.930000,9.950000,9.900000,9.900000,8.552936,170800
2004-05-20,9.950000,10.080000,9.920000,10.050000,8.682528,477200
2004-05-21,10.070000,10.220000,9.880000,10.100000,8.725723,259800
2004-05-24,10.000000,10.050000,9.960000,10.000000,8.639330,103400
2004-05-25,10.050000,10.050000,9.960000,10.000000,8.639330,115600
2004-05-26,9.950000,10.090000,9.920000,9.950000,8.596134,218900
2004-05-27,9.980000,10.350000,9.950000,10.150000,8.768919,500400
2004-05-28,10.250000,10.850000,10.230000,10.620000,9.174968,229500
2004-06-01,10.650000,11.130000,10.650000,11.130000,9.615574,286500
2004-06-02,11.180000,11.310000,11.000000,11.120000,9.606936,120200
2004-06-03,11.160000,11.220000,10.950000,10.950000,9.460066,114900
2004-06-04,10.900000,11.100000,10.860000,10.980000,9.485984,154900
2004-06-07,10.980000,11.070000,10.980000,11.040000,9.537819,119100
2004-06-08,11.040000,11.090000,10.810000,11.000000,9.503263,270700
2004-06-09,11.000000,11.040000,10.960000,10.970000,9.477346,67500
2004-06-10,10.980000,11.030000,10.850000,10.990000,9.494623,485300
2004-06-14,10.800000,10.900000,10.800000,10.900000,9.416871,77200
2004-06-15,10.800000,11.180000,10.800000,11.100000,9.589658,235700
2004-06-16,11.150000,11.350000,11.030000,11.220000,9.693329,184900
2004-06-17,11.320000,11.320000,11.100000,11.170000,9.650130,594200
2004-06-18,11.200000,11.430000,11.150000,11.200000,9.676048,125200
2004-06-21,11.150000,11.200000,11.000000,11.020000,9.520541,191600
2004-06-22,11.050000,11.120000,11.050000,11.070000,9.563737,93100
2004-06-23,11.080000,11.220000,11.080000,11.170000,9.650130,254700
2004-06-24,10.950000,10.950000,10.470000,10.550000,9.114494,991100
2004-06-25,10.550000,10.550000,9.950000,9.950000,8.596134,969900
2004-06-28,10.110000,10.280000,10.060000,10.230000,8.838035,310600
2004-06-29,10.300000,10.380000,9.960000,9.970000,8.613412,139400
2004-06-30,10.070000,10.160000,9.900000,9.950000,8.596134,199900
2004-07-01,10.050000,10.220000,9.920000,9.920000,8.570215,187000
2004-07-02,9.970000,10.050000,9.650000,9.810000,8.475183,113100
2004-07-06,9.900000,10.000000,9.510000,9.680000,8.362873,152600
2004-07-07,9.770000,9.780000,9.550000,9.610000,8.302395,80500
2004-07-08,9.460000,9.600000,9.260000,9.400000,8.120970,185600
2004-07-09,9.450000,9.580000,9.420000,9.490000,8.198724,86700
2004-07-12,9.550000,9.720000,9.350000,9.720000,8.397429,106900
2004-07-13,9.790000,10.120000,9.700000,9.960000,8.604773,169400
2004-07-14,10.020000,10.020000,9.610000,9.960000,8.604773,130200
2004-07-15,9.960000,9.960000,9.550000,9.600000,8.293756,120300
2004-07-16,9.700000,9.700000,9.270000,9.500000,8.207365,86900
2004-07-19,9.500000,9.550000,9.320000,9.400000,8.120970,64500
2004-07-20,9.500000,9.650000,9.350000,9.650000,8.336953,88500
2004-07-21,9.750000,9.840000,9.410000,9.410000,8.129608,103700
2004-07-22,9.370000,9.520000,9.300000,9.490000,8.198724,56700
2004-07-23,9.530000,9.530000,9.350000,9.350000,8.077774,44700
2004-07-26,9.420000,9.420000,9.000000,9.110000,7.870427,95500
2004-07-27,9.100000,9.160000,9.070000,9.120000,7.879068,59700
2004-07-28,9.120000,9.150000,8.910000,9.060000,7.827235,103900
2004-07-29,9.110000,9.150000,8.900000,9.000000,7.775396,195100
2004-07-30,9.000000,9.300000,8.950000,9.010000,7.784035,89100
2004-08-02,9.000000,9.600000,8.980000,9.550000,8.250560,134900
2004-08-03,9.950000,9.950000,9.580000,9.630000,8.319673,128800
2004-08-04,9.630000,9.630000,9.500000,9.500000,8.207365,57800
2004-08-05,9.500000,9.520000,9.200000,9.350000,8.077774,119500
2004-08-06,9.600000,9.900000,9.540000,9.900000,8.552936,172200
2004-08-09,9.920000,9.920000,9.700000,9.720000,8.397429,69700
2004-08-10,9.780000,9.810000,9.660000,9.690000,8.371510,196900
2004-08-11,9.640000,9.640000,9.500000,9.510000,8.216002,30600
2004-08-12,9.500000,9.500000,9.250000,9.250000,7.991380,56100
2004-08-13,9.300000,9.320000,9.170000,9.260000,8.000021,82600
2004-08-16,9.200000,9.330000,9.100000,9.110000,7.870427,183000
2004-08-17,9.120000,9.270000,9.110000,9.180000,7.930905,94400
2004-08-18,9.170000,9.360000,9.110000,9.350000,8.077774,92400
2004-08-19,9.320000,9.320000,9.110000,9.230000,7.974102,66100
2004-08-20,9.270000,9.270000,9.070000,9.140000,7.896348,100400
2004-08-23,9.140000,9.180000,9.000000,9.050000,7.818594,44800
2004-08-24,9.020000,9.290000,9.020000,9.280000,8.017297,55600
2004-08-25,9.330000,9.340000,8.960000,9.150000,7.904986,124500
2004-08-26,9.120000,9.210000,9.050000,9.110000,7.870427,29700
2004-08-27,9.100000,9.250000,9.100000,9.230000,7.974102,47900
2004-08-30,9.200000,9.200000,9.120000,9.160000,7.913626,41700
2004-08-31,9.180000,9.250000,9.120000,9.150000,7.904986,80900
2004-09-01,9.110000,9.190000,9.020000,9.160000,7.913626,83500
