Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,3.643347,3.687243,3.643347,3.643347,1.657750,45563
1986-03-14,3.687243,3.731139,3.687243,3.731139,1.697696,77456
1986-03-17,3.742112,3.764060,3.742112,3.764060,1.712676,31894
1986-03-18,3.775034,3.939643,3.775034,3.917695,1.782581,66066
1986-03-19,3.884774,3.884774,3.862826,3.862826,1.757615,11391
1986-03-20,3.862826,3.862826,3.862826,3.862826,1.757615,3417
1986-03-21,3.862826,3.884774,3.807956,3.884774,1.767602,59231
1986-03-24,3.884774,3.917695,3.840878,3.840878,1.747629,68344
1986-03-25,3.818930,3.818930,3.786008,3.786008,1.722662,25059
1986-03-26,3.775034,3.775034,3.775034,3.775034,1.717670,22781
1986-03-27,3.818930,3.917695,3.818930,3.862826,1.757615,118463
1986-03-31,3.862826,3.862826,3.829904,3.862826,1.757615,47841
1986-04-01,3.862826,3.862826,3.818930,3.818930,1.737643,109350
1986-04-02,3.818930,3.818930,3.786008,3.786008,1.722662,11391
1986-04-03,3.786008,3.807956,3.764060,3.764060,1.712676,20503
1986-04-04,3.764060,3.764060,3.731139,3.731139,1.697696,41006
1986-04-07,3.731139,3.731139,3.731139,3.731139,1.697696,30755
1986-04-08,3.731139,3.775034,3.731139,3.731139,1.697696,170859
1986-04-09,3.731139,3.764060,3.731139,3.731139,1.697696,9113
1986-04-10,3.753086,3.786008,3.753086,3.786008,1.722662,177694
1986-04-11,3.807956,3.851852,3.807956,3.829904,1.742636,76317
1986-04-14,3.818930,3.818930,3.731139,3.731139,1.697696,177694
1986-04-15,3.720165,3.720165,3.720165,3.720165,1.692704,35311
1986-04-16,3.720165,3.731139,3.687243,3.731139,1.697696,79734
1986-04-17,3.720165,3.720165,3.676269,3.720165,1.692704,48980
1986-04-18,3.720165,3.720165,3.687243,3.720165,1.692704,18225
1986-04-21,3.687243,3.687243,3.632373,3.632373,1.652758,9113
1986-04-22,3.632373,3.643347,3.632373,3.632373,1.652758,58092
1986-04-23,3.632373,3.643347,3.621399,3.643347,1.657750,34172
1986-04-24,3.643347,3.654321,3.632373,3.632373,1.652758,20503
1986-04-25,3.621399,3.621399,3.610425,3.610425,1.642772,21642
1986-04-28,3.610425,3.610425,3.577503,3.577503,1.627791,17086
1986-04-29,3.577503,3.577503,3.555556,3.577503,1.627791,2278
1986-04-30,3.566529,3.566529,3.522634,3.522634,1.602826,45563
1986-05-01,3.489712,3.489712,3.456790,3.456790,1.572867,17086
1986-05-02,3.456790,3.456790,3.456790,3.456790,1.572867,6834
1986-05-05,3.456790,3.467764,3.445816,3.467764,1.577859,41006
1986-05-06,3.467764,3.467764,3.434842,3.445816,1.567873,22781
1986-05-07,3.445816,3.467764,3.445816,3.467764,1.577859,88847
1986-05-08,3.467764,3.467764,3.456790,3.467764,1.577859,45563
1986-05-09,3.456790,3.456790,3.456790,3.456790,1.572867,34172
1986-05-12,3.456790,3.456790,3.456790,3.456790,1.572867,2278
1986-05-13,3.456790,3.456790,3.445816,3.445816,1.567873,13669
1986-05-14,3.445816,3.445816,3.434842,3.434842,1.562879,9113
1986-05-15,3.434842,3.434842,3.412894,3.412894,1.552892,25059
1986-05-16,3.379973,3.379973,3.358025,3.368999,1.532920,48980
1986-05-19,3.368999,3.368999,3.358025,3.368999,1.532920,4556
1986-05-20,3.368999,3.368999,3.336077,3.368999,1.532920,22781
1986-05-21,3.368999,3.368999,3.368999,3.368999,1.532920,0
1986-05-22,3.368999,3.379973,3.347051,3.368999,1.532920,112767
1986-05-23,3.379973,3.379973,3.379973,3.379973,1.537914,56953
1986-05-27,3.379973,3.478738,3.379973,3.478738,1.582853,170859
1986-05-28,3.522634,3.533608,3.522634,3.533608,1.607819,7973
1986-05-29,3.533608,3.555556,3.522634,3.522634,1.602826,18225
1986-05-30,3.489712,3.489712,3.478738,3.478738,1.582853,18225
1986-06-02,3.478738,3.489712,3.478738,3.478738,1.582853,31894
1986-06-03,3.478738,3.478738,3.478738,3.478738,1.582853,1139
1986-06-04,3.478738,3.511660,3.478738,3.478738,1.582853,9113
1986-06-05,3.456790,3.456790,3.336077,3.347051,1.522934,80873
1986-06-06,3.325103,3.325103,3.292181,3.292181,1.497968,56953
1986-06-09,3.292181,3.325103,3.259259,3.270233,1.487981,62648
1986-06-10,3.292181,3.325103,3.292181,3.325103,1.512948,29616
1986-06-11,3.325103,3.336077,3.325103,3.325103,1.512948,6834
1986-06-12,3.336077,3.390947,3.336077,3.358025,1.527928,113906
1986-06-13,3.358025,3.423868,3.347051,3.423868,1.557885,99098
1986-06-16,3.445816,3.445816,3.445816,3.445816,1.567873,12530
1986-06-17,3.456790,3.456790,3.456790,3.456790,1.572867,61509
1986-06-18,3.467764,3.511660,3.467764,3.467764,1.577859,68344
1986-06-19,3.456790,3.456790,3.456790,3.456790,1.572867,4556
1986-06-20,3.445816,3.445816,3.412894,3.412894,1.552892,71761
1986-06-23,3.412894,3.423868,3.390947,3.423868,1.557885,13669
1986-06-24,3.423868,3.423868,3.390947,3.423868,1.557885,38728
1986-06-25,3.445816,3.467764,3.445816,3.445816,1.567873,104794
1986-06-26,3.445816,3.445816,3.434842,3.434842,1.562879,6834
1986-06-27,3.445816,3.445816,3.445816,3.445816,1.567873,11391
1986-06-30,3.467764,3.467764,3.467764,3.467764,1.577859,84291
1986-07-01,3.467764,3.489712,3.467764,3.489712,1.587846,357666
1986-07-02,3.511660,3.522634,3.511660,3.511660,1.597833,3417
1986-07-03,3.489712,3.489712,3.467764,3.489712,1.587846,18225
1986-07-07,3.467764,3.467764,3.423868,3.423868,1.557885,12530
1986-07-08,3.423868,3.423868,3.390947,3.390947,1.542907,30755
1986-07-09,3.412894,3.423868,3.412894,3.423868,1.557885,6834
1986-07-10,3.423868,3.434842,3.390947,3.434842,1.562879,26198
1986-07-11,3.434842,3.434842,3.434842,3.434842,1.562879,34172
