Date,Open,High,Low,Close,Adj Close,Volume
2001-02-08,3.520833,3.625000,3.520833,3.625000,2.587816,28200
2001-02-09,3.645833,3.708333,3.625000,3.708333,2.647305,6000
2001-02-12,3.729167,3.937500,3.690104,3.833333,2.736540,106200
2001-02-13,3.812500,3.833333,3.614583,3.614583,2.580379,29400
2001-02-14,3.645833,3.729167,3.197917,3.270833,2.334983,384600
2001-02-15,3.270833,3.437500,3.250000,3.291667,2.349856,459000
2001-02-16,3.291667,3.458333,3.166667,3.375000,2.409346,42000
2001-02-20,3.291667,3.291667,3.187500,3.187500,2.275494,11400
2001-02-21,3.166667,3.166667,3.093750,3.093750,2.208567,218400
2001-02-22,3.104167,3.166667,3.041667,3.166667,2.260620,49800
2001-02-23,3.062500,3.187500,2.979167,3.000000,2.141640,33600
2001-02-26,3.000000,3.000000,3.000000,3.000000,2.141640,600
2001-02-27,3.000000,3.000000,2.979167,3.000000,2.141640,46800
2001-02-28,3.000000,3.031250,2.916667,3.020833,2.156514,97200
2001-03-01,2.997396,2.997396,2.875000,2.875000,2.052406,20400
2001-03-02,2.885417,2.885417,2.791667,2.833333,2.022660,27600
2001-03-05,2.833333,2.833333,2.833333,2.833333,2.022660,7800
2001-03-06,2.916667,3.000000,2.895833,2.937500,2.097023,28200
2001-03-07,2.976563,3.000000,2.958333,2.989583,2.134205,4200
2001-03-08,2.958333,2.958333,2.937500,2.937500,2.097023,10200
2001-03-09,2.895833,2.968750,2.875000,2.937500,2.097023,13800
2001-03-12,2.937500,2.937500,2.802083,2.802083,2.000352,19800
2001-03-13,2.781250,2.791667,2.781250,2.781250,1.985479,18000
2001-03-14,2.781250,2.781250,2.645833,2.645833,1.888808,36600
2001-03-15,2.645833,2.718750,2.614583,2.614583,1.866499,12600
2001-03-16,2.604167,2.687500,2.593750,2.687500,1.918554,52200
2001-03-19,2.708333,2.875000,2.687500,2.791667,1.992916,37200
