Date,Open,High,Low,Close,Adj Close,Volume
2011-03-30,18.700001,19.000000,18.150000,18.200001,7.960492,30086900
2011-03-31,18.049999,18.590000,17.910000,18.000000,7.873015,9582800
2011-04-01,18.010000,18.230000,17.889999,18.000000,7.873015,3199400
2011-04-04,18.070000,18.160000,17.799999,17.879999,7.820526,1846600
2011-04-05,17.879999,18.030001,17.650000,17.980000,7.864265,2353300
2011-04-06,18.010000,18.150000,17.879999,18.100000,7.916751,474900
2011-04-07,18.340000,18.350000,18.000000,18.010000,7.877389,702100
2011-04-08,18.010000,18.150000,17.879999,18.000000,7.873015,304500
2011-04-11,17.940001,18.100000,17.900000,18.059999,7.899255,486000
2011-04-12,18.100000,18.340000,17.870001,18.190001,7.956118,624600
2011-04-13,18.370001,18.370001,18.010000,18.100000,7.916751,199600
2011-04-14,18.010000,18.270000,18.000000,18.250000,7.982360,408000
2011-04-15,18.280001,18.690001,18.209999,18.500000,8.091709,963000
2011-04-18,18.500000,18.590000,17.959999,18.180000,7.951742,720700
2011-04-19,18.250000,18.320000,18.080000,18.200001,7.960492,405000
2011-04-20,18.389999,18.389999,18.100000,18.230000,7.973615,498200
2011-04-21,18.299999,18.350000,17.830000,18.110001,7.921126,1196100
2011-04-25,18.040001,18.250000,18.040001,18.059999,7.899255,280800
2011-04-26,18.209999,18.240000,17.900000,18.180000,7.951742,622700
2011-04-27,18.100000,18.200001,18.040001,18.180000,7.951742,275400
2011-04-28,18.110001,18.270000,17.860001,18.110001,7.921126,539400
2011-04-29,18.180000,18.190001,17.930000,18.080000,7.908004,196000
2011-05-02,18.070000,18.299999,17.930000,18.190001,7.956118,555700
2011-05-03,18.030001,18.350000,18.020000,18.270000,7.991107,377400
2011-05-04,18.230000,18.340000,17.750000,17.980000,7.864265,614000
2011-05-05,17.879999,18.090000,17.700001,17.940001,7.846769,412200
2011-05-06,18.170000,18.170000,17.910000,17.969999,7.859893,405600
2011-05-09,18.340000,18.559999,18.299999,18.500000,8.091709,965400
2011-05-10,18.600000,18.760000,18.480000,18.709999,8.183559,666400
2011-05-11,18.760000,18.760000,18.379999,18.480000,8.082958,371000
2011-05-12,18.799999,18.910000,18.040001,18.420000,8.056717,722000
2011-05-13,18.650000,18.650000,18.059999,18.270000,7.991107,810300
2011-05-16,18.420000,18.500000,17.590000,17.830000,7.798656,988800
2011-05-17,17.860001,17.900000,16.799999,17.180000,7.514353,980900
2011-05-18,17.370001,18.180000,17.180000,17.850000,7.807405,823900
2011-05-19,17.730000,18.000000,17.389999,17.770000,7.869403,369400
2011-05-20,17.760000,18.080000,17.760000,17.850000,7.904830,508200
2011-05-23,17.410000,17.990000,17.379999,17.600000,7.794119,309200
2011-05-24,17.680000,17.969999,17.530001,17.570000,7.780831,205900
2011-05-25,17.600000,17.709999,17.260000,17.370001,7.692266,285000
2011-05-26,17.320000,17.969999,17.320000,17.750000,7.860548,430700
2011-05-27,17.840000,18.490000,17.799999,18.190001,8.055400,622800
2011-05-31,18.049999,18.180000,17.900000,18.020000,7.980115,329100
2011-06-01,17.870001,18.100000,17.690001,17.930000,7.940259,770100
2011-06-02,17.950001,17.950001,17.709999,17.860001,7.909258,70100
2011-06-03,17.559999,17.969999,17.559999,17.850000,7.904830,75800
2011-06-06,17.850000,17.889999,17.330000,17.400000,7.705550,183600
2011-06-07,17.450001,17.469999,16.850000,16.920000,7.492983,219700
2011-06-08,16.940001,17.049999,16.740000,16.750000,7.417698,180600
2011-06-09,16.650000,16.950001,16.209999,16.290001,7.213992,250900
2011-06-10,16.430000,16.469999,15.480000,15.640000,6.926139,335300
2011-06-13,15.590000,15.790000,15.270000,15.510000,6.868568,560500
2011-06-14,15.620000,16.030001,15.620000,16.000000,7.085563,114700
2011-06-15,15.850000,16.250000,15.800000,15.970000,7.072276,210800
2011-06-16,15.790000,16.049999,15.630000,15.870000,7.027993,187600
2011-06-17,15.970000,16.010000,15.810000,15.950000,7.063422,200300
2011-06-20,15.930000,15.990000,15.620000,15.700000,6.952708,45000
2011-06-21,15.820000,16.299999,15.760000,16.000000,7.085563,244900
2011-06-22,15.970000,16.459999,15.970000,16.320000,7.227275,295200
2011-06-23,16.219999,16.290001,16.000000,16.100000,7.129849,146800
2011-06-24,16.010000,16.190001,15.990000,16.000000,7.085563,174100
2011-06-27,16.020000,16.250000,15.990000,16.120001,7.138705,24600
2011-06-28,16.420000,17.059999,16.250000,16.590000,7.346845,378500
2011-06-29,16.420000,17.680000,16.280001,17.129999,7.585980,515200
2011-06-30,17.200001,17.270000,17.049999,17.200001,7.616982,227800
2011-07-01,17.120001,17.230000,16.879999,17.139999,7.590408,150400
2011-07-05,17.080000,17.250000,16.910000,16.990000,7.523983,158700
2011-07-06,16.910000,17.000000,16.700001,16.879999,7.475267,141800
2011-07-07,17.170000,17.170000,16.760000,16.870001,7.470840,164900
2011-07-08,17.280001,17.280001,16.700001,17.000000,7.528409,139400
2011-07-11,16.850000,16.990000,16.360001,16.540001,7.324701,50700
2011-07-12,16.750000,16.900000,16.260000,16.650000,7.373414,75900
2011-07-13,16.790001,16.790001,16.049999,16.389999,7.258273,102100
2011-07-14,16.250000,16.750000,16.020000,16.260000,7.200704,131500
2011-07-15,16.379999,16.799999,16.219999,16.500000,7.306986,162800
2011-07-18,16.309999,16.530001,15.770000,15.900000,7.041277,160100
2011-07-19,16.129999,16.240000,15.830000,16.000000,7.085563,320300
2011-07-20,16.030001,16.370001,15.960000,16.340000,7.236131,146500
2011-07-21,16.629999,16.940001,16.420000,16.750000,7.417698,310100
2011-07-22,16.790001,17.000000,16.549999,16.940001,7.501840,194000
2011-07-25,17.250000,17.430000,16.900000,17.200001,7.616982,287600
2011-07-26,17.209999,17.450001,17.100000,17.280001,7.652408,280300
2011-07-27,17.350000,17.379999,16.670000,16.809999,7.444269,98300
2011-07-28,16.760000,16.990000,16.570000,16.870001,7.470840,101000
2011-07-29,16.740000,17.379999,16.330000,17.309999,7.665692,153600
2011-08-01,17.450001,17.940001,16.969999,17.500000,7.749834,250600
2011-08-02,17.629999,17.629999,16.370001,16.820000,7.448699,226500
