Date,Open,High,Low,Close,Adj Close,Volume
1986-11-14,7.030190,7.111937,6.948444,7.111937,4.471589,500634
1986-11-17,7.111937,7.111937,6.784951,6.784951,4.265998,812880
1986-11-18,6.784951,6.866697,6.457965,6.539712,4.111806,110402
1986-11-19,6.539712,6.621458,6.376219,6.457965,4.060408,148019
1986-11-20,6.457965,6.539712,6.294473,6.376219,4.009010,260868
1986-11-21,6.376219,6.703205,6.376219,6.539712,4.111806,208572
1986-11-24,6.539712,6.703205,6.498839,6.539712,4.111806,437022
1986-11-25,6.539712,6.580585,6.294473,6.376219,4.009010,79208
1986-11-26,6.376219,6.457965,6.212726,6.457965,4.060408,302154
1986-11-28,6.457965,6.457965,6.294473,6.376219,4.009010,32723
1986-12-01,6.376219,6.457965,6.376219,6.376219,4.009010,209795
1986-12-02,6.376219,6.457965,6.335346,6.376219,4.009010,40980
1986-12-03,6.376219,6.457965,6.335346,6.376219,4.009010,564857
1986-12-04,6.376219,6.457965,6.376219,6.376219,4.009010,206737
1986-12-05,6.376219,6.621458,6.376219,6.621458,4.163202,217747
1986-12-08,6.621458,6.703205,6.539712,6.539712,4.111806,74927
1986-12-09,6.621458,6.784951,6.621458,6.662331,4.188901,20490
1986-12-10,6.662331,6.784951,6.539712,6.784951,4.265998,291144
1986-12-11,6.784951,6.784951,6.703205,6.703205,4.214601,143431
1986-12-12,6.703205,6.784951,6.539712,6.539712,4.111806,1336450
1986-12-15,6.539712,6.621458,6.457965,6.457965,4.060408,272489
1986-12-16,6.457965,6.621458,6.376219,6.457965,4.060408,91747
1986-12-17,6.457965,6.539712,6.376219,6.539712,4.111806,49543
1986-12-18,6.539712,6.539712,6.457965,6.457965,4.060408,51378
1986-12-19,6.457965,6.539712,6.457965,6.539712,4.111806,203067
1986-12-22,6.539712,6.784951,6.457965,6.784951,4.265998,459653
1986-12-23,6.784951,6.784951,6.621458,6.703205,4.214601,192669
1986-12-24,6.703205,6.784951,6.703205,6.784951,4.265998,52296
1986-12-26,6.784951,6.784951,6.703205,6.784951,4.265998,97864
1986-12-29,6.784951,6.784951,6.703205,6.784951,4.265998,151383
1986-12-30,6.784951,6.948444,6.703205,6.866697,4.317396,524182
1986-12-31,6.866697,6.948444,6.784951,6.866697,4.317396,230591
1987-01-02,6.866697,7.111937,6.866697,7.111937,4.471589,164227
1987-01-05,7.111937,7.929401,6.948444,7.765908,4.882771,149242
1987-01-06,7.765908,8.092893,7.765908,8.092893,5.088357,70645
1987-01-07,8.092893,8.092893,7.847654,7.888527,4.959865,279217
1987-01-08,7.888527,7.929401,7.602415,7.684161,4.831374,17432
1987-01-09,7.684161,7.765908,7.602415,7.602415,4.779976,15903
1987-01-12,7.602415,7.847654,7.602415,7.765908,4.882771,58412
1987-01-13,7.765908,7.847654,7.602415,7.806781,4.908467,10092
1987-01-14,7.806781,7.929401,7.684161,7.929401,4.985563,147407
