Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,8.365875,8.460941,8.318341,8.389641,3.800681,732117
1986-03-14,8.460941,8.722375,8.413408,8.603541,3.897583,1120265
1986-03-17,8.579775,8.698608,8.579775,8.627308,3.908348,335554
1986-03-18,8.603541,8.888742,8.579775,8.817442,3.994484,390778
1986-03-19,8.793675,8.793675,8.674842,8.722375,3.951416,1331696
1986-03-20,8.722375,8.841208,8.722375,8.722375,3.951416,516479
1986-03-21,8.698608,8.936275,8.674842,8.912508,4.037552,1187061
1986-03-24,8.912508,9.221475,8.888742,9.173942,4.155987,2545580
1986-03-25,10.124610,10.172143,9.482909,9.886943,4.478990,3171456
1986-03-26,10.077076,10.647477,10.077076,10.386043,4.705094,7715631
1986-03-27,10.409810,10.623710,10.362276,10.504877,4.758928,8467734
1986-03-31,10.314743,10.433577,9.768109,9.791876,4.435923,5202660
1986-04-01,9.126409,9.482909,8.841208,9.459142,4.285187,8520329
1986-04-02,9.221475,9.506676,9.221475,9.364076,4.242121,4841861
1986-04-03,9.411609,9.459142,9.221475,9.411609,4.263656,2957396
1986-04-04,9.316542,9.387842,9.197709,9.292775,4.209819,2720194
1986-04-07,9.245242,9.292775,9.078875,9.197709,4.166753,845196
1986-04-08,9.173942,9.340309,9.150175,9.292775,4.209819,1352734
1986-04-09,9.340309,9.411609,9.292775,9.316542,4.220588,1011395
1986-04-10,9.364076,9.482909,9.364076,9.482909,4.295954,803646
1986-04-11,9.482909,9.577976,9.435376,9.577976,4.339024,706872
1986-04-14,9.577976,9.577976,9.530442,9.577976,4.339024,2374121
1986-04-15,9.554209,9.554209,9.482909,9.530442,4.317489,712657
1986-04-16,9.577976,9.601742,9.506676,9.554209,4.328256,586956
1986-04-17,9.577976,9.601742,9.530442,9.577976,4.339024,569074
1986-04-18,9.530442,9.577976,9.482909,9.554209,4.328256,840462
1986-04-21,9.554209,9.649276,9.506676,9.601742,4.349789,1245967
1986-04-22,9.601742,9.673042,9.601742,9.625509,4.360555,667426
1986-04-23,9.625509,9.649276,9.577976,9.649276,4.371325,532258
1986-04-24,9.673042,9.696809,9.601742,9.696809,4.392856,690041
1986-04-25,9.649276,9.815643,9.649276,9.791876,4.435923,1174964
1986-04-28,9.863176,9.958243,9.839409,9.958243,4.511291,1897614
1986-04-29,9.958243,10.029543,9.958243,10.029543,4.543591,1064515
1986-04-30,10.005776,10.077076,9.958243,9.982009,4.522056,1039270
1986-05-01,9.982009,10.005776,9.886943,9.982009,4.522056,717391
1986-05-02,10.005776,10.433577,10.005776,10.409810,4.715859,1991232
1986-05-05,10.433577,10.623710,10.409810,10.623710,4.812761,1203891
