Date,Open,High,Low,Close,Adj Close,Volume
2000-10-02,3.464616,3.606029,3.429263,3.429263,1.943315,1768
2000-10-03,3.429263,3.641382,3.429263,3.641382,2.063519,11491
2000-10-04,3.499969,3.499969,3.358556,3.358556,1.903246,2475
2000-10-05,3.393909,3.393909,3.358556,3.393909,1.923280,2475
2000-10-06,3.464616,3.606029,3.429263,3.606029,2.043485,8132
2000-10-09,3.676735,3.676735,3.606029,3.676735,2.083554,25104
2000-10-10,3.676735,3.818148,3.606029,3.676735,2.083554,105719
2000-10-11,3.747442,3.818148,3.606029,3.606029,2.043485,21038
2000-10-12,3.747442,3.747442,3.287850,3.323203,1.883212,59401
2000-10-13,3.393909,3.464616,3.393909,3.393909,1.923280,4066
2000-10-16,3.535322,3.535322,3.217143,3.358556,1.903246,19093
2000-10-17,3.287850,3.287850,3.040377,3.217143,1.823109,113497
2000-10-18,3.217143,3.287850,3.005024,3.287850,1.863178,11491
2000-10-19,3.287850,3.358556,3.252497,3.323203,1.883212,56218
2000-10-20,3.323203,3.323203,3.323203,3.323203,1.883212,884
2000-10-23,3.252497,3.606029,3.252497,3.606029,2.043485,43313
2000-10-24,3.676735,3.818148,3.676735,3.818148,2.163690,5834
2000-10-25,3.818148,3.888855,3.747442,3.747442,2.123623,13789
2000-10-26,3.818148,3.853501,3.747442,3.747442,2.123623,7602
2000-10-27,3.782795,3.782795,3.782795,3.782795,2.143656,354
2000-10-30,3.782795,3.782795,3.606029,3.606029,2.043485,5834
2000-10-31,3.535322,3.535322,3.393909,3.429263,1.943315,8486
2000-11-01,3.499969,3.499969,3.499969,3.499969,1.983383,1945
2000-11-02,3.429263,3.499969,3.252497,3.323203,1.883212,8486
2000-11-03,3.393909,3.464616,3.323203,3.393909,1.923280,201714
2000-11-06,3.323203,3.358556,3.323203,3.358556,1.903246,3359
2000-11-07,3.358556,3.570676,3.358556,3.464616,1.963349,256518
2000-11-08,3.535322,3.712088,3.535322,3.676735,2.083554,149916
2000-11-09,3.535322,3.676735,3.535322,3.570676,2.023452,31998
2000-11-10,3.535322,3.535322,3.535322,3.535322,2.003417,2475
2000-11-13,3.464616,3.464616,3.323203,3.393909,1.923280,2829
2000-11-14,3.393909,3.393909,3.323203,3.393909,1.923280,27225
2000-11-15,3.323203,3.323203,3.252497,3.252497,1.843144,2829
2000-11-16,3.323203,3.323203,3.252497,3.252497,1.843144,2121
2000-11-17,3.181790,3.181790,3.181790,3.181790,1.803076,1768
2000-11-20,2.969671,2.969671,2.792905,2.792905,1.582700,18209
2000-11-21,2.828258,2.828258,2.792905,2.828258,1.602734,15027
2000-11-22,2.828258,2.898964,2.828258,2.828258,1.602734,476442
2000-11-24,2.757551,2.757551,2.757551,2.757551,1.562665,884
2000-11-27,2.828258,2.828258,2.722198,2.792905,1.582700,3005
2000-11-28,2.863611,2.863611,2.792905,2.828258,1.602734,22452
2000-11-29,3.111084,3.111084,2.828258,2.828258,1.602734,97940
2000-11-30,2.757551,2.828258,2.686845,2.757551,1.562665,15557
2000-12-01,2.722198,2.757551,2.722198,2.757551,1.562665,37125
