Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,5.250000,5.291667,5.250000,5.291667,2.058297,81000
1986-03-14,5.333333,5.458333,5.333333,5.458333,2.123125,28200
1986-03-17,5.416667,5.416667,5.354167,5.375000,2.090711,14400
1986-03-18,5.437500,5.541667,5.437500,5.437500,2.115020,66600
1986-03-19,5.437500,5.479167,5.416667,5.479167,2.131228,12600
1986-03-20,5.479167,5.500000,5.395833,5.395833,2.098814,28200
1986-03-21,5.395833,5.416667,5.333333,5.416667,2.106918,48000
1986-03-24,5.416667,5.416667,5.333333,5.333333,2.074503,4800
1986-03-25,5.333333,5.333333,5.312500,5.312500,2.066401,9000
1986-03-26,5.312500,5.333333,5.291667,5.312500,2.066401,3000
1986-03-27,5.333333,5.437500,5.333333,5.416667,2.106918,11400
1986-03-31,5.416667,5.416667,5.416667,5.416667,2.106918,1200
1986-04-01,5.416667,5.416667,5.416667,5.416667,2.106918,2400
1986-04-02,5.354167,5.354167,5.291667,5.312500,2.066401,19800
1986-04-03,5.312500,5.375000,5.312500,5.312500,2.066401,43200
1986-04-04,5.312500,5.375000,5.291667,5.291667,2.058297,43200
1986-04-07,5.333333,5.375000,5.333333,5.354167,2.082608,22200
1986-04-08,5.395833,5.437500,5.395833,5.416667,2.106918,6600
1986-04-09,5.416667,5.479167,5.416667,5.479167,2.131228,24000
1986-04-10,5.458333,5.458333,5.416667,5.416667,2.106918,6600
1986-04-11,5.416667,5.562500,5.416667,5.562500,2.163643,157800
1986-04-14,5.583333,5.729167,5.583333,5.708333,2.220367,81600
1986-04-15,5.666667,5.666667,5.666667,5.666667,2.204161,27000
1986-04-16,5.666667,5.687500,5.645833,5.687500,2.212265,42000
1986-04-17,5.687500,5.687500,5.645833,5.666667,2.204161,15000
1986-04-18,5.666667,5.687500,5.645833,5.687500,2.212265,7200
1986-04-21,5.645833,5.645833,5.645833,5.645833,2.196056,9000
1986-04-22,5.687500,5.750000,5.687500,5.687500,2.212265,33600
1986-04-23,5.645833,5.645833,5.625000,5.625000,2.187954,334800
1986-04-24,5.625000,5.666667,5.604167,5.604167,2.179850,10200
1986-04-25,5.583333,5.583333,5.541667,5.541667,2.155539,6600
1986-04-28,5.500000,5.500000,5.500000,5.500000,2.139333,3000
1986-04-29,5.500000,5.500000,5.500000,5.500000,2.139333,600
1986-04-30,5.500000,5.541667,5.437500,5.541667,2.155539,26400
1986-05-01,5.500000,5.500000,5.437500,5.437500,2.115020,5400
1986-05-02,5.437500,5.500000,5.395833,5.479167,2.131228,22200
1986-05-05,5.479167,5.500000,5.437500,5.500000,2.139333,13200
1986-05-06,5.500000,5.500000,5.500000,5.500000,2.139333,5400
1986-05-07,5.500000,5.583333,5.458333,5.583333,2.171744,29400
1986-05-08,5.583333,5.583333,5.541667,5.583333,2.171744,1200
1986-05-09,5.541667,5.541667,5.479167,5.520833,2.147435,21600
1986-05-12,5.520833,5.541667,5.479167,5.541667,2.155539,12000
1986-05-13,5.500000,5.500000,5.458333,5.500000,2.139333,26400
1986-05-14,5.458333,5.458333,5.416667,5.416667,2.106918,6600
