Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,4.687500,4.734375,4.656250,4.718750,2.782601,1324000
1986-03-14,4.734375,4.812500,4.703125,4.781250,2.819457,1621600
1986-03-17,4.750000,4.796875,4.703125,4.781250,2.819457,879200
1986-03-18,4.750000,4.781250,4.671875,4.718750,2.782601,808800
1986-03-19,4.750000,4.765625,4.703125,4.718750,2.782601,2228000
1986-03-20,4.703125,4.843750,4.687500,4.796875,2.828670,1442400
1986-03-21,4.812500,4.843750,4.750000,4.781250,2.819457,2139200
1986-03-24,4.843750,5.171875,4.812500,5.156250,3.040591,1756800
1986-03-25,5.140625,5.468750,5.125000,5.437500,3.206442,1082400
1986-03-26,5.343750,5.437500,5.281250,5.406250,3.188014,3410400
1986-03-27,5.375000,5.531250,5.375000,5.468750,3.224868,1301600
1986-03-31,5.437500,5.468750,5.281250,5.390625,3.178797,1032000
1986-04-01,5.359375,5.375000,5.312500,5.343750,3.151159,800800
1986-04-02,5.312500,5.343750,5.156250,5.171875,3.049804,1164000
1986-04-03,5.203125,5.234375,5.109375,5.109375,3.012947,1116000
1986-04-04,5.140625,5.140625,4.890625,4.921875,2.902382,1068000
1986-04-07,4.890625,5.156250,4.875000,5.156250,3.040591,1183200
1986-04-08,5.156250,5.250000,5.125000,5.250000,3.095875,1418400
1986-04-09,5.281250,5.500000,5.156250,5.359375,3.160372,1668000
1986-04-10,5.359375,5.500000,5.328125,5.500000,3.243296,473600
1986-04-11,5.531250,5.671875,5.500000,5.640625,3.326222,1109600
1986-04-14,5.656250,5.890625,5.609375,5.828125,3.436788,1749600
1986-04-15,5.828125,6.031250,5.796875,6.031250,3.556569,1790400
1986-04-16,6.000000,6.375000,6.000000,6.281250,3.703992,4191200
1986-04-17,6.281250,6.296875,6.062500,6.062500,3.574996,2460800
1986-04-18,6.093750,6.109375,6.031250,6.062500,3.574996,688000
1986-04-21,6.125000,6.234375,6.078125,6.187500,3.648708,1567200
1986-04-22,6.156250,6.359375,6.156250,6.250000,3.685564,3250400
1986-04-23,6.234375,6.281250,6.140625,6.281250,3.703992,2568000
1986-04-24,6.250000,6.453125,6.250000,6.265625,3.694777,2958400
1986-04-25,6.281250,6.328125,6.171875,6.250000,3.685564,2779200
1986-04-28,6.250000,6.250000,6.062500,6.093750,3.593425,1890400
1986-04-29,6.109375,6.109375,5.796875,5.890625,3.473643,631200
1986-04-30,5.921875,5.968750,5.750000,5.781250,3.409147,2512800
1986-05-01,5.812500,5.812500,5.546875,5.656250,3.335435,720800
1986-05-02,5.687500,5.875000,5.671875,5.875000,3.464432,1492800
1986-05-05,5.843750,5.968750,5.828125,5.875000,3.464432,1101600
1986-05-06,5.906250,5.906250,5.796875,5.843750,3.446001,781600
1986-05-07,5.875000,5.890625,5.750000,5.843750,3.446001,920800
1986-05-08,5.875000,5.875000,5.796875,5.828125,3.436788,1692000
1986-05-09,5.828125,5.875000,5.812500,5.875000,3.464432,939200
1986-05-12,5.843750,5.906250,5.828125,5.875000,3.464432,709600
1986-05-13,5.906250,5.906250,5.828125,5.875000,3.464432,604800
1986-05-14,5.875000,5.968750,5.875000,5.921875,3.492073,1097600
1986-05-15,5.984375,6.109375,5.968750,6.015625,3.547355,620800
1986-05-16,6.093750,6.234375,6.093750,6.203125,3.657923,531200
1986-05-19,6.218750,6.359375,6.218750,6.281250,3.703992,452800
1986-05-20,6.359375,6.421875,6.281250,6.390625,3.768489,3368800
1986-05-21,6.406250,6.562500,6.375000,6.484375,3.823774,1349600
1986-05-22,6.531250,6.593750,6.515625,6.531250,3.851413,1270400
1986-05-23,6.546875,6.812500,6.546875,6.765625,3.989623,1920800
