Date,Open,High,Low,Close,Adj Close,Volume
2001-08-02,16.000000,16.080000,15.160000,16.000000,11.234392,9812900
2001-08-03,16.000000,16.080000,16.000000,16.000000,11.234392,2776400
2001-08-06,16.000000,16.000000,15.800000,16.000000,11.234392,416700
2001-08-07,16.000000,16.000000,15.880000,16.000000,11.234392,1651800
2001-08-08,15.960000,16.000000,15.880000,16.000000,11.234392,265800
2001-08-09,16.000000,16.000000,15.880000,16.000000,11.234392,311200
2001-08-10,16.000000,16.040001,16.000000,16.000000,11.234392,123100
2001-08-13,16.000000,16.049999,15.950000,16.000000,11.234392,311100
2001-08-14,15.950000,16.000000,15.880000,16.000000,11.234392,605000
2001-08-15,16.000000,16.000000,15.500000,15.950000,11.199286,318400
2001-08-16,15.900000,16.000000,15.650000,16.000000,11.234392,333200
2001-08-17,15.850000,16.000000,15.200000,15.850000,11.129071,316300
2001-08-20,15.950000,16.000000,15.600000,15.890000,11.157158,139400
2001-08-21,15.800000,15.970000,15.800000,15.900000,11.164178,130500
2001-08-22,15.900000,15.990000,15.750000,15.910000,11.171200,111300
2001-08-23,15.900000,15.990000,15.850000,15.900000,11.164178,81500
2001-08-24,15.900000,15.990000,15.800000,15.850000,11.129071,73700
2001-08-27,16.000000,16.040001,15.810000,15.990000,11.227370,245900
2001-08-28,16.000000,16.320000,15.950000,16.250000,11.409933,332400
2001-08-29,16.450001,16.600000,16.059999,16.469999,11.564402,420400
2001-08-30,16.530001,16.799999,16.490000,16.760000,11.768027,314600
2001-08-31,16.850000,18.250000,16.850000,18.250000,12.814231,616700
2001-09-04,18.250000,18.299999,17.400000,18.070000,12.687843,503900
2001-09-05,18.299999,18.350000,17.910000,18.200001,12.779122,322700
2001-09-06,18.000000,18.600000,18.000000,18.000000,12.638695,205200
2001-09-07,18.000000,18.150000,17.549999,18.000000,12.638695,83400
2001-09-10,16.500000,17.850000,16.250000,17.500000,12.287613,245100
2001-09-17,16.000000,17.200001,15.600000,17.000000,11.936546,97100
2001-09-18,16.750000,17.150000,16.750000,17.030001,11.957609,59600
2001-09-19,17.250000,17.700001,16.500000,17.400000,12.217404,98800
2001-09-20,17.250000,17.250000,16.350000,16.799999,11.796110,223900
2001-09-21,16.600000,16.600000,15.050000,16.500000,11.585471,52700
2001-09-24,17.500000,17.500000,16.700001,17.100000,12.006760,104600
2001-09-25,17.000000,17.450001,16.350000,17.450001,12.252507,75700
2001-09-26,17.450001,17.650000,17.049999,17.650000,12.392942,58800
2001-09-27,17.650000,17.650000,16.900000,17.000000,11.936546,45500
2001-09-28,17.100000,17.299999,16.400000,17.000000,11.936546,48100
2001-10-01,16.900000,17.049999,16.750000,17.000000,11.936546,13600
2001-10-02,17.049999,17.200001,16.160000,16.500000,11.585471,72300
2001-10-03,16.250000,18.500000,15.310000,18.500000,12.989768,286900
2001-10-04,18.250000,18.250000,17.160000,17.250000,12.112080,90400
2001-10-05,17.250000,17.250000,15.980000,16.000000,11.234392,103100
2001-10-08,16.000000,16.400000,15.800000,15.950000,11.199286,121600
2001-10-09,16.000000,17.690001,15.950000,17.299999,12.147191,75600
2001-10-10,17.230000,17.299999,16.000000,16.450001,11.550364,166500
2001-10-11,16.850000,16.900000,15.740000,16.100000,11.304605,126800
2001-10-12,16.049999,16.750000,16.000000,16.250000,11.409933,41500
2001-10-15,16.250000,16.750000,15.850000,16.000000,11.234392,77300
2001-10-16,15.900000,16.100000,15.800000,15.950000,11.199286,79600
2001-10-17,15.900000,16.430000,15.900000,16.299999,11.445039,23500
2001-10-18,16.440001,16.600000,16.000000,16.600000,11.655681,24100
2001-10-19,16.590000,16.850000,16.400000,16.610001,11.662704,28100
2001-10-22,18.000000,18.450001,17.520000,18.000000,12.638695,780500
2001-10-23,18.100000,18.250000,17.620001,17.639999,12.385915,184200
2001-10-24,17.700001,17.700001,16.860001,17.049999,11.971652,59700
2001-10-25,16.799999,17.700001,16.799999,17.650000,12.392942,60200
2001-10-26,17.200001,17.700001,17.040001,17.500000,12.287613,43500
2001-10-29,17.500000,17.799999,17.500000,17.700001,12.428047,45300
2001-10-30,17.799999,17.799999,17.459999,17.600000,12.357831,35100
2001-10-31,17.600000,17.980000,17.600000,17.620001,12.371879,59700
2001-11-01,17.620001,18.600000,17.600000,18.600000,13.059986,156700
2001-11-02,19.250000,19.549999,17.799999,18.299999,12.849337,309400
2001-11-05,18.500000,18.799999,18.049999,18.200001,12.779122,54600
2001-11-06,18.350000,18.950001,18.250000,18.950001,13.305732,70900
2001-11-07,18.980000,19.490000,18.650000,18.700001,13.130201,46500
2001-11-08,18.650000,19.590000,18.650000,19.049999,13.375945,100900
2001-11-09,19.150000,19.490000,18.799999,18.850000,13.235520,35700
2001-11-12,18.750000,19.250000,18.500000,19.000000,13.340840,28100
2001-11-13,19.000000,19.100000,18.100000,18.100000,12.708903,42900
2001-11-14,18.299999,18.680000,17.809999,18.000000,12.638695,34500
2001-11-15,17.900000,18.730000,17.850000,18.549999,13.024871,41700
2001-11-16,18.400000,18.740000,18.350000,18.410000,12.926574,17800
2001-11-19,18.450001,18.790001,18.200001,18.600000,13.059986,21700
2001-11-20,18.799999,19.240000,18.639999,19.000000,13.340840,336000
