Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,2.117188,2.117188,2.093750,2.117188,1.048154,299200
1986-03-14,2.117188,2.140625,2.078125,2.125000,1.052021,620800
1986-03-17,2.125000,2.125000,2.078125,2.109375,1.044286,480000
1986-03-18,2.109375,2.140625,2.093750,2.140625,1.059757,321600
1986-03-19,2.140625,2.171875,2.125000,2.148438,1.063625,262400
1986-03-20,2.148438,2.156250,2.125000,2.140625,1.059757,126400
1986-03-21,2.140625,2.171875,2.132813,2.156250,1.067492,521600
1986-03-24,2.156250,2.179688,2.117188,2.179688,1.079096,211200
1986-03-25,2.179688,2.265625,2.164063,2.250000,1.113905,574400
1986-03-26,2.250000,2.250000,2.218750,2.218750,1.098434,441600
1986-03-27,2.218750,2.226563,2.179688,2.187500,1.082964,212800
1986-03-31,2.203125,2.203125,2.156250,2.187500,1.082964,187200
1986-04-01,2.187500,2.187500,2.132813,2.140625,1.059757,219200
1986-04-02,2.140625,2.203125,2.125000,2.203125,1.090699,620800
1986-04-03,2.195313,2.195313,2.117188,2.117188,1.048154,416000
1986-04-04,2.117188,2.117188,2.062500,2.062500,1.021080,476800
1986-04-07,2.062500,2.062500,2.000000,2.046875,1.013345,515200
1986-04-08,2.046875,2.085938,2.046875,2.046875,1.013345,379200
1986-04-09,2.070313,2.109375,2.070313,2.109375,1.044286,444800
1986-04-10,2.109375,2.117188,2.085938,2.109375,1.044286,196800
1986-04-11,2.109375,2.156250,2.093750,2.156250,1.067492,438400
1986-04-14,2.156250,2.187500,2.140625,2.171875,1.075228,348800
1986-04-15,2.171875,2.187500,2.156250,2.187500,1.082964,257600
1986-04-16,2.210938,2.242188,2.210938,2.226563,1.102302,587200
1986-04-17,2.234375,2.281250,2.234375,2.265625,1.121641,414400
1986-04-18,2.265625,2.304688,2.187500,2.304688,1.140980,262400
1986-04-21,2.304688,2.359375,2.273438,2.335938,1.156451,409600
1986-04-22,2.335938,2.375000,2.296875,2.312500,1.144847,488000
1986-04-23,2.312500,2.351563,2.296875,2.328125,1.152582,187200
1986-04-24,2.328125,2.367188,2.289063,2.351563,1.164186,209600
1986-04-25,2.351563,2.398438,2.328125,2.398438,1.187392,441600
1986-04-28,2.398438,2.421875,2.359375,2.398438,1.187392,286400
1986-04-29,2.398438,2.421875,2.367188,2.414063,1.195128,412800
1986-04-30,2.406250,2.406250,2.343750,2.351563,1.164186,321600
1986-05-01,2.351563,2.390625,2.312500,2.328125,1.152582,888000
1986-05-02,2.328125,2.359375,2.289063,2.289063,1.133244,265600
1986-05-05,2.304688,2.414063,2.304688,2.406250,1.191260,292800
1986-05-06,2.406250,2.414063,2.351563,2.367188,1.171921,238400
1986-05-07,2.367188,2.382813,2.296875,2.296875,1.137111,156800
1986-05-08,2.296875,2.320313,2.281250,2.289063,1.133244,148800
1986-05-09,2.289063,2.296875,2.203125,2.210938,1.094567,651200
1986-05-12,2.210938,2.226563,2.195313,2.210938,1.094567,305600
1986-05-13,2.210938,2.226563,2.187500,2.195313,1.086831,94400
1986-05-14,2.195313,2.203125,2.156250,2.203125,1.090699,233600
1986-05-15,2.203125,2.234375,2.203125,2.234375,1.106170,224000
1986-05-16,2.234375,2.234375,2.187500,2.187500,1.082964,177600
1986-05-19,2.195313,2.218750,2.195313,2.195313,1.086831,169600
1986-05-20,2.195313,2.242188,2.187500,2.218750,1.098434,144000
1986-05-21,2.226563,2.250000,2.226563,2.234375,1.106170,115200
1986-05-22,2.234375,2.343750,2.218750,2.343750,1.160318,265600
1986-05-23,2.343750,2.390625,2.335938,2.375000,1.175789,246400
1986-05-27,2.375000,2.429688,2.359375,2.429688,1.208588,243200
1986-05-28,2.429688,2.460938,2.414063,2.453125,1.220246,425600
1986-05-29,2.453125,2.500000,2.445313,2.500000,1.243563,390400
1986-05-30,2.500000,2.515625,2.445313,2.476563,1.231905,344000
1986-06-02,2.476563,2.492188,2.375000,2.375000,1.181384,384000
1986-06-03,2.375000,2.390625,2.351563,2.359375,1.173612,129600
1986-06-04,2.375000,2.445313,2.375000,2.437500,1.212474,435200
1986-06-05,2.445313,2.484375,2.445313,2.468750,1.228019,270400
1986-06-06,2.468750,2.562500,2.468750,2.539063,1.262994,270400
1986-06-09,2.539063,2.539063,2.484375,2.484375,1.235791,449600
1986-06-10,2.476563,2.492188,2.453125,2.468750,1.228019,264000
1986-06-11,2.484375,2.539063,2.484375,2.539063,1.262994,236800
1986-06-12,2.539063,2.570313,2.507813,2.562500,1.274653,366400
1986-06-13,2.562500,2.625000,2.562500,2.609375,1.297969,356800
1986-06-16,2.609375,2.843750,2.593750,2.843750,1.414553,548800
1986-06-17,2.820313,2.820313,2.687500,2.718750,1.352376,1547200
1986-06-18,2.718750,2.726563,2.671875,2.718750,1.352376,1260800
1986-06-19,2.718750,2.718750,2.593750,2.593750,1.290197,380800
1986-06-20,2.609375,2.703125,2.609375,2.687500,1.336830,395200
1986-06-23,2.687500,2.687500,2.625000,2.632813,1.309628,340800
1986-06-24,2.632813,2.664063,2.632813,2.640625,1.313514,219200
1986-06-25,2.648438,2.710938,2.648438,2.664063,1.325172,240000
1986-06-26,2.656250,2.656250,2.625000,2.640625,1.313514,283200
1986-06-27,2.640625,2.671875,2.617188,2.617188,1.301855,161600
1986-06-30,2.632813,2.656250,2.632813,2.656250,1.321286,59200
1986-07-01,2.656250,2.687500,2.632813,2.656250,1.321286,139200
1986-07-02,2.632813,2.679688,2.632813,2.664063,1.325172,233600
1986-07-03,2.664063,2.664063,2.625000,2.625000,1.305741,224000
1986-07-07,2.625000,2.648438,2.609375,2.609375,1.297969,232000
1986-07-08,2.609375,2.625000,2.539063,2.593750,1.290197,606400
1986-07-09,2.593750,2.601563,2.578125,2.585938,1.286311,168000
1986-07-10,2.593750,2.609375,2.578125,2.609375,1.297969,203200
1986-07-11,2.593750,2.601563,2.578125,2.578125,1.282425,249600
1986-07-14,2.570313,2.593750,2.539063,2.585938,1.286311,464000
1986-07-15,2.593750,2.593750,2.453125,2.453125,1.220246,1057600
1986-07-16,2.453125,2.570313,2.453125,2.492188,1.239677,387200
1986-07-17,2.507813,2.570313,2.500000,2.570313,1.278539,339200
1986-07-18,2.570313,2.593750,2.539063,2.562500,1.274653,128000
1986-07-21,2.570313,2.625000,2.562500,2.562500,1.274653,131200
1986-07-22,2.578125,2.632813,2.570313,2.570313,1.278539,123200
1986-07-23,2.585938,2.617188,2.585938,2.593750,1.290197,126400
1986-07-24,2.593750,2.617188,2.578125,2.578125,1.282425,222400
1986-07-25,2.585938,2.609375,2.585938,2.609375,1.297969,137600
1986-07-28,2.601563,2.617188,2.562500,2.562500,1.274653,324800
1986-07-29,2.562500,2.562500,2.476563,2.507813,1.247450,216000
1986-07-30,2.507813,2.585938,2.507813,2.562500,1.274653,624000
1986-07-31,2.531250,2.539063,2.476563,2.500000,1.243563,198400
1986-08-01,2.523438,2.523438,2.406250,2.421875,1.204702,403200
1986-08-04,2.390625,2.445313,2.281250,2.414063,1.200816,420800
1986-08-05,2.421875,2.445313,2.343750,2.367188,1.177500,212800
1986-08-06,2.390625,2.421875,2.382813,2.421875,1.204702,185600
1986-08-07,2.429688,2.492188,2.421875,2.492188,1.239677,64000
1986-08-08,2.445313,2.484375,2.437500,2.453125,1.220246,360000
1986-08-11,2.468750,2.546875,2.468750,2.531250,1.259108,361600
