Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,4.023438,4.183594,4.023438,4.023438,1.453662,6400
1986-03-14,4.023438,4.183594,4.023438,4.023438,1.453662,18000
1986-03-17,4.023438,4.183594,4.023438,4.023438,1.453662,800
1986-03-18,4.023438,4.132813,4.023438,4.023438,1.453662,12800
1986-03-19,4.023438,4.132813,4.023438,4.023438,1.453662,5200
1986-03-20,4.023438,4.183594,4.023438,4.023438,1.453662,14400
1986-03-21,4.023438,4.183594,4.023438,4.023438,1.453662,22800
1986-03-24,4.023438,4.183594,4.023438,4.023438,1.453662,4400
1986-03-25,4.023438,4.183594,4.023438,4.023438,1.453662,1600
1986-03-26,4.023438,4.183594,4.023438,4.023438,1.453662,5200
1986-03-27,4.023438,4.183594,4.023438,4.023438,1.453662,22800
1986-03-31,4.023438,4.183594,4.023438,4.023438,1.453662,6400
1986-04-01,4.078125,4.183594,4.078125,4.078125,1.473420,72400
1986-04-02,4.078125,4.238281,4.078125,4.078125,1.473420,19200
1986-04-03,4.375000,4.511719,4.375000,4.375000,1.580680,45600
1986-04-04,4.375000,4.511719,4.375000,4.375000,1.580680,15600
1986-04-07,4.375000,4.511719,4.375000,4.375000,1.580680,13600
1986-04-08,4.375000,4.511719,4.375000,4.375000,1.580680,10000
1986-04-09,4.402344,4.511719,4.402344,4.402344,1.590560,8000
1986-04-10,4.402344,4.402344,4.402344,4.402344,1.590560,0
1986-04-11,4.402344,4.511719,4.402344,4.402344,1.590560,4400
1986-04-14,4.402344,4.402344,4.402344,4.402344,1.590560,0
1986-04-15,4.402344,4.566406,4.402344,4.402344,1.590560,29200
1986-04-16,4.457031,4.566406,4.457031,4.457031,1.610318,36400
1986-04-17,4.457031,4.566406,4.457031,4.457031,1.610318,800
1986-04-18,4.457031,4.566406,4.457031,4.457031,1.610318,1600
1986-04-21,4.457031,4.457031,4.457031,4.457031,1.610318,0
1986-04-22,4.511719,4.621094,4.511719,4.511719,1.630077,14400
1986-04-23,4.511719,4.511719,4.511719,4.511719,1.630077,0
1986-04-24,4.511719,4.621094,4.511719,4.511719,1.630077,6400
1986-04-25,4.511719,4.621094,4.511719,4.511719,1.630077,1600
1986-04-28,4.511719,4.621094,4.511719,4.511719,1.630077,800
1986-04-29,4.511719,4.675781,4.511719,4.511719,1.630077,5200
1986-04-30,4.511719,4.675781,4.511719,4.511719,1.630077,2400
1986-05-01,4.511719,4.511719,4.511719,4.511719,1.630077,0
1986-05-02,4.511719,4.511719,4.511719,4.511719,1.630077,0
1986-05-05,4.511719,4.675781,4.457031,4.457031,1.610318,7200
1986-05-06,4.457031,4.457031,4.457031,4.457031,1.610318,0
1986-05-07,4.457031,4.457031,4.457031,4.457031,1.610318,0
1986-05-08,4.457031,4.621094,4.457031,4.621094,1.669594,16400
1986-05-09,4.621094,4.621094,4.621094,4.621094,1.669594,0
1986-05-12,4.621094,4.621094,4.511719,4.511719,1.630077,6400
1986-05-13,4.621094,4.890625,4.621094,4.890625,1.766975,49600
1986-05-14,4.890625,4.890625,4.781250,4.781250,1.727458,26400
1986-05-15,4.890625,5.000000,4.890625,4.890625,1.766975,20000
1986-05-16,4.890625,4.890625,4.890625,4.890625,1.766975,2400
1986-05-19,4.890625,5.000000,4.835938,4.835938,1.747217,15600
1986-05-20,4.835938,5.109375,4.835938,5.109375,1.846009,16400
1986-05-21,5.109375,5.218750,5.054688,5.218750,1.885526,15600
1986-05-22,5.164063,5.164063,5.054688,5.054688,1.826251,16400
1986-05-23,5.054688,5.054688,5.054688,5.054688,1.826251,0
1986-05-27,5.109375,5.191406,5.109375,5.191406,1.875647,6400
1986-05-28,5.191406,5.191406,5.054688,5.054688,1.826251,2400
1986-05-29,5.175781,5.175781,5.175781,5.175781,1.870001,800
1986-05-30,5.175781,5.191406,5.066406,5.066406,1.830484,100800
1986-06-02,5.066406,5.066406,5.054688,5.054688,1.826251,11600
1986-06-03,5.054688,5.054688,5.054688,5.054688,1.826251,800
1986-06-04,5.164063,5.164063,5.164063,5.164063,1.865768,2400
1986-06-05,5.054688,5.054688,5.054688,5.054688,1.826251,3600
1986-06-06,5.109375,5.109375,5.109375,5.109375,1.846009,800
1986-06-09,4.972656,4.972656,4.972656,4.972656,1.796612,2400
1986-06-10,4.945313,4.945313,4.945313,4.945313,1.786733,800
1986-06-11,4.945313,4.945313,4.945313,4.945313,1.786733,0
1986-06-12,4.945313,5.054688,4.890625,5.054688,1.826251,92800
1986-06-13,5.054688,5.054688,4.945313,4.945313,1.786733,78000
1986-06-16,4.945313,5.054688,4.890625,5.000000,1.806492,56800
1986-06-17,4.890625,4.890625,4.890625,4.890625,1.766975,20000
1986-06-18,4.890625,5.000000,4.890625,4.890625,1.766975,44800
1986-06-19,4.890625,4.890625,4.890625,4.890625,1.766975,5200
1986-06-20,4.890625,4.890625,4.890625,4.890625,1.766975,0
1986-06-23,4.890625,5.054688,4.890625,4.890625,1.766975,8800
1986-06-24,4.890625,5.054688,4.890625,4.890625,1.766975,27200
1986-06-25,4.890625,5.000000,4.890625,4.890625,1.766975,28400
1986-06-26,4.890625,4.890625,4.890625,4.890625,1.766975,2400
1986-06-27,5.000000,5.000000,5.000000,5.000000,1.806492,1600
1986-06-30,4.890625,4.890625,4.890625,4.890625,1.766975,27200
1986-07-01,4.890625,5.027344,4.890625,5.000000,1.806492,42000
1986-07-02,5.054688,5.164063,5.054688,5.054688,1.826251,69600
1986-07-03,5.164063,5.328125,5.164063,5.328125,1.925043,29200
1986-07-07,5.328125,5.437500,5.273438,5.300781,1.915163,52400
1986-07-08,5.300781,5.300781,5.218750,5.218750,1.885526,20800
1986-07-09,5.218750,5.218750,5.191406,5.218750,1.885526,11600
1986-07-10,5.164063,5.164063,5.164063,5.164063,1.865768,7200
1986-07-11,5.164063,5.273438,5.164063,5.273438,1.905284,1600
1986-07-14,5.164063,5.164063,5.109375,5.109375,1.846009,3600
1986-07-15,5.109375,5.109375,5.109375,5.109375,1.846009,0
1986-07-16,5.011719,5.011719,5.011719,5.011719,1.810727,6400
1986-07-17,5.011719,5.011719,5.011719,5.011719,1.810727,0
1986-07-18,5.011719,5.011719,5.011719,5.011719,1.810727,0
1986-07-21,5.011719,5.011719,5.011719,5.011719,1.810727,0
1986-07-22,5.000000,5.000000,5.000000,5.000000,1.806492,800
1986-07-23,5.000000,5.000000,5.000000,5.000000,1.806492,14400
1986-07-24,5.000000,5.000000,5.000000,5.000000,1.806492,4400
1986-07-25,5.109375,5.109375,5.109375,5.109375,1.846009,1600
1986-07-28,5.000000,5.000000,5.000000,5.000000,1.806492,8800
1986-07-29,5.000000,5.109375,5.000000,5.109375,1.846009,68800
1986-07-30,5.109375,5.164063,5.000000,5.164063,1.865768,2400
1986-07-31,5.164063,5.164063,5.164063,5.164063,1.865768,0
1986-08-01,5.109375,5.109375,5.000000,5.109375,1.846009,26400
1986-08-04,5.000000,5.000000,5.000000,5.000000,1.806492,800
1986-08-05,5.000000,5.000000,5.000000,5.000000,1.806492,14400
1986-08-06,5.082031,5.082031,5.082031,5.082031,1.836129,15600
1986-08-07,5.000000,5.000000,5.000000,5.000000,1.806492,800
1986-08-08,5.000000,5.082031,4.675781,4.867188,1.758506,59600
1986-08-11,4.867188,4.867188,4.675781,4.675781,1.689352,12800
1986-08-12,4.890625,4.890625,4.890625,4.890625,1.766975,5200
1986-08-13,4.835938,4.835938,4.835938,4.835938,1.747217,4400
1986-08-14,4.703125,4.703125,4.675781,4.675781,1.689352,27200
1986-08-15,4.675781,4.781250,4.675781,4.687500,1.693586,14400
1986-08-18,4.890625,4.890625,4.890625,4.890625,1.766975,8800
1986-08-19,4.675781,4.675781,4.675781,4.675781,1.689352,6400
1986-08-20,4.675781,4.675781,4.675781,4.675781,1.689352,800
1986-08-21,4.675781,4.675781,4.675781,4.675781,1.689352,20000
1986-08-22,4.675781,4.781250,4.675781,4.675781,1.689352,11600
1986-08-25,4.566406,4.566406,4.566406,4.566406,1.649835,4400
1986-08-26,4.566406,4.566406,4.566406,4.566406,1.649835,0
1986-08-27,4.566406,4.566406,4.566406,4.566406,1.649835,1600
1986-08-28,4.566406,4.566406,4.566406,4.566406,1.649835,800
1986-08-29,4.566406,4.566406,4.566406,4.566406,1.649835,0
1986-09-02,4.566406,4.566406,4.566406,4.566406,1.649835,4400
1986-09-03,4.566406,4.675781,4.566406,4.675781,1.689352,5200
1986-09-04,4.566406,4.566406,4.566406,4.566406,1.649835,2400
1986-09-05,4.566406,4.621094,4.566406,4.621094,1.669594,14400
1986-09-08,4.621094,4.675781,4.621094,4.675781,1.689352,57600
