Date,Open,High,Low,Close,Adj Close,Volume
1996-10-16,7.000000,8.250000,7.000000,8.125000,3.956737,39000
1996-10-17,8.250000,8.625000,8.250000,8.375000,4.078484,23600
1996-10-18,8.750000,8.750000,8.625000,8.625000,4.200231,79000
1996-10-21,8.687500,8.687500,8.625000,8.687500,4.230666,16800
1996-10-22,8.625000,8.625000,8.187500,8.187500,3.987172,72400
1996-10-23,7.875000,8.000000,7.750000,7.875000,3.834992,27200
1996-10-24,7.812500,7.812500,7.500000,7.562500,3.682809,79400
1996-10-25,7.500000,7.562500,7.500000,7.562500,3.682809,96400
1996-10-28,7.500000,7.625000,7.500000,7.625000,3.713244,48400
1996-10-29,7.625000,7.750000,7.625000,7.750000,3.774119,16000
1996-10-30,7.875000,7.875000,7.750000,7.750000,3.774119,28200
1996-10-31,7.750000,7.812500,7.500000,7.625000,3.713244,361600
1996-11-01,7.562500,7.625000,7.187500,7.250000,3.530627,1305000
1996-11-04,7.250000,7.375000,7.250000,7.312500,3.561063,1030400
1996-11-05,7.312500,7.625000,7.312500,7.500000,3.652372,927400
1996-11-06,7.562500,7.875000,7.500000,7.687500,3.743682,659800
1996-11-07,7.687500,7.812500,7.625000,7.750000,3.774119,1180800
1996-11-08,7.812500,7.812500,7.687500,7.687500,3.743682,990800
1996-11-11,7.625000,8.000000,7.625000,7.937500,3.865428,1018800
1996-11-12,8.000000,8.000000,7.687500,7.750000,3.774119,211200
1996-11-13,7.812500,7.812500,7.500000,7.562500,3.682809,952200
1996-11-14,7.562500,7.562500,7.437500,7.500000,3.652372,891000
1996-11-15,7.562500,7.750000,7.562500,7.750000,3.774119,1254400
1996-11-18,7.875000,7.937500,7.625000,7.625000,3.713244,547800
1996-11-19,7.750000,7.875000,7.750000,7.812500,3.804557,669000
1996-11-20,7.812500,7.937500,7.812500,7.812500,3.804557,477000
1996-11-21,7.875000,7.937500,7.500000,7.562500,3.682809,279000
1996-11-22,7.562500,7.750000,7.375000,7.437500,3.621938,709000
1996-11-25,7.562500,7.562500,7.125000,7.187500,3.500190,1209000
1996-11-26,7.187500,7.187500,6.875000,7.000000,3.408881,1263000
1996-11-27,7.062500,7.625000,7.000000,7.562500,3.682809,2561000
1996-11-29,7.500000,7.687500,7.500000,7.687500,3.743682,309000
1996-12-02,7.625000,7.812500,7.500000,7.750000,3.774119,679000
1996-12-03,7.750000,8.125000,7.750000,8.125000,3.956737,1158600
1996-12-04,8.125000,8.125000,7.875000,8.062500,3.926301,474600
1996-12-05,8.125000,8.187500,8.062500,8.187500,3.987172,547600
1996-12-06,7.937500,8.062500,7.875000,8.062500,3.926301,340200
1996-12-09,8.062500,8.187500,8.000000,8.125000,3.956737,548600
1996-12-10,8.062500,8.187500,8.000000,8.000000,3.895863,861400
1996-12-11,7.937500,8.000000,7.812500,8.000000,3.895863,722400
1996-12-12,8.000000,8.062500,8.000000,8.000000,3.895863,192800
1996-12-13,7.937500,8.000000,7.812500,7.812500,3.804557,783200
1996-12-16,7.875000,7.875000,7.687500,7.750000,3.774119,652600
1996-12-17,7.750000,8.000000,7.750000,8.000000,3.895863,343000
1996-12-18,8.000000,8.187500,7.937500,8.187500,3.987172,479200
1996-12-19,8.187500,8.250000,8.125000,8.125000,3.956737,416800
1996-12-20,8.250000,8.250000,7.937500,8.187500,3.987172,556600
1996-12-23,8.250000,8.312500,8.062500,8.187500,3.987172,314600
1996-12-24,8.125000,8.187500,8.062500,8.187500,3.987172,203200
1996-12-26,8.187500,8.250000,8.000000,8.250000,4.017610,386400
1996-12-27,8.187500,8.437500,8.187500,8.312500,4.048046,307800
1996-12-30,8.375000,8.625000,8.312500,8.625000,4.200231,391200
1996-12-31,8.687500,8.812500,8.625000,8.812500,4.291539,284200
1997-01-02,8.750000,8.750000,8.312500,8.375000,4.078484,550400
1997-01-03,8.437500,8.562500,8.375000,8.437500,4.108920,479200
1997-01-06,8.500000,8.500000,8.375000,8.437500,4.108920,294600
1997-01-07,8.500000,8.562500,8.375000,8.437500,4.108920,472400
1997-01-08,8.437500,8.562500,8.375000,8.375000,4.078484,359400
1997-01-09,8.437500,8.437500,8.312500,8.437500,4.108920,248200
1997-01-10,8.375000,8.437500,8.250000,8.312500,4.048046,268000
1997-01-13,8.312500,8.437500,8.250000,8.312500,4.048046,341800
1997-01-14,8.312500,8.375000,8.187500,8.250000,4.017610,469400
1997-01-15,8.187500,8.250000,8.000000,8.062500,3.926301,429600
1997-01-16,8.125000,8.125000,7.812500,7.937500,3.865428,273000
1997-01-17,7.937500,8.000000,7.875000,8.000000,3.895863,310600
1997-01-20,8.000000,8.187500,7.937500,8.125000,3.956737,126200
1997-01-21,8.187500,8.250000,8.062500,8.187500,3.987172,404000
1997-01-22,8.187500,8.312500,8.187500,8.250000,4.017610,287600
1997-01-23,8.312500,8.437500,8.187500,8.250000,4.017610,228400
1997-01-24,8.250000,8.250000,8.062500,8.062500,3.926301,381600
1997-01-27,8.000000,8.000000,7.687500,7.687500,3.743682,204200
1997-01-28,7.875000,7.937500,7.625000,7.687500,3.743682,252200
1997-01-29,7.750000,7.937500,7.687500,7.937500,3.865428,319600
1997-01-30,7.812500,7.937500,7.750000,7.937500,3.865428,181800
1997-01-31,7.875000,8.000000,7.875000,8.000000,3.895863,339200
1997-02-03,8.000000,8.062500,7.812500,8.000000,3.895863,330000
1997-02-04,7.937500,7.937500,7.812500,7.937500,3.865428,162200
1997-02-05,8.000000,8.062500,7.750000,7.750000,3.774119,295400
1997-02-06,7.875000,7.875000,7.750000,7.750000,3.774119,155000
1997-02-07,7.875000,8.000000,7.875000,7.937500,3.865428,87200
1997-02-10,7.937500,7.937500,7.812500,7.875000,3.834992,187200
1997-02-11,7.812500,7.875000,7.750000,7.812500,3.804557,206600
1997-02-12,7.750000,7.750000,7.500000,7.625000,3.713244,319800
1997-02-13,7.562500,7.750000,7.562500,7.687500,3.743682,238800
1997-02-14,7.687500,7.750000,7.500000,7.500000,3.652372,324600
1997-02-18,7.562500,7.687500,7.500000,7.687500,3.743682,228200
1997-02-19,7.687500,7.812500,7.625000,7.750000,3.774119,195800
1997-02-20,7.687500,7.750000,7.500000,7.625000,3.713244,1030400
1997-02-21,7.562500,7.625000,7.500000,7.562500,3.682809,678000
1997-02-24,7.562500,7.750000,7.562500,7.750000,3.774119,301200
1997-02-25,7.687500,7.937500,7.687500,7.937500,3.865428,313000
1997-02-26,7.875000,7.937500,7.750000,7.812500,3.804557,109600
1997-02-27,7.812500,7.875000,7.625000,7.750000,3.774119,149200
1997-02-28,7.750000,7.750000,7.625000,7.687500,3.743682,79200
1997-03-03,7.625000,7.687500,7.562500,7.562500,3.682809,347400
1997-03-04,7.562500,7.687500,7.500000,7.687500,3.743682,160800
1997-03-05,7.625000,7.750000,7.625000,7.687500,3.743682,56800
1997-03-06,7.625000,7.687500,7.500000,7.625000,3.713244,327600
1997-03-07,7.562500,7.625000,7.562500,7.562500,3.682809,76200
1997-03-10,7.562500,7.687500,7.562500,7.687500,3.743682,821400
1997-03-11,7.687500,7.687500,7.562500,7.625000,3.713244,199800
1997-03-12,7.562500,7.625000,7.437500,7.437500,3.621938,391000
1997-03-13,7.437500,7.562500,7.375000,7.375000,3.591501,114200
1997-03-14,7.375000,7.437500,7.375000,7.375000,3.591501,44800
1997-03-17,7.375000,7.437500,7.312500,7.375000,3.591501,94600
1997-03-18,7.312500,7.625000,7.250000,7.312500,3.561063,63800
1997-03-19,7.312500,7.312500,6.937500,7.062500,3.439318,114200
1997-03-20,7.062500,7.250000,7.062500,7.250000,3.530627,175800
1997-03-21,7.187500,7.250000,7.062500,7.125000,3.469755,445400
1997-03-24,7.125000,7.187500,7.125000,7.187500,3.500190,62000
1997-03-25,7.187500,7.187500,7.125000,7.187500,3.500190,37400
1997-03-26,7.187500,7.187500,7.062500,7.062500,3.439318,125800
1997-03-27,7.125000,7.125000,6.750000,6.875000,3.348008,249600
1997-03-31,6.750000,6.937500,6.687500,6.750000,3.287136,433800
1997-04-01,6.750000,6.937500,6.750000,6.937500,3.378444,168000
1997-04-02,6.875000,6.875000,6.812500,6.812500,3.317572,74000
1997-04-03,6.812500,7.000000,6.750000,6.812500,3.317572,1677200
1997-04-04,6.625000,6.937500,6.625000,6.937500,3.378444,3134000
1997-04-07,6.875000,7.125000,6.875000,7.062500,3.439318,989200
1997-04-08,7.000000,7.125000,7.000000,7.000000,3.408881,43200
1997-04-09,7.000000,7.125000,7.000000,7.000000,3.408881,144400
1997-04-10,7.000000,7.250000,7.000000,7.187500,3.500190,74600
1997-04-11,7.125000,7.187500,7.000000,7.000000,3.408881,186600
1997-04-14,7.000000,7.000000,6.812500,6.937500,3.378444,56400
1997-04-15,6.937500,6.937500,6.750000,6.875000,3.348008,974400
1997-04-16,6.812500,6.937500,6.812500,6.937500,3.378444,117200
1997-04-17,7.000000,7.000000,6.812500,6.875000,3.348008,51600
1997-04-18,6.875000,6.937500,6.812500,6.875000,3.348008,20400
1997-04-21,6.812500,6.875000,6.500000,6.625000,3.226263,172200
1997-04-22,6.562500,6.750000,6.500000,6.500000,3.165390,178000
1997-04-23,6.500000,6.687500,6.437500,6.562500,3.195826,1146400
1997-04-24,6.687500,6.687500,6.500000,6.562500,3.195826,165600
1997-04-25,6.625000,6.750000,6.437500,6.437500,3.134953,192600
1997-04-28,6.437500,6.437500,6.375000,6.375000,3.104516,53400
1997-04-29,6.750000,7.250000,6.750000,7.062500,3.439318,1531800
