Date,Open,High,Low,Close,Adj Close,Volume
2007-11-29,73.949997,74.500000,72.500000,74.250000,13.613096,70700
2007-11-30,74.750000,77.550003,74.650002,77.550003,14.218122,242180
2007-12-03,76.050003,77.000000,75.550003,76.550003,14.034782,91380
2007-12-04,76.550003,77.500000,75.650002,75.800003,13.897274,93960
2007-12-05,76.500000,76.500000,74.550003,76.150002,13.961443,137580
2007-12-06,78.699997,78.699997,75.349998,76.500000,14.025613,68960
2007-12-07,74.000000,76.500000,74.000000,76.250000,13.979778,57440
2007-12-10,76.250000,77.250000,75.800003,76.500000,14.025613,50680
2007-12-11,76.500000,76.550003,73.900002,76.500000,14.025613,63500
2007-12-12,78.500000,78.500000,75.599998,76.099998,13.952272,77620
2007-12-13,75.250000,76.500000,75.000000,76.300003,13.988946,40340
2007-12-14,76.250000,76.349998,75.650002,76.250000,13.979778,27080
2007-12-17,76.500000,76.900002,76.250000,76.250000,13.979778,45140
2007-12-18,76.650002,82.099998,75.900002,79.000000,14.483966,85380
2007-12-19,82.449997,85.750000,80.750000,84.199997,15.437340,311660
2007-12-20,84.949997,86.250000,82.250000,86.250000,15.813192,72840
2007-12-21,86.199997,88.650002,82.900002,86.199997,15.804026,451600
2007-12-24,88.199997,88.650002,85.250000,88.550003,16.234875,66060
2007-12-26,88.550003,88.750000,85.349998,87.500000,16.042368,75780
2007-12-27,87.750000,87.750000,84.500000,85.599998,15.716468,52780
2007-12-28,88.949997,88.949997,85.000000,87.250000,16.019417,35400
2007-12-31,87.500000,89.400002,85.099998,89.400002,16.414164,58600
2008-01-02,90.650002,90.650002,85.250000,88.599998,16.267284,300140
2008-01-03,88.599998,89.550003,86.550003,88.949997,16.331539,53640
2008-01-04,87.949997,88.650002,85.300003,85.400002,15.679747,117020
2008-01-07,85.849998,88.699997,85.750000,88.300003,16.212198,78200
2008-01-08,88.849998,88.849998,85.400002,86.800003,15.936794,74960
2008-01-09,87.000000,87.849998,85.099998,87.750000,16.111217,46440
2008-01-10,86.900002,88.000000,84.949997,87.000000,15.973512,74280
2008-01-11,86.500000,87.699997,85.650002,86.150002,15.817452,100420
2008-01-14,86.599998,87.849998,85.650002,87.550003,16.074499,46560
2008-01-15,86.550003,89.400002,86.550003,87.500000,16.065319,103860
