Date,Open,High,Low,Close,Adj Close,Volume
1990-02-08,1.447917,1.447917,1.416667,1.437500,1.153265,9012000
1990-02-09,1.458333,1.458333,1.427083,1.427083,1.144908,3483600
1990-02-12,1.427083,1.437500,1.395833,1.416667,1.136552,1982400
1990-02-13,1.416667,1.416667,1.406250,1.406250,1.128194,2212800
1990-02-14,1.416667,1.416667,1.395833,1.395833,1.119837,657600
1990-02-15,1.406250,1.406250,1.343750,1.364583,1.094766,1494000
1990-02-16,1.375000,1.375000,1.354167,1.364583,1.094766,638400
1990-02-20,1.364583,1.364583,1.333333,1.333333,1.069695,1190400
1990-02-21,1.343750,1.343750,1.333333,1.333333,1.069695,272400
1990-02-22,1.333333,1.354167,1.333333,1.354167,1.086409,38400
1990-02-23,1.333333,1.333333,1.291667,1.291667,1.036268,1143600
1990-02-26,1.302083,1.302083,1.281250,1.281250,1.027910,316800
1990-02-27,1.281250,1.291667,1.281250,1.291667,1.036268,325200
1990-02-28,1.291667,1.343750,1.291667,1.343750,1.078052,475200
1990-03-01,1.333333,1.364583,1.333333,1.364583,1.094766,428400
1990-03-02,1.354167,1.375000,1.354167,1.375000,1.103123,1364400
1990-03-05,1.364583,1.375000,1.354167,1.364583,1.094766,241200
1990-03-06,1.364583,1.385417,1.364583,1.385417,1.111480,430800
1990-03-07,1.395833,1.395833,1.375000,1.375000,1.103123,202800
1990-03-08,1.375000,1.375000,1.375000,1.375000,1.103123,793200
1990-03-09,1.364583,1.364583,1.333333,1.343750,1.078052,171600
1990-03-12,1.322917,1.322917,1.302083,1.302083,1.044624,1059600
1990-03-13,1.312500,1.333333,1.312500,1.333333,1.069695,90000
1990-03-14,1.333333,1.333333,1.322917,1.322917,1.061339,127200
1990-03-15,1.312500,1.333333,1.312500,1.322917,1.061339,571200
1990-03-16,1.322917,1.354167,1.322917,1.354167,1.086409,302400
1990-03-19,1.343750,1.354167,1.343750,1.354167,1.086409,14400
1990-03-20,1.354167,1.354167,1.322917,1.322917,1.061339,228000
1990-03-21,1.312500,1.312500,1.291667,1.291667,1.036268,328800
1990-03-22,1.291667,1.291667,1.291667,1.291667,1.036268,48000
1990-03-23,1.302083,1.302083,1.302083,1.302083,1.044624,0
1990-03-26,1.291667,1.312500,1.291667,1.312500,1.052981,50400
1990-03-27,1.312500,1.322917,1.312500,1.322917,1.061339,204000
1990-03-28,1.322917,1.322917,1.322917,1.322917,1.061339,2400
1990-03-29,1.312500,1.312500,1.302083,1.312500,1.052981,8400
1990-03-30,1.312500,1.312500,1.312500,1.312500,1.052981,0
1990-04-02,1.291667,1.291667,1.281250,1.281250,1.027910,160800
1990-04-03,1.291667,1.302083,1.291667,1.302083,1.044624,36000
