Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,0.000000,2.640625,2.593750,2.593750,1.354564,16800
1986-03-14,0.000000,2.656250,2.593750,2.625000,1.370883,104000
1986-03-17,0.000000,2.625000,2.500000,2.500000,1.305604,416800
1986-03-18,0.000000,2.625000,2.500000,2.546875,1.330083,94400
1986-03-19,0.000000,2.625000,2.562500,2.593750,1.354564,156800
1986-03-20,0.000000,2.609375,2.578125,2.609375,1.362723,36800
1986-03-21,0.000000,2.609375,2.562500,2.609375,1.362723,329600
1986-03-24,0.000000,2.656250,2.593750,2.609375,1.362723,192800
1986-03-25,0.000000,2.656250,2.609375,2.625000,1.370883,190400
1986-03-26,0.000000,2.718750,2.609375,2.718750,1.419844,204800
1986-03-27,0.000000,2.859375,2.718750,2.781250,1.452484,218400
1986-03-31,0.000000,2.828125,2.765625,2.828125,1.476964,193600
1986-04-01,0.000000,2.828125,2.781250,2.796875,1.460644,41600
1986-04-02,0.000000,2.843750,2.781250,2.843750,1.485124,70400
1986-04-03,0.000000,2.843750,2.703125,2.703125,1.411684,289600
1986-04-04,0.000000,2.750000,2.687500,2.687500,1.403524,41600
1986-04-07,0.000000,2.750000,2.687500,2.734375,1.428004,75200
1986-04-08,0.000000,2.734375,2.703125,2.703125,1.411684,28000
1986-04-09,0.000000,2.734375,2.625000,2.625000,1.370883,48800
1986-04-10,0.000000,2.625000,2.625000,2.625000,1.370883,27200
1986-04-11,0.000000,2.640625,2.609375,2.609375,1.362723,232000
1986-04-14,0.000000,2.656250,2.625000,2.625000,1.370883,36000
1986-04-15,0.000000,2.671875,2.625000,2.640625,1.379044,54400
1986-04-16,0.000000,2.671875,2.640625,2.640625,1.379044,14400
1986-04-17,0.000000,2.750000,2.640625,2.750000,1.436164,560000
1986-04-18,0.000000,2.812500,2.765625,2.781250,1.452484,92000
1986-04-21,0.000000,2.843750,2.781250,2.828125,1.476964,47200
1986-04-22,0.000000,2.843750,2.781250,2.812500,1.468804,57600
1986-04-23,0.000000,2.828125,2.796875,2.828125,1.476964,96000
1986-04-24,0.000000,2.828125,2.796875,2.812500,1.468804,28800
1986-04-25,0.000000,2.843750,2.796875,2.796875,1.460644,176000
1986-04-28,0.000000,2.843750,2.796875,2.828125,1.476964,189600
1986-04-29,0.000000,2.875000,2.828125,2.828125,1.476964,368800
1986-04-30,0.000000,2.937500,2.812500,2.937500,1.534084,394400
1986-05-01,0.000000,2.968750,2.937500,2.937500,1.534084,171200
1986-05-02,0.000000,2.968750,2.937500,2.968750,1.550405,62400
1986-05-05,0.000000,2.968750,2.937500,2.937500,1.534084,45600
1986-05-06,0.000000,3.000000,2.937500,3.000000,1.566724,87200
1986-05-07,0.000000,3.062500,2.968750,3.062500,1.599364,48800
1986-05-08,0.000000,3.140625,3.093750,3.093750,1.615685,152800
1986-05-09,0.000000,3.171875,3.093750,3.093750,1.615685,255200
1986-05-12,0.000000,3.062500,2.968750,2.968750,1.550405,28800
1986-05-13,0.000000,2.984375,2.921875,2.921875,1.525924,33600
1986-05-14,0.000000,2.921875,2.828125,2.875000,1.501445,68000
1986-05-15,0.000000,2.906250,2.812500,2.828125,1.476964,320800
1986-05-16,0.000000,2.843750,2.828125,2.828125,1.476964,37600
1986-05-19,0.000000,2.828125,2.828125,2.828125,1.476964,8800
1986-05-20,0.000000,2.875000,2.828125,2.843750,1.485124,34400
1986-05-21,0.000000,2.906250,2.843750,2.843750,1.485124,90400
1986-05-22,0.000000,2.828125,2.781250,2.812500,1.468804,37600
1986-05-23,0.000000,2.796875,2.750000,2.750000,1.436164,178400
1986-05-27,0.000000,2.781250,2.750000,2.750000,1.436164,660000
1986-05-28,0.000000,2.812500,2.750000,2.781250,1.452484,252000
1986-05-29,0.000000,2.812500,2.781250,2.812500,1.468804,160000
1986-05-30,0.000000,2.812500,2.765625,2.765625,1.444324,8000
1986-06-02,0.000000,2.796875,2.765625,2.765625,1.444324,35200
1986-06-03,0.000000,2.828125,2.781250,2.828125,1.476964,142400
1986-06-04,0.000000,2.828125,2.781250,2.812500,1.468804,9600
1986-06-05,0.000000,2.796875,2.781250,2.781250,1.452484,5600
1986-06-06,0.000000,2.781250,2.750000,2.781250,1.452484,104800
1986-06-09,0.000000,2.796875,2.765625,2.781250,1.452484,118400
1986-06-10,0.000000,2.812500,2.781250,2.812500,1.468804,37600
1986-06-11,0.000000,2.843750,2.796875,2.843750,1.485124,40800
1986-06-12,0.000000,2.937500,2.859375,2.937500,1.534084,75200
