Date,Open,High,Low,Close,Adj Close,Volume
1995-11-28,13.150000,13.200000,13.150000,13.150000,3.752433,20880250
1995-11-29,13.150000,13.200000,13.150000,13.150000,3.752433,2914250
1995-11-30,13.150000,13.200000,13.150000,13.150000,3.752433,4901000
1995-12-01,12.700000,12.750000,12.400000,12.550000,3.581220,3265250
1995-12-04,12.350000,12.400000,12.200000,12.350000,3.524150,980500
1995-12-05,12.300000,12.550000,12.300000,12.550000,3.581220,1919500
1995-12-06,12.750000,12.750000,12.600000,12.650000,3.609755,938500
1995-12-07,12.750000,12.750000,12.650000,12.650000,3.609755,251250
1995-12-08,12.650000,12.750000,12.650000,12.750000,3.638291,253750
1995-12-11,12.700000,12.900000,12.700000,12.900000,3.681093,1000500
1995-12-12,12.900000,13.000000,12.850000,12.850000,3.666827,498000
1995-12-13,12.900000,12.950000,12.900000,12.900000,3.681093,970750
1995-12-14,13.150000,13.250000,13.050000,13.050000,3.723898,1043000
1995-12-15,13.200000,13.300000,13.150000,13.250000,3.780969,1356750
1995-12-18,13.300000,13.300000,13.100000,13.150000,3.752433,886000
1995-12-19,13.200000,13.450000,13.200000,13.400000,3.823771,1107750
1995-12-20,13.850000,13.850000,13.600000,13.600000,3.880845,1403500
1995-12-21,13.600000,13.900000,13.550000,13.750000,3.923647,663250
1995-12-22,13.750000,13.750000,13.650000,13.650000,3.895111,552750
1995-12-26,13.700000,13.800000,13.700000,13.700000,3.909380,104750
1995-12-27,13.700000,13.750000,13.650000,13.650000,3.895111,261500
1995-12-28,13.650000,13.750000,13.550000,13.750000,3.923647,333750
1995-12-29,13.750000,13.750000,13.650000,13.700000,3.909380,171750
1996-01-02,13.950000,14.000000,13.900000,13.950000,3.980719,737250
1996-01-03,14.100000,14.100000,13.950000,14.000000,3.994986,506750
1996-01-04,13.950000,13.950000,13.700000,13.750000,3.923647,965750
1996-01-05,13.750000,13.850000,13.700000,13.800000,3.937915,285500
1996-01-08,13.900000,14.050000,13.900000,13.950000,3.980719,599250
1996-01-09,14.350000,14.350000,14.200000,14.200000,4.052057,1229750
1996-01-10,14.200000,14.250000,14.000000,14.000000,3.994986,412500
1996-01-11,14.200000,14.250000,14.150000,14.150000,4.037790,279000
1996-01-12,14.150000,14.250000,14.150000,14.200000,4.052057,183500
1996-01-15,14.050000,14.050000,13.700000,13.750000,3.923647,208500
1996-01-16,13.900000,14.200000,13.900000,14.200000,4.052057,464000
1996-01-17,14.200000,14.200000,14.050000,14.100000,4.023522,154000
1996-01-18,14.300000,14.400000,14.250000,14.400000,4.109128,382000
1996-01-19,14.650000,14.800000,14.550000,14.750000,4.209003,863000
1996-01-22,14.650000,14.650000,14.400000,14.450000,4.123399,117500
1996-01-23,14.400000,14.450000,14.350000,14.400000,4.109128,87500
1996-01-24,14.500000,14.550000,14.500000,14.550000,4.151933,251250
1996-01-25,14.500000,14.500000,14.450000,14.500000,4.137664,136750
1996-01-26,14.150000,14.450000,14.150000,14.450000,4.123399,294250
1996-01-29,14.450000,14.550000,14.450000,14.550000,4.151933,238000
1996-01-30,14.600000,14.650000,14.600000,14.600000,4.166202,409250
1996-01-31,14.550000,14.900000,14.450000,14.900000,4.251806,580500
1996-02-01,14.950000,15.150000,14.900000,15.100000,4.308878,236250
1996-02-02,15.050000,15.150000,15.050000,15.050000,4.294610,235000
1996-02-05,15.000000,15.100000,14.950000,15.100000,4.308878,542250
1996-02-06,15.150000,15.400000,15.150000,15.350000,4.380217,509750
1996-02-07,15.250000,15.300000,15.150000,15.250000,4.351682,342500
1996-02-08,15.250000,15.350000,15.250000,15.300000,4.365950,64750
1996-02-09,15.300000,15.450000,15.300000,15.350000,4.380217,341750
1996-02-12,15.200000,15.200000,15.000000,15.050000,4.294610,87750
1996-02-13,15.250000,15.500000,15.200000,15.300000,4.365950,288750
1996-02-14,14.950000,14.950000,14.700000,14.900000,4.251806,224250
1996-02-15,14.700000,14.700000,14.500000,14.600000,4.166202,301250
1996-02-16,14.550000,14.600000,14.350000,14.350000,4.094861,280750
1996-02-20,13.950000,14.300000,13.950000,14.250000,4.066325,383250
1996-02-21,14.550000,14.850000,14.550000,14.850000,4.237540,413750
1996-02-22,14.950000,15.050000,14.850000,14.950000,4.266075,338250
1996-02-23,14.900000,15.100000,14.900000,15.050000,4.294610,60000
1996-02-26,14.950000,14.950000,14.800000,14.850000,4.237540,38750
1996-02-27,14.950000,15.100000,14.950000,15.100000,4.308878,334250
1996-02-28,15.150000,15.400000,15.150000,15.250000,4.351682,303250
1996-02-29,15.100000,15.100000,15.000000,15.000000,4.280343,58500
1996-03-01,15.050000,15.100000,14.950000,15.000000,4.280343,87750
1996-03-04,15.000000,15.350000,15.000000,15.350000,4.380217,242000
1996-03-05,15.450000,15.500000,15.400000,15.450000,4.408754,204500
1996-03-06,15.350000,15.350000,15.200000,15.250000,4.351682,259000
1996-03-07,15.200000,15.350000,15.200000,15.300000,4.365950,30000
1996-03-08,15.050000,15.050000,14.750000,14.800000,4.223271,56250
1996-03-11,14.600000,14.650000,14.350000,14.650000,4.180468,98250
1996-03-12,14.650000,14.650000,14.550000,14.600000,4.166202,742000
1996-03-13,14.750000,14.800000,14.600000,14.650000,4.180468,34250
1996-03-14,14.600000,15.050000,14.600000,15.000000,4.280343,182250
1996-03-15,14.900000,15.000000,14.850000,14.950000,4.266075,46000
1996-03-18,15.050000,15.150000,15.050000,15.150000,4.323146,148000
1996-03-19,15.150000,15.250000,15.100000,15.100000,4.308878,82000
1996-03-20,15.150000,15.300000,15.150000,15.300000,4.365950,49000
1996-03-21,15.200000,15.200000,15.100000,15.100000,4.308878,236000
1996-03-22,15.000000,15.050000,14.900000,15.050000,4.294610,80250
1996-03-25,15.000000,15.050000,14.950000,15.000000,4.280343,422500
1996-03-26,14.750000,14.750000,14.600000,14.650000,4.180468,95500
1996-03-27,14.450000,14.550000,14.450000,14.450000,4.123399,68500
1996-03-28,14.350000,14.550000,14.350000,14.500000,4.137664,113250
1996-03-29,14.550000,14.550000,14.450000,14.450000,4.123399,68250
1996-04-01,14.450000,14.550000,14.450000,14.500000,4.137664,39750
1996-04-02,14.550000,14.600000,14.500000,14.600000,4.166202,32000
1996-04-03,14.600000,14.650000,14.600000,14.600000,4.166202,3937500
1996-04-04,14.900000,14.950000,14.900000,14.950000,4.266075,120500
1996-04-08,14.850000,14.850000,14.700000,14.750000,4.209003,18000
1996-04-09,14.850000,15.100000,14.850000,15.100000,4.308878,393000
1996-04-10,15.550000,15.650000,15.500000,15.600000,4.451557,212500
1996-04-11,15.800000,15.850000,15.450000,15.500000,4.423020,123500
1996-04-12,15.700000,15.950000,15.700000,15.900000,4.537164,814750
1996-04-15,16.150000,16.200001,15.950000,16.049999,4.579967,382000
1996-04-16,15.900000,15.900000,15.850000,15.850000,4.522896,124250
1996-04-17,15.600000,15.600000,15.600000,15.600000,4.451557,22750
1996-04-18,15.700000,15.900000,15.700000,15.850000,4.522896,226250
1996-04-19,15.850000,16.000000,15.850000,16.000000,4.565700,323500
1996-04-22,16.950001,16.950001,16.799999,16.900000,4.822518,913750
1996-04-23,17.150000,17.150000,17.049999,17.100000,4.879591,534250
1996-04-24,17.400000,17.549999,17.299999,17.500000,4.993733,1121000
1996-04-25,17.450001,17.450001,17.350000,17.400000,4.965197,817250
1996-04-26,17.200001,17.200001,16.950001,17.000000,4.851054,553750
1996-04-29,16.950001,17.049999,16.950001,17.000000,4.851054,214250
1996-04-30,17.200001,17.250000,17.000000,17.000000,4.851054,676250
1996-05-01,17.049999,17.100000,17.049999,17.049999,4.865324,588750
1996-05-02,17.100000,17.100000,16.750000,16.750000,4.779715,243500
1996-05-03,16.900000,17.049999,16.850000,16.950001,4.836789,194250
1996-05-06,16.900000,16.900000,16.850000,16.900000,4.822518,83250
1996-05-07,17.000000,17.049999,16.950001,16.950001,4.836789,267250
1996-05-08,17.000000,17.049999,16.850000,17.049999,4.865324,550750
1996-05-09,17.250000,17.400000,17.250000,17.400000,4.965197,515250
1996-05-10,17.799999,17.900000,17.799999,17.799999,5.079340,843750
1996-05-13,17.950001,18.049999,17.900000,18.049999,5.150681,2715250
1996-05-14,18.250000,18.250000,18.049999,18.049999,5.150681,76000
1996-05-15,18.200001,18.350000,18.200001,18.350000,5.236285,38250
1996-05-16,18.250000,18.299999,18.250000,18.250000,5.207750,321750
1996-05-17,18.299999,18.450001,18.299999,18.450001,5.264822,258000
1996-05-20,18.350000,18.400000,18.250000,18.299999,5.222018,2341500
1996-05-21,18.200001,18.200001,18.100000,18.100000,5.164947,59750
1996-05-22,17.950001,18.049999,17.950001,18.000000,5.136411,36500
1996-05-23,18.000000,18.049999,18.000000,18.049999,5.150681,34500
1996-05-24,18.000000,18.049999,17.950001,18.000000,5.136411,9000
1996-05-28,18.700001,18.750000,18.600000,18.600000,5.307625,395000
1996-05-29,18.900000,19.250000,18.900000,19.200001,5.478838,359750
1996-05-30,19.549999,19.600000,19.299999,19.350000,5.521644,307250
1996-05-31,19.100000,19.100000,18.750000,18.799999,5.364696,356000
1996-06-03,19.150000,19.250000,19.000000,19.100000,5.450303,400000
1996-06-04,19.049999,19.150000,19.049999,19.100000,5.450303,69750
1996-06-05,18.950001,18.950001,18.900000,18.900000,5.393232,30250
1996-06-06,19.000000,19.000000,18.850000,18.850000,5.378963,101750
1996-06-07,18.700001,18.700001,18.600000,18.650000,5.321893,35250
1996-06-10,18.799999,18.799999,18.750000,18.750000,5.350428,314500
1996-06-11,18.900000,19.000000,18.900000,18.900000,5.393232,725250
1996-06-12,19.100000,19.150000,19.100000,19.100000,5.450303,34500
1996-06-13,19.100000,19.250000,19.100000,19.250000,5.493107,187500
1996-06-14,19.150000,19.150000,19.049999,19.100000,5.450303,76000
1996-06-17,19.200001,19.299999,19.200001,19.250000,5.493107,976750
1996-06-18,19.450001,19.700001,19.450001,19.600000,5.592982,259000
1996-06-19,19.250000,19.299999,19.150000,19.200001,5.634536,525000
1996-06-20,19.299999,19.350000,19.250000,19.350000,5.678556,216250
1996-06-21,19.600000,19.600000,19.549999,19.549999,5.737250,83250
1996-06-24,19.400000,19.500000,19.400000,19.500000,5.722575,36750
1996-06-25,19.650000,19.799999,19.650000,19.750000,5.795942,74500
1996-06-26,19.750000,19.799999,19.700001,19.700001,5.781268,113500
1996-06-27,19.600000,19.700001,19.600000,19.700001,5.781268,8500
1996-06-28,19.799999,20.000000,19.799999,20.000000,5.869308,19750
1996-07-01,20.100000,20.400000,20.100000,20.350000,5.972021,45750
1996-07-02,20.450001,20.500000,20.450001,20.500000,6.016040,59000
1996-07-03,20.150000,20.200001,20.049999,20.150000,5.913328,31250
1996-07-05,19.549999,19.650000,19.450001,19.450001,5.707902,14750
1996-07-08,19.400000,19.600000,19.400000,19.500000,5.722575,312750
1996-07-09,19.549999,19.700001,19.549999,19.600000,5.751923,362250
1996-07-10,19.700001,19.850000,19.700001,19.799999,5.810615,40500
1996-07-11,19.750000,19.850000,19.700001,19.750000,5.795942,230250
1996-07-12,19.700001,19.750000,19.549999,19.650000,5.766596,83500
1996-07-15,19.000000,19.000000,18.700001,18.700001,5.487805,122250
1996-07-16,18.650000,18.750000,18.450001,18.500000,5.429111,65000
1996-07-17,18.500000,18.600000,18.400000,18.500000,5.429111,31000
1996-07-18,18.450001,18.600000,18.450001,18.549999,5.443781,7500
1996-07-19,18.650000,18.650000,18.600000,18.600000,5.458457,4500
1996-07-22,18.500000,18.549999,18.500000,18.549999,5.443781,29500
1996-07-23,18.150000,18.350000,18.150000,18.200001,5.341071,149500
1996-07-24,17.650000,17.650000,17.400000,17.500000,5.135644,90250
1996-07-25,17.549999,17.549999,17.299999,17.350000,5.091626,28250
