Date,Open,High,Low,Close,Adj Close,Volume
1992-02-28,4.500000,4.500000,3.500000,4.046875,2.975316,31921600
1992-03-02,4.031250,4.031250,3.671875,3.671875,2.699611,3063200
1992-03-03,3.640625,3.656250,3.500000,3.609375,2.653661,1629600
1992-03-04,3.609375,3.765625,3.609375,3.718750,2.734073,792800
1992-03-05,3.734375,3.734375,3.500000,3.515625,2.584734,621600
1992-03-06,3.562500,3.625000,3.515625,3.593750,2.642172,822400
1992-03-09,3.625000,3.656250,3.562500,3.625000,2.665148,316000
1992-03-10,3.625000,3.828125,3.593750,3.765625,2.768535,670400
1992-03-11,3.765625,3.796875,3.703125,3.718750,2.734073,555200
1992-03-12,3.718750,3.796875,3.718750,3.765625,2.768535,293600
1992-03-13,3.781250,3.859375,3.671875,3.703125,2.722587,379200
1992-03-16,3.718750,3.718750,3.593750,3.609375,2.653661,346400
1992-03-17,3.625000,3.640625,3.578125,3.578125,2.630685,212000
1992-03-18,3.578125,3.593750,3.546875,3.578125,2.630685,440800
1992-03-19,3.593750,3.593750,3.515625,3.531250,2.596221,366400
1992-03-20,3.546875,3.546875,3.421875,3.421875,2.515806,538400
1992-03-23,3.359375,3.359375,3.140625,3.218750,2.366467,1220800
1992-03-24,3.234375,3.250000,3.187500,3.187500,2.343492,472000
1992-03-25,3.203125,3.250000,3.171875,3.203125,2.354980,420000
1992-03-26,3.203125,3.203125,3.140625,3.156250,2.320515,269600
1992-03-27,3.171875,3.171875,3.046875,3.062500,2.251590,487200
1992-03-30,3.031250,3.093750,2.937500,3.093750,2.274566,1059200
1992-03-31,3.078125,3.171875,3.062500,3.140625,2.309030,420000
1992-04-01,3.156250,3.359375,3.109375,3.343750,2.458369,680000
1992-04-02,3.359375,3.406250,3.234375,3.234375,2.377954,560800
1992-04-03,3.250000,3.312500,3.218750,3.265625,2.400930,269600
1992-04-06,3.328125,3.500000,3.328125,3.484375,2.561758,1020800
1992-04-07,3.531250,3.578125,3.421875,3.437500,2.527295,665600
