Date,Open,High,Low,Close,Adj Close,Volume
1993-03-16,6.708333,6.875000,6.666667,6.666667,3.651797,10505700
1993-03-17,6.708333,6.916667,6.708333,6.750000,3.697443,2322600
1993-03-18,6.750000,6.791667,6.666667,6.750000,3.697443,1085100
1993-03-19,6.666667,6.708333,6.666667,6.666667,3.651797,1076100
1993-03-22,6.666667,6.708333,6.416667,6.708333,3.674621,1107600
1993-03-23,6.708333,6.750000,6.666667,6.708333,3.674621,711300
1993-03-24,6.750000,6.750000,6.500000,6.583333,3.606150,241200
1993-03-25,6.541667,6.708333,6.541667,6.666667,3.651797,538500
1993-03-26,6.666667,6.750000,6.666667,6.750000,3.697443,125400
1993-03-29,6.750000,6.750000,6.625000,6.750000,3.697443,380100
1993-03-30,6.750000,6.875000,6.750000,6.875000,3.765915,152100
1993-03-31,6.875000,7.041667,6.875000,6.916667,3.788738,471000
1993-04-01,6.833333,6.833333,6.666667,6.666667,3.651797,210000
1993-04-02,6.666667,6.708333,6.583333,6.583333,3.606150,808800
1993-04-05,6.583333,6.666667,6.583333,6.666667,3.651797,456000
1993-04-06,6.666667,6.666667,6.541667,6.583333,3.606150,303600
1993-04-07,6.625000,6.625000,6.458333,6.500000,3.560500,241800
1993-04-08,6.500000,6.541667,6.166667,6.291667,3.446382,81900
1993-04-12,6.541667,6.583333,6.500000,6.583333,3.606150,234900
1993-04-13,6.625000,6.833333,6.625000,6.833333,3.743090,142200
1993-04-14,6.958333,7.041667,6.916667,6.916667,3.788738,198900
1993-04-15,6.875000,6.875000,6.666667,6.666667,3.651797,109200
1993-04-16,6.750000,6.791667,6.666667,6.750000,3.697443,74100
1993-04-19,6.708333,6.750000,6.666667,6.708333,3.674621,138000
1993-04-20,6.750000,6.791667,6.666667,6.750000,3.697443,244800
1993-04-21,6.916667,7.000000,6.750000,6.791667,3.720267,459900
1993-04-22,6.708333,6.833333,6.708333,6.750000,3.697443,117600
1993-04-23,6.750000,6.791667,6.708333,6.791667,3.720267,41400
1993-04-26,6.791667,6.791667,6.583333,6.583333,3.606150,81900
1993-04-27,6.583333,6.583333,6.458333,6.500000,3.560500,261900
1993-04-28,6.458333,6.500000,6.416667,6.458333,3.537678,65700
