Date,Open,High,Low,Close,Adj Close,Volume
1999-02-11,9.558428,10.096931,9.491115,9.592084,6.551674,10463452
1999-02-12,9.625740,9.625740,9.423802,9.423802,6.436733,1925895
1999-02-16,9.457458,9.457458,9.423802,9.423802,6.436733,379199
1999-02-17,9.423802,9.457458,9.423802,9.423802,6.436733,126462
1999-02-18,9.423802,9.457458,9.423802,9.423802,6.436733,247724
1999-02-19,9.423802,9.457458,9.423802,9.423802,6.436733,283564
1999-02-22,9.423802,9.457458,9.423802,9.423802,6.436733,446051
1999-02-23,9.423802,9.457458,9.019925,9.154550,6.252829,763413
1999-02-24,9.053581,9.087237,8.481422,8.515078,5.816047,384770
1999-02-25,8.481422,8.481422,8.346796,8.380452,5.724094,249766
1999-02-26,8.279483,8.346796,7.673667,7.909262,5.402257,433238
1999-03-01,7.808293,7.841949,7.438072,7.438072,5.080421,249209
1999-03-02,7.471729,7.471729,7.269790,7.269790,4.965481,95635
1999-03-03,7.303446,7.303446,7.034195,7.202477,4.919505,187000
1999-03-04,7.168821,7.673667,7.135164,7.640011,5.218352,197770
1999-03-05,7.875606,8.279483,7.875606,8.279483,5.655128,262951
1999-03-08,8.279483,8.616047,8.279483,8.582391,5.862024,207613
1999-03-09,8.582391,8.582391,8.346796,8.414109,5.747084,64252
1999-03-10,8.380452,8.414109,8.212170,8.212170,5.609154,151717
1999-03-11,8.245827,8.649704,8.212170,8.616047,5.885013,120705
1999-03-12,8.750673,8.918955,8.717017,8.784330,5.999954,202599
1999-03-15,8.750673,8.952612,8.717017,8.918955,6.091909,77065
1999-03-16,8.952612,9.053581,8.918955,9.019925,6.160874,108634
1999-03-17,9.154550,9.154550,9.019925,9.154550,6.252829,132590
1999-03-18,9.120894,9.154550,9.019925,9.087237,6.206849,67595
1999-03-19,9.087237,9.087237,8.952612,8.986268,6.137885,30269
1999-03-22,8.986268,9.019925,8.885299,8.952612,6.114893,27112
1999-03-23,8.918955,8.918955,8.649704,8.683360,5.930989,81522
1999-03-24,8.750673,9.390145,8.750673,8.885299,6.068921,141318
1999-03-25,8.918955,9.019925,8.885299,8.885299,6.068921,33612
1999-03-26,8.851642,8.851642,8.649704,8.649704,5.908000,80779
1999-03-29,8.616047,8.683360,8.582391,8.649704,5.908000,37326
1999-03-30,8.616047,8.616047,8.144857,8.144857,5.563178,56267
1999-03-31,8.077544,8.380452,7.808293,8.380452,5.724094,138904
1999-04-01,8.279483,8.279483,8.178514,8.178514,5.586162,16899
1999-04-05,8.144857,8.212170,8.077544,8.077544,5.517199,28226
1999-04-06,8.010232,8.010232,7.640011,7.640011,5.218352,41597
1999-04-07,7.438072,7.505385,7.269790,7.505385,5.126399,102878
1999-04-08,7.505385,7.740980,7.438072,7.740980,5.287314,155431
1999-04-09,7.808293,7.942919,7.774637,7.774637,5.310304,100464
1999-04-12,7.707324,7.707324,7.539041,7.539041,5.149387,29155
1999-04-13,7.471729,7.471729,7.370759,7.404416,5.057434,59981
1999-04-14,7.404416,7.471729,7.135164,7.269790,4.965481,230825
1999-04-15,7.337103,7.539041,7.303446,7.404416,5.057434,49396
1999-04-16,7.471729,7.673667,7.438072,7.471729,5.103410,141689
1999-04-19,7.505385,7.606354,7.404416,7.471729,5.103410,138161
1999-04-20,7.606354,7.673667,7.404416,7.471729,5.103410,189600
1999-04-21,7.505385,7.539041,7.404416,7.471729,5.103410,43825
1999-04-22,7.539041,7.572698,7.404416,7.505385,5.126399,77437
1999-04-23,7.539041,8.077544,7.505385,8.010232,5.471223,151160
1999-04-26,8.077544,8.077544,7.909262,7.942919,5.425248,70752
1999-04-27,7.976575,8.043888,7.909262,8.010232,5.471223,77994
1999-04-28,8.043888,8.212170,8.010232,8.178514,5.586162,128876
1999-04-29,8.212170,8.245827,8.144857,8.212170,5.609154,21727
1999-04-30,8.178514,8.212170,8.043888,8.111201,5.540188,20427
1999-05-03,8.077544,8.077544,7.909262,7.909262,5.402257,23770
1999-05-04,7.909262,7.976575,7.774637,7.875606,5.379270,26555
1999-05-05,7.875606,8.111201,7.875606,8.077544,5.517199,32126
1999-05-06,8.077544,8.212170,8.043888,8.144857,5.563178,35097
1999-05-07,8.212170,8.279483,8.144857,8.245827,5.632141,10585
1999-05-10,8.212170,8.212170,8.111201,8.178514,5.586162,34354
1999-05-11,8.144857,8.212170,8.111201,8.212170,5.609154,21170
1999-05-12,8.178514,8.313139,8.178514,8.279483,5.655128,64066
1999-05-13,8.245827,8.279483,8.144857,8.144857,5.563178,115320
1999-05-14,8.144857,8.380452,8.144857,8.245827,5.632141,54039
1999-05-17,8.245827,8.279483,8.245827,8.245827,5.632141,60352
1999-05-18,8.313139,8.481422,8.313139,8.447765,5.770071,20427
1999-05-19,8.447765,8.616047,8.447765,8.616047,5.885013,24327
1999-05-20,8.616047,8.784330,8.582391,8.784330,5.999954,66295
1999-05-21,8.750673,8.784330,8.548735,8.750673,5.976967,48468
1999-05-24,8.717017,8.717017,8.649704,8.717017,5.953979,53853
1999-05-25,8.885299,8.885299,8.750673,8.784330,5.999954,109192
1999-05-26,8.717017,8.750673,8.649704,8.750673,5.976967,30455
1999-05-27,8.750673,8.952612,8.750673,8.952612,6.114893,24698
1999-05-28,8.885299,9.019925,8.885299,8.986268,6.137885,23584
1999-06-01,9.019925,9.221863,8.952612,9.154550,6.252829,36954
1999-06-02,9.289176,9.289176,9.053581,9.053581,6.183862,85422
1999-06-03,9.019925,9.019925,8.548735,8.548735,5.839037,161745
1999-06-04,8.582391,8.616047,8.481422,8.481422,5.793062,36026
1999-06-07,8.481422,8.481422,8.212170,8.212170,5.609154,13927
1999-06-08,8.279483,8.414109,8.279483,8.380452,5.724094,28226
1999-06-09,8.178514,8.245827,8.144857,8.245827,5.632141,25441
1999-06-10,8.144857,8.178514,8.077544,8.077544,5.517199,10399
1999-06-11,8.077544,8.346796,8.077544,8.279483,5.655128,135561
1999-06-14,8.313139,8.515078,8.245827,8.447765,5.770071,27855
1999-06-15,8.447765,8.447765,8.212170,8.346796,5.701108,30455
1999-06-16,8.313139,8.346796,8.245827,8.313139,5.678117,31569
1999-06-17,8.279483,8.380452,8.279483,8.313139,5.678117,92293
1999-06-18,8.313139,8.414109,8.313139,8.380452,5.724094,32869
1999-06-21,8.346796,8.515078,8.313139,8.481422,5.793062,18384
1999-06-22,8.447765,8.447765,8.414109,8.447765,5.770071,20984
1999-06-23,8.481422,8.548735,8.447765,8.481422,5.793062,26369
1999-06-24,8.414109,8.481422,8.346796,8.380452,5.724094,17084
1999-06-25,8.346796,8.380452,8.279483,8.279483,5.655128,43454
1999-06-28,8.313139,8.346796,8.279483,8.346796,5.701108,53110
1999-06-29,8.346796,8.515078,8.346796,8.414109,5.747084,22655
1999-06-30,8.447765,8.548735,8.447765,8.515078,5.816047,16713
1999-07-01,8.515078,8.616047,8.481422,8.582391,5.862024,29526
1999-07-02,8.582391,8.616047,8.582391,8.616047,5.885013,20056
1999-07-06,8.582391,8.582391,8.279483,8.346796,5.701108,35840
1999-07-07,8.346796,8.683360,8.346796,8.649704,5.908000,31198
1999-07-08,8.683360,8.918955,8.683360,8.918955,6.091909,31012
1999-07-09,8.885299,9.221863,8.885299,9.221863,6.298801,38440
1999-07-12,9.289176,9.322833,9.120894,9.188207,6.275818,29526
1999-07-13,9.221863,9.221863,8.918955,8.986268,6.137885,46239
1999-07-14,9.053581,9.087237,8.952612,8.952612,6.114893,33240
1999-07-15,9.019925,9.120894,9.019925,9.019925,6.160874,22470
1999-07-16,8.986268,9.120894,8.986268,9.120894,6.229837,25812
1999-07-19,9.154550,9.154550,9.154550,9.154550,6.252829,11699
1999-07-20,9.154550,9.221863,9.087237,9.188207,6.275818,28969
