Date,Open,High,Low,Close,Adj Close,Volume
2015-06-02,30.209999,30.209999,27.780001,27.959999,16.066597,458500
2015-06-03,28.049999,28.260000,27.360001,27.690001,15.911451,533300
2015-06-04,27.600000,27.629999,26.250000,27.180000,15.621775,396867
2015-06-05,27.240000,28.049999,27.209999,27.809999,15.983870,175600
2015-06-08,27.510000,27.809999,27.120001,27.270000,15.673500,169333
2015-06-09,27.240000,27.566999,27.030001,27.059999,15.552805,152800
2015-06-10,27.330000,27.495001,26.820000,26.850000,15.432108,167900
2015-06-11,26.910000,27.000000,26.850000,26.940001,15.483834,145867
2015-06-12,26.730000,27.000000,26.730000,26.940001,15.483834,110100
2015-06-15,26.850000,26.940001,26.459999,26.520000,15.242440,148867
2015-06-16,26.459999,26.850000,26.250000,26.520000,15.242440,146067
2015-06-17,26.430000,27.299999,26.400000,27.150000,15.604524,183600
2015-06-18,27.150000,27.900000,27.150000,27.870001,16.018351,226133
2015-06-19,27.809999,27.875999,27.600000,27.750000,15.949385,75567
2015-06-22,27.959999,28.200001,26.760000,27.354000,15.721780,154567
2015-06-23,27.540001,27.719999,27.270000,27.299999,15.690742,182467
2015-06-24,28.049999,28.049999,27.299999,27.600000,15.863173,242733
2015-06-25,27.750000,27.780001,27.570000,27.719999,15.932138,136933
2015-06-26,27.629999,28.049999,27.629999,27.690001,15.914895,84400
2015-06-29,26.850000,27.600000,26.820000,26.910000,15.466591,83700
2015-06-30,26.879999,26.982000,26.400000,26.520000,15.242440,73167
2015-07-01,26.670000,26.790001,26.400000,26.459999,15.207948,44533
2015-07-02,26.639999,26.700001,26.219999,26.280001,15.104498,55567
2015-07-06,25.320000,26.010000,25.320000,25.500000,14.755570,62367
2015-07-07,25.740000,25.860001,25.320000,25.740000,14.894446,56767
2015-07-08,25.799999,26.190001,25.530001,25.620001,14.825004,203967
2015-07-09,25.500000,25.860001,24.030001,24.780001,14.338943,218300
2015-07-10,24.450001,26.190001,24.299999,26.010000,15.050681,262467
2015-07-13,25.620001,26.070000,25.139999,25.559999,14.790289,131233
2015-07-14,25.500000,25.770000,25.350000,25.680000,14.859722,104267
2015-07-15,25.680000,26.040001,25.530001,25.770000,14.911805,187267
2015-07-16,25.650000,26.100000,25.320000,25.320000,14.651409,140333
2015-07-17,25.320000,25.620001,24.900000,25.110001,14.529895,83600
