Date,Open,High,Low,Close,Adj Close,Volume
2007-07-27,20.000000,20.010000,20.000000,20.000000,4.572253,1478300
2007-07-30,20.000000,20.010000,20.000000,20.000000,4.572253,51000
2007-07-31,20.010000,20.010000,20.000000,20.010000,4.574535,9200
2007-08-01,20.000000,20.049999,20.000000,20.000000,4.572253,29300
2007-08-02,20.000000,20.049999,19.750000,19.750000,4.515097,105100
2007-08-03,19.750000,19.790001,19.580000,19.629999,4.487667,78400
2007-08-06,19.549999,19.570000,19.350000,19.450001,4.446513,73800
2007-08-07,19.400000,19.500000,19.360001,19.360001,4.425939,7600
2007-08-08,19.400000,19.450001,19.350000,19.379999,4.430513,7400
2007-08-09,19.200001,19.750000,19.200001,19.690001,4.501383,8600
2007-08-10,19.600000,19.700001,19.250000,19.250000,4.400795,9600
2007-08-13,19.379999,19.400000,19.200001,19.250000,4.400795,8300
2007-08-14,19.400000,19.730000,19.000000,19.000000,4.343640,32100
2007-08-15,19.200001,19.200001,19.000000,19.120001,4.371073,39200
2007-08-16,19.299999,19.299999,16.750000,17.850000,4.080734,54100
2007-08-17,18.000000,18.090000,17.910000,17.940001,4.101312,6700
2007-08-20,18.090000,18.840000,18.049999,18.799999,4.297916,27800
2007-08-21,18.799999,18.820000,18.600000,18.799999,4.297916,16300
2007-08-22,18.900000,19.100000,18.900000,19.049999,4.355070,16400
2007-08-23,19.049999,19.240000,19.040001,19.100000,4.366500,11100
2007-08-24,19.000000,19.150000,19.000000,19.129999,4.373358,10800
2007-08-27,19.129999,19.150000,19.049999,19.150000,4.377931,14500
2007-08-28,19.100000,19.100000,18.190001,18.209999,4.163035,30900
2007-08-29,18.250000,18.750000,18.250000,18.600000,4.252193,16000
2007-08-30,18.580000,18.580000,18.290001,18.400000,4.206473,17600
2007-08-31,18.500000,18.500000,18.100000,18.120001,4.142460,33200
2007-09-04,17.700001,18.040001,17.700001,17.700001,4.046443,108200
2007-09-05,17.700001,17.850000,17.500000,17.799999,4.069304,73500
2007-09-06,17.889999,18.200001,17.750000,18.080000,4.133316,50900
2007-09-07,18.000000,18.299999,18.000000,18.200001,4.160749,34900
2007-09-10,18.299999,18.400000,18.200001,18.270000,4.176753,30400
2007-09-11,18.299999,18.490000,18.299999,18.400000,4.206473,23000
2007-09-12,18.170000,18.350000,18.150000,18.299999,4.216150,21900
