Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,5.062500,5.114583,5.041667,5.072917,2.306860,358800
1986-03-14,5.072917,5.156250,5.062500,5.156250,2.344755,495600
1986-03-17,5.156250,5.156250,5.010417,5.041667,2.292650,302400
1986-03-18,5.041667,5.041667,4.958333,5.020833,2.283175,309600
1986-03-19,5.020833,5.083333,4.989583,5.020833,2.283175,216000
1986-03-20,5.020833,5.062500,5.000000,5.062500,2.302123,159600
1986-03-21,5.062500,5.104167,5.000000,5.000000,2.273700,566400
1986-03-24,5.000000,5.041667,4.947917,5.041667,2.292650,372000
1986-03-25,5.041667,5.052083,5.000000,5.052083,2.297386,144000
1986-03-26,5.052083,5.145833,5.052083,5.145833,2.340018,214800
1986-03-27,5.145833,5.312500,5.104167,5.239583,2.382649,607200
1986-03-31,5.187500,5.333333,5.187500,5.312500,2.415809,326400
1986-04-01,5.239583,5.322917,5.187500,5.197917,2.363703,344400
1986-04-02,5.177083,5.177083,5.083333,5.177083,2.354229,328800
1986-04-03,5.177083,5.322917,5.114583,5.114583,2.325809,577200
1986-04-04,5.114583,5.135417,4.864583,4.895833,2.226332,465600
1986-04-07,4.895833,4.927083,4.791667,4.822917,2.193174,402000
1986-04-08,4.843750,5.093750,4.843750,5.093750,2.316334,580800
1986-04-09,5.093750,5.145833,5.062500,5.135417,2.335281,181200
1986-04-10,5.156250,5.250000,5.156250,5.187500,2.358965,290400
1986-04-11,5.187500,5.229167,5.166667,5.197917,2.363703,502800
1986-04-14,5.208333,5.270833,5.208333,5.270833,2.396860,177600
1986-04-15,5.270833,5.343750,5.239583,5.312500,2.415809,242400
1986-04-16,5.312500,5.500000,5.312500,5.500000,2.501071,213600
1986-04-17,5.479167,5.479167,5.375000,5.395833,2.453702,372000
1986-04-18,5.395833,5.447917,5.333333,5.385417,2.448965,104400
1986-04-21,5.385417,5.447917,5.312500,5.395833,2.453702,121200
1986-04-22,5.395833,5.437500,5.333333,5.385417,2.448965,206400
1986-04-23,5.385417,5.406250,5.333333,5.354167,2.434756,188400
1986-04-24,5.354167,5.416667,5.333333,5.354167,2.434756,205200
1986-04-25,5.354167,5.354167,5.260417,5.302083,2.411072,265200
1986-04-28,5.302083,5.468750,5.302083,5.468750,2.486861,469200
1986-04-29,5.468750,5.562500,5.270833,5.354167,2.434756,405600
1986-04-30,5.354167,5.354167,5.229167,5.333333,2.425282,417600
1986-05-01,5.333333,5.375000,5.291667,5.375000,2.444229,339600
1986-05-02,5.354167,5.354167,5.250000,5.260417,2.392124,258000
1986-05-05,5.260417,5.343750,5.250000,5.343750,2.430019,123600
1986-05-06,5.343750,5.375000,5.322917,5.354167,2.434756,198000
1986-05-07,5.354167,5.364583,5.145833,5.229167,2.377913,228000
1986-05-08,5.239583,5.406250,5.239583,5.395833,2.453702,415200
1986-05-09,5.416667,5.541667,5.416667,5.541667,2.520021,326400
1986-05-12,5.531250,5.531250,5.437500,5.479167,2.491600,421200
1986-05-13,5.479167,5.541667,5.437500,5.489583,2.496335,504000
1986-05-14,5.489583,5.489583,5.416667,5.458333,2.482124,247200
1986-05-15,5.458333,5.500000,5.343750,5.364583,2.439492,1230000
1986-05-16,5.364583,5.447917,5.333333,5.437500,2.472650,220800
1986-05-19,5.468750,5.583333,5.468750,5.562500,2.544113,272400
1986-05-20,5.562500,5.770833,5.562500,5.750000,2.629871,462000
1986-05-21,5.750000,5.770833,5.666667,5.666667,2.591757,150000
1986-05-22,5.666667,5.739583,5.645833,5.677083,2.596522,687600
1986-05-23,5.677083,5.729167,5.656250,5.687500,2.601286,303600
1986-05-27,5.687500,5.708333,5.666667,5.708333,2.610813,336000
1986-05-28,5.708333,5.781250,5.687500,5.729167,2.620344,272400
1986-05-29,5.729167,5.833333,5.729167,5.833333,2.667985,337200
1986-05-30,5.833333,5.979167,5.812500,5.937500,2.715627,271200
1986-06-02,5.937500,6.208333,5.895833,6.062500,2.772798,418800
1986-06-03,6.062500,6.208333,6.041667,6.145833,2.810913,537600
1986-06-04,6.145833,6.187500,6.093750,6.177083,2.825204,252000
1986-06-05,6.166667,6.166667,6.114583,6.125000,2.801385,147600
1986-06-06,6.125000,6.145833,5.958333,6.041667,2.763270,301200
1986-06-09,5.989583,5.989583,5.791667,5.875000,2.687042,436800
1986-06-10,5.875000,6.000000,5.812500,5.843750,2.672748,241200
1986-06-11,5.843750,5.864583,5.781250,5.791667,2.648928,140400
1986-06-12,5.791667,5.833333,5.635417,5.760417,2.634637,249600
1986-06-13,5.760417,5.968750,5.750000,5.937500,2.715627,444000
1986-06-16,5.937500,6.072917,5.916667,6.072917,2.777564,397200
1986-06-17,6.072917,6.125000,5.979167,6.041667,2.763270,208800
1986-06-18,6.041667,6.072917,5.979167,6.072917,2.777564,163200
1986-06-19,6.072917,6.135417,6.041667,6.083333,2.782327,457200
1986-06-20,6.083333,6.135417,6.072917,6.114583,2.796621,747600
1986-06-23,6.104167,6.104167,6.062500,6.083333,2.782327,511200
1986-06-24,6.083333,6.291667,6.010417,6.291667,2.877614,1766400
1986-06-25,6.291667,6.416667,6.270833,6.385417,2.920491,642000
1986-06-26,6.385417,6.583333,6.375000,6.583333,3.011012,841200
1986-06-27,6.583333,6.687500,6.562500,6.687500,3.058655,864000
1986-06-30,6.687500,6.729167,6.625000,6.718750,3.072947,414000
1986-07-01,6.718750,6.812500,6.687500,6.770833,3.096770,453600
1986-07-02,6.729167,6.822917,6.729167,6.802083,3.111061,386400
1986-07-03,6.812500,6.916667,6.812500,6.906250,3.158701,453600
1986-07-07,6.885417,6.885417,6.708333,6.718750,3.072947,612000
1986-07-08,6.687500,6.687500,6.479167,6.687500,3.058655,1351200
1986-07-09,6.697917,6.697917,6.604167,6.614583,3.025304,458400
1986-07-10,6.614583,6.666667,6.458333,6.666667,3.049125,633600
1986-07-11,6.697917,6.697917,6.604167,6.645833,3.039597,218400
1986-07-14,6.625000,6.645833,6.416667,6.458333,2.953841,410400
1986-07-15,6.416667,6.447917,6.135417,6.135417,2.806149,1222800
1986-07-16,6.114583,6.135417,6.031250,6.104167,2.791857,685200
1986-07-17,6.125000,6.343750,6.104167,6.270833,2.868084,468000
1986-07-18,6.312500,6.375000,6.239583,6.270833,2.868084,334800
1986-07-21,6.250000,6.281250,6.239583,6.281250,2.872848,415200
1986-07-22,6.281250,6.385417,6.281250,6.333333,2.896670,142800
1986-07-23,6.354167,6.416667,6.333333,6.385417,2.920491,205200
1986-07-24,6.385417,6.458333,6.375000,6.458333,2.953841,399600
1986-07-25,6.500000,6.645833,6.489583,6.625000,3.030069,232800
1986-07-28,6.604167,6.604167,6.427083,6.458333,2.953841,565200
1986-07-29,6.458333,6.500000,6.395833,6.458333,2.953841,372000
1986-07-30,6.416667,6.437500,6.312500,6.385417,2.920491,562800
1986-07-31,6.385417,6.395833,6.354167,6.364583,2.910963,294000
1986-08-01,6.354167,6.354167,6.291667,6.291667,2.877614,350400
1986-08-04,6.270833,6.270833,6.156250,6.177083,2.825204,612000
1986-08-05,6.166667,6.500000,6.125000,6.479167,2.963368,980400
1986-08-06,6.583333,6.781250,6.562500,6.687500,3.058655,1650000
1986-08-07,6.750000,6.958333,6.708333,6.958333,3.182524,1182000
1986-08-08,6.958333,7.104167,6.927083,7.041667,3.220638,908400
1986-08-11,7.083333,7.187500,7.020833,7.083333,3.239696,1011600
1986-08-12,7.062500,7.062500,6.885417,6.937500,3.172997,634800
1986-08-13,6.916667,6.968750,6.833333,6.906250,3.158701,465600
1986-08-14,6.927083,7.020833,6.854167,7.020833,3.211110,506400
1986-08-15,7.052083,7.083333,6.895833,6.989583,3.196817,765600
1986-08-18,7.000000,7.000000,6.937500,7.000000,3.217115,472800
1986-08-19,7.020833,7.166667,7.000000,7.166667,3.293715,462000
1986-08-20,7.166667,7.229167,7.114583,7.187500,3.303288,572400
1986-08-21,7.208333,7.437500,7.187500,7.385417,3.394249,1010400
1986-08-22,7.385417,7.479167,7.385417,7.437500,3.418183,510000
1986-08-25,7.416667,7.437500,7.239583,7.270833,3.341588,604800
1986-08-26,7.218750,7.343750,7.218750,7.333333,3.370313,622800
1986-08-27,7.270833,7.322917,7.270833,7.302083,3.355951,349200
1986-08-28,7.302083,7.302083,7.166667,7.250000,3.332012,289200
1986-08-29,7.187500,7.250000,7.156250,7.197917,3.308077,332400
1986-09-02,7.197917,7.197917,6.729167,6.750000,3.102220,1194000
1986-09-03,6.750000,6.770833,6.520833,6.645833,3.054346,1363200
1986-09-04,6.656250,6.750000,6.604167,6.625000,3.044771,1084800
1986-09-05,6.614583,6.625000,6.468750,6.479167,2.977746,660000
1986-09-08,6.458333,6.500000,6.270833,6.333333,2.910726,511200
1986-09-09,6.333333,6.395833,6.291667,6.291667,2.891576,745200
1986-09-10,6.312500,6.322917,6.270833,6.322917,2.905937,286800
1986-09-11,6.229167,6.250000,5.791667,5.833333,2.680930,1881600
1986-09-12,5.854167,5.906250,5.666667,5.802083,2.666569,1284000
1986-09-15,5.822917,5.895833,5.770833,5.875000,2.700079,994800
1986-09-16,5.937500,5.968750,5.750000,5.937500,2.728805,344000
1986-09-17,5.937500,6.000000,5.843750,5.937500,2.728805,336800
1986-09-18,5.906250,6.000000,5.843750,5.906250,2.714442,304000
1986-09-19,5.968750,5.968750,5.812500,5.906250,2.714442,540400
1986-09-22,5.906250,5.968750,5.843750,5.937500,2.728805,307600
1986-09-23,5.968750,6.000000,5.812500,5.906250,2.714442,407200
1986-09-24,5.906250,5.937500,5.812500,5.875000,2.700079,344000
1986-09-25,5.843750,5.843750,5.562500,5.687500,2.613907,547600
1986-09-26,5.656250,5.718750,5.500000,5.593750,2.570820,360000
1986-09-29,5.531250,5.906250,5.343750,5.437500,2.499010,309600
1986-09-30,5.375000,5.531250,5.375000,5.406250,2.484647,389600
1986-10-01,5.437500,5.625000,5.406250,5.500000,2.527734,387200
1986-10-02,5.531250,5.656250,5.500000,5.593750,2.570820,256400
1986-10-03,5.625000,5.718750,5.500000,5.593750,2.570820,308000
1986-10-06,5.531250,5.562500,5.406250,5.500000,2.527734,276000
1986-10-07,5.406250,5.468750,5.312500,5.437500,2.499010,331200
1986-10-08,5.406250,5.500000,5.375000,5.468750,2.513373,322000
1986-10-09,5.500000,5.593750,5.500000,5.531250,2.542097,1172400
1986-10-10,5.562500,5.625000,5.468750,5.500000,2.527734,868800
1986-10-13,5.406250,5.500000,5.406250,5.500000,2.527734,191200
1986-10-14,5.500000,5.531250,5.437500,5.437500,2.499010,407200
1986-10-15,5.500000,5.625000,5.375000,5.562500,2.556458,1436400
1986-10-16,5.562500,5.625000,5.406250,5.500000,2.527734,3759600
1986-10-17,5.500000,5.593750,5.406250,5.562500,2.556458,1308400
1986-10-20,5.593750,5.593750,5.406250,5.531250,2.542097,420400
1986-10-21,5.375000,5.437500,5.312500,5.375000,2.470285,826000
1986-10-22,5.343750,5.437500,5.250000,5.312500,2.441562,812400
1986-10-23,5.312500,5.625000,5.312500,5.625000,2.585181,1689600
1986-10-24,5.687500,5.781250,5.531250,5.750000,2.642631,1391600
1986-10-27,5.750000,5.750000,5.656250,5.656250,2.599545,753600
1986-10-28,5.718750,6.000000,5.687500,5.937500,2.728805,1359600
1986-10-29,5.968750,6.406250,5.937500,6.406250,2.944237,2608400
1986-10-30,6.437500,6.531250,6.218750,6.406250,2.944237,990400
1986-10-31,6.343750,6.343750,6.187500,6.312500,2.901149,721600
1986-11-03,6.312500,6.343750,6.187500,6.312500,2.901149,822000
