Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,5.560000,5.560000,5.349000,5.426000,5.290209,38800
2016-12-02,5.516000,5.571000,5.444000,5.453000,5.316534,28100
2016-12-05,5.453000,5.453000,5.453000,5.453000,5.316534,0
2016-12-06,6.310000,6.310000,5.928000,5.967000,5.817669,7000
2016-12-07,6.200000,6.470000,6.200000,6.448000,6.286633,31100
2016-12-08,6.439000,6.445000,6.353000,6.370000,6.210584,8400
2016-12-09,6.390000,6.390000,6.003000,6.003000,5.852768,130000
2016-12-12,6.090000,6.264000,6.090000,6.244000,6.087738,25000
2016-12-13,6.111000,6.111000,5.976000,6.024000,5.873243,17000
2016-12-14,6.096000,6.200000,5.700000,5.700000,5.557352,51000
2016-12-15,5.608000,5.672000,5.120000,5.210000,5.079614,40900
2016-12-16,5.232000,5.260000,4.956000,5.000000,4.874869,82200
2016-12-19,5.087000,5.135000,4.910000,4.930000,4.806622,113200
2016-12-20,4.886000,4.890000,4.769000,4.850000,4.728624,205400
2016-12-21,4.798000,4.962000,4.749000,4.850000,4.728624,94100
2016-12-22,4.844000,4.845000,4.737000,4.780000,4.660376,92500
2016-12-23,4.820000,4.950000,4.780000,4.920000,4.796872,56300
2016-12-27,4.750000,5.060000,4.750000,4.900000,4.777372,47800
2016-12-28,4.910000,5.100000,4.889000,5.086000,4.958717,85500
2016-12-29,5.093000,5.451000,5.062000,5.451000,5.314583,91500
2016-12-30,5.400000,5.570000,5.205000,5.270000,5.138113,49200
2017-01-03,5.240000,5.390000,5.240000,5.370000,5.235610,21700
2017-01-04,5.481000,5.590000,5.400000,5.545000,5.406230,46600
2017-01-05,5.600000,5.920000,5.600000,5.843000,5.696774,141300
2017-01-06,5.900000,5.900000,5.520000,5.690000,5.547601,51200
2017-01-09,5.814000,5.946000,5.680000,5.777000,5.632423,112800
2017-01-10,5.800000,5.977000,5.800000,5.930000,5.781595,54000
2017-01-11,5.930000,6.127000,5.880000,6.127000,5.973665,107600
2017-01-12,6.360000,6.360000,6.000000,6.036000,5.884943,105600
2017-01-13,6.000000,6.140000,5.989000,6.137000,5.983414,48400
2017-01-17,6.400000,6.658000,6.270000,6.600000,6.434827,122700
2017-01-18,6.619000,6.632000,6.290000,6.300000,6.142336,66600
2017-01-19,6.270000,6.305000,6.110000,6.290000,6.132586,57100
2017-01-20,6.298000,6.553000,6.210000,6.482000,6.319780,61700
2017-01-23,6.608000,6.761000,6.480000,6.730000,6.561574,93400
2017-01-24,6.729000,6.828000,6.601000,6.652000,6.485527,32800
2017-01-25,6.562000,6.737000,6.495000,6.715000,6.546951,73500
2017-01-26,6.500000,6.700000,6.490000,6.568000,6.403628,97100
2017-01-27,6.541000,6.836000,6.541000,6.836000,6.664922,49300
2017-01-30,6.830000,7.002000,6.820000,6.820000,6.649323,42200
2017-01-31,6.880000,7.156000,6.880000,7.090000,6.912565,93800
2017-02-01,7.042000,7.490000,7.042000,7.400000,7.214808,87400
2017-02-02,7.612000,7.718000,7.606000,7.660000,7.468299,53400
2017-02-03,7.680000,7.800000,7.624000,7.727000,7.533624,72500
2017-02-06,7.721000,8.393000,7.540000,8.390000,8.180033,123800
2017-02-07,8.336000,8.400000,8.090000,8.187000,7.982113,100600
2017-02-08,8.200000,8.460000,8.200000,8.322000,8.113732,157400
2017-02-09,8.375000,8.390000,8.127000,8.171000,7.966510,89500
2017-02-10,7.930000,8.250000,7.850000,8.200000,7.994786,91700
2017-02-13,8.021000,8.103000,7.840000,8.060000,7.858290,117900
2017-02-14,8.085000,8.135000,7.850000,8.059000,7.857315,55700
2017-02-15,7.910000,8.009000,7.800000,7.800000,7.604797,167400
2017-02-16,7.943000,8.191000,7.860000,8.066000,7.864140,82300
2017-02-17,7.990000,8.057000,7.800000,7.800000,7.604797,42100
2017-02-21,7.606000,7.860000,7.396000,7.800000,7.604797,40300
2017-02-22,7.800000,7.818000,7.504000,7.750000,7.556048,46800
2017-02-23,7.874000,8.002000,7.796000,7.796000,7.600897,274000
2017-02-24,8.030000,8.030000,7.885000,7.900000,7.702294,78000
2017-02-27,7.800000,8.025000,6.709000,7.070000,6.893067,115700
2017-02-28,7.250000,7.370000,6.800000,7.100000,6.922315,53000
2017-03-01,6.870000,7.071000,6.846000,6.981000,6.806293,62100
2017-03-02,6.790000,6.998000,6.550000,6.580000,6.415328,56100
2017-03-03,6.480000,6.920000,6.419000,6.835000,6.663947,49500
2017-03-06,6.941000,6.941000,6.328000,6.568000,6.403628,41500
2017-03-07,6.475000,6.807000,6.363000,6.571000,6.406554,18300
2017-03-08,6.515000,6.730000,6.446000,6.446000,6.284682,31100
2017-03-09,6.406000,6.445000,6.342000,6.392000,6.232035,9700
2017-03-10,6.390000,6.549000,6.343000,6.532000,6.368530,26300
2017-03-13,6.590000,7.160000,6.560000,7.035000,6.858942,57200
2017-03-14,7.030000,7.286000,6.810000,6.952000,6.778019,34400
2017-03-15,6.900000,7.700000,6.750000,7.570000,7.380553,60200
2017-03-16,7.630000,7.699000,7.500000,7.505000,7.317179,33700
2017-03-17,7.460000,7.569000,6.931000,6.971000,6.796545,30100
2017-03-20,6.954000,7.300000,6.950000,7.300000,7.117311,16000
2017-03-21,7.300000,7.502000,7.210000,7.210000,7.029563,34000
2017-03-22,7.310000,7.320000,7.163000,7.217000,7.036388,21900
2017-03-23,7.203000,7.218000,6.799000,6.949000,6.775093,39800
2017-03-24,6.950000,7.109000,6.880000,6.983000,6.808243,37800
2017-03-27,7.220000,7.220000,7.000000,7.035000,6.858942,25300
2017-03-28,7.057000,7.100000,6.789000,6.939000,6.765344,29100
2017-03-29,7.150000,7.530000,7.150000,7.520000,7.331805,44800
2017-03-30,7.443000,7.463000,7.280000,7.430000,7.244056,48600
2017-03-31,7.313000,7.450000,7.301000,7.365000,7.180682,134400
2017-04-03,7.306000,7.522000,7.280000,7.506000,7.318154,61600
2017-04-04,7.544000,7.560000,7.440000,7.501000,7.313279,43300
2017-04-05,7.399000,7.569000,7.275000,7.526000,7.337654,80000
2017-04-06,7.525000,7.525000,7.330000,7.367000,7.182633,12000
2017-04-07,7.650000,7.650000,7.247000,7.380000,7.195308,36400
2017-04-10,7.340000,7.500000,7.278000,7.500000,7.312304,20300
2017-04-11,7.600000,7.769000,7.580000,7.706000,7.513150,47500
2017-04-12,7.818000,8.004000,7.677000,8.000000,7.799791,24700
2017-04-13,8.007000,8.040000,7.548000,7.785000,7.590173,54500
2017-04-17,7.875000,7.875000,7.530000,7.810000,7.614545,48500
2017-04-18,7.867000,7.963000,7.731000,7.735000,7.541423,53100
2017-04-19,7.643000,7.643000,7.250000,7.468000,7.281106,68200
2017-04-20,7.393000,7.415000,7.305000,7.351000,7.167034,24300
2017-04-21,7.296000,7.424000,7.272000,7.400000,7.214808,32800
2017-04-24,7.331000,7.331000,7.061000,7.061000,6.884290,41400
2017-04-25,7.020000,7.020000,6.520000,6.710000,6.542076,71500
2017-04-26,6.757000,7.236000,6.700000,7.230000,7.049062,84400
2017-04-27,7.031000,7.031000,6.780000,6.780000,6.610324,20400
2017-04-28,6.805000,7.059000,6.772000,6.960000,6.785819,68800
2017-05-01,6.970000,6.970000,6.500000,6.731000,6.562549,143400
2017-05-02,6.636000,6.730000,6.532000,6.590000,6.425078,38100
2017-05-03,6.570000,6.762000,6.450000,6.550000,6.386080,31800
2017-05-04,6.548000,6.555000,6.297000,6.387000,6.227158,195100
2017-05-05,6.298000,6.670000,6.298000,6.619000,6.453352,171600
2017-05-08,6.637000,6.671000,6.470000,6.612000,6.446527,93700
2017-05-09,6.521000,6.585000,6.400000,6.563000,6.398754,102100
2017-05-10,6.563000,6.740000,6.556000,6.675000,6.507951,101700
2017-05-11,6.719000,6.920000,6.689000,6.920000,6.746820,82900
2017-05-12,6.865000,7.075000,6.853000,6.991000,6.816044,120500
2017-05-15,7.302000,7.334000,7.020000,7.175000,6.995438,93200
2017-05-16,7.253000,7.345000,7.180000,7.243000,7.061736,62100
2017-05-17,7.440000,7.550000,7.314000,7.534000,7.345454,105300
2017-05-18,7.471000,7.565000,7.320000,7.511000,7.323029,65300
2017-05-19,7.522000,7.610000,7.364000,7.474000,7.286954,54200
2017-05-22,7.440000,7.600000,7.440000,7.600000,7.409802,36500
2017-05-23,7.560000,7.605000,7.180000,7.381000,7.196283,153600
2017-05-24,7.300000,7.660000,7.300000,7.607000,7.416626,41800
2017-05-25,7.620000,7.620000,7.500000,7.585000,7.395177,20200
2017-05-26,7.570000,7.835000,7.570000,7.739000,7.545322,47700
2017-05-30,7.523000,7.675000,7.500000,7.675000,7.482925,56900
2017-05-31,7.683000,7.780000,7.578000,7.730000,7.536548,64100
2017-06-01,7.695000,7.712000,7.434000,7.530000,7.341553,52500
2017-06-02,7.762000,7.810000,7.575000,7.625000,7.434177,405000
2017-06-05,7.713000,7.920000,7.447000,7.699000,7.506324,191800
2017-06-06,7.805000,8.180000,7.751000,8.146000,7.942138,160100
2017-06-07,8.144000,8.258000,8.025000,8.245000,8.038659,117500
2017-06-08,8.193000,8.250000,8.010000,8.110000,7.907039,70500
2017-06-09,8.065000,8.180000,7.849000,7.849000,7.652570,72000
2017-06-12,7.850000,8.340000,7.810000,8.241000,8.034760,98900
2017-06-13,8.243000,8.656000,8.133000,8.519000,8.305802,89800
2017-06-14,8.640000,8.725000,7.680000,7.873000,7.675971,137700
2017-06-15,7.800000,8.100000,7.749000,7.876000,7.678895,69400
2017-06-16,7.911000,8.100000,7.730000,7.921000,7.722769,115200
2017-06-19,7.971000,8.228000,7.850000,8.079000,7.876815,126100
2017-06-20,8.130000,8.233000,7.950000,8.133000,7.929462,102900
2017-06-21,8.143000,8.416000,8.100000,8.280000,8.072785,89300
2017-06-22,8.469000,8.619000,8.400000,8.550000,8.336030,66700
2017-06-23,8.640000,8.700000,8.550000,8.660000,8.443274,71300
2017-06-26,8.552000,8.947000,8.510000,8.899000,8.676293,101700
2017-06-27,9.000000,9.160000,8.920000,9.038000,8.811815,100100
2017-06-28,9.220000,9.405000,9.137000,9.347000,9.121155,103700
2017-06-29,9.430000,9.620000,9.221000,9.310000,9.085049,87800
2017-06-30,9.310000,9.607000,9.310000,9.460000,9.231424,99300
2017-07-03,9.500000,9.500000,9.280000,9.305000,9.080169,40900
2017-07-05,9.165000,9.330000,9.010000,9.190000,8.967947,71900
2017-07-06,8.590000,9.348000,8.590000,9.139000,8.918180,47200
2017-07-07,9.140000,9.140000,8.659000,8.819000,8.605913,185100
2017-07-10,8.773000,9.240000,8.773000,9.210000,8.987466,105100
2017-07-11,9.105000,9.277000,8.979000,9.230000,9.006981,124000
2017-07-12,9.320000,9.719000,9.290000,9.554000,9.323153,141700
2017-07-13,9.520000,9.570000,9.154000,9.210000,8.987466,85700
2017-07-14,9.330000,9.483000,9.250000,9.250000,9.026500,126100
2017-07-17,9.301000,9.436000,9.268000,9.296000,9.071386,65500
2017-07-18,9.388000,9.484000,9.315000,9.450000,9.221666,122700
2017-07-19,9.487000,9.542000,9.340000,9.393000,9.166043,61800
2017-07-20,9.440000,9.609000,9.420000,9.420000,9.192391,24400
2017-07-21,9.650000,9.650000,9.504000,9.597000,9.365114,51400
2017-07-24,9.589000,9.610000,9.267000,9.427000,9.199223,37600
2017-07-25,9.320000,9.380000,9.199000,9.260000,9.036257,52600
2017-07-26,9.260000,9.570000,9.148000,9.440000,9.211907,70900
2017-07-27,9.550000,9.960000,9.497000,9.930000,9.690070,102900
2017-07-28,10.046000,10.608000,10.025000,10.600000,10.343881,139500
2017-07-31,10.600000,10.600000,10.330000,10.370000,10.119438,87000
2017-08-01,10.450000,10.460000,10.198000,10.198000,9.951592,66200
2017-08-02,10.205000,10.520000,10.205000,10.330000,10.080403,65900
2017-08-03,10.360000,10.566000,10.220000,10.529000,10.274596,47600
2017-08-04,10.354000,10.520000,10.080000,10.081000,9.837421,84500
2017-08-07,10.080000,10.100000,9.900000,9.960000,9.719342,54900
2017-08-08,10.055000,10.323000,10.000000,10.309000,10.059911,49800
2017-08-09,10.431000,10.460000,10.245000,10.273000,10.024781,40600
2017-08-10,10.360000,10.440000,10.331000,10.411000,10.159448,74300
2017-08-11,10.450000,10.484000,10.362000,10.450000,10.197504,155200
2017-08-14,10.480000,10.629000,10.340000,10.470000,10.217021,60500
2017-08-15,10.380000,10.680000,10.270000,10.586000,10.330218,71200
2017-08-16,10.670000,11.450000,10.610000,11.400000,11.124550,271600
2017-08-17,11.650000,12.000000,11.216000,11.430000,11.153825,1207700
