Date,Open,High,Low,Close,Adj Close,Volume
2021-01-12,10.500000,15.060000,10.060000,10.100000,10.100000,2954600
2021-01-13,11.110000,11.720000,10.130000,10.150000,10.150000,773000
2021-01-14,10.150000,10.250000,8.890000,9.190000,9.190000,690500
2021-01-15,9.000000,10.500000,8.880000,10.100000,10.100000,994300
2021-01-19,9.700000,9.890000,9.500000,9.700000,9.700000,378900
2021-01-20,9.710000,9.710000,9.320000,9.500000,9.500000,203000
2021-01-21,9.360000,9.480000,9.180000,9.360000,9.360000,82600
2021-01-22,9.040000,9.500000,9.040000,9.430000,9.430000,87500
2021-01-25,9.350000,9.390000,8.900000,9.130000,9.130000,116800
2021-01-26,9.000000,9.170000,9.000000,9.020000,9.020000,95700
2021-01-27,8.880000,9.080000,8.480000,9.080000,9.080000,156900
2021-01-28,9.000000,9.350000,9.000000,9.350000,9.350000,54700
2021-01-29,9.190000,9.720000,9.130000,9.360000,9.360000,47400
2021-02-01,9.100000,9.490000,8.930000,8.930000,8.930000,121400
2021-02-02,9.340000,9.800000,9.110000,9.800000,9.800000,84100
