Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,9.666667,9.666667,9.333333,9.541667,5.260517,633300
1986-03-14,9.541667,9.666667,9.375000,9.583333,5.283487,513300
1986-03-17,9.666667,9.666667,9.291667,9.416667,5.191600,515700
1986-03-18,9.375000,9.375000,8.958333,9.166667,5.053771,510900
1986-03-19,9.166667,9.291667,9.166667,9.250000,5.099712,240000
1986-03-20,9.291667,9.500000,9.208333,9.416667,5.191600,499200
1986-03-21,9.416667,9.666667,9.416667,9.458333,5.214571,409800
1986-03-24,9.458333,9.583333,9.416667,9.541667,5.260517,146100
1986-03-25,9.541667,9.541667,9.333333,9.375000,5.168630,132300
1986-03-26,9.458333,9.875000,9.458333,9.833333,5.421318,1046100
1986-03-27,9.833333,10.041667,9.750000,9.833333,5.421318,861300
1986-03-31,9.750000,9.791667,9.458333,9.625000,5.306461,279600
1986-04-01,9.666667,9.750000,9.250000,9.333333,5.145656,192300
1986-04-02,9.333333,9.500000,9.250000,9.500000,5.237543,198300
1986-04-03,9.458333,9.666667,9.375000,9.375000,5.168630,521400
1986-04-04,9.416667,9.416667,8.958333,9.041667,4.984854,225600
1986-04-07,8.958333,9.083333,8.916667,9.000000,4.961884,186300
1986-04-08,9.083333,9.291667,9.000000,9.291667,5.122686,140100
1986-04-09,9.333333,9.916667,9.291667,9.791667,5.398347,672600
1986-04-10,9.833333,9.875000,9.750000,9.750000,5.375374,282600
1986-04-11,9.708333,9.750000,9.541667,9.625000,5.306461,307800
1986-04-14,9.541667,9.541667,9.250000,9.500000,5.237543,131700
1986-04-15,9.458333,9.500000,9.291667,9.416667,5.191600,247200
1986-04-16,9.458333,9.500000,9.375000,9.458333,5.214571,218100
1986-04-17,9.500000,9.541667,9.333333,9.416667,5.191600,555900
1986-04-18,9.375000,9.458333,9.250000,9.291667,5.122686,198300
1986-04-21,9.333333,9.375000,9.208333,9.291667,5.122686,239100
1986-04-22,9.291667,9.291667,9.000000,9.208333,5.076743,368700
1986-04-23,9.208333,9.291667,9.000000,9.083333,5.007826,500400
1986-04-24,9.041667,9.208333,9.041667,9.125000,5.030800,281400
1986-04-25,9.125000,9.125000,8.916667,9.000000,4.961884,321600
1986-04-28,9.000000,9.125000,8.791667,9.125000,5.030800,252000
1986-04-29,8.958333,9.000000,8.625000,8.791667,4.847026,420300
1986-04-30,8.791667,8.791667,8.250000,8.458333,4.663250,578700
1986-05-01,8.458333,8.458333,8.375000,8.458333,4.663250,225600
1986-05-02,8.500000,8.583333,8.416667,8.458333,4.663250,203400
1986-05-05,8.500000,8.750000,8.500000,8.750000,4.824056,289500
1986-05-06,8.791667,8.875000,8.708333,8.791667,4.847026,304200
1986-05-07,8.875000,8.875000,8.625000,8.750000,4.824056,156600
1986-05-08,8.750000,8.833333,8.750000,8.833333,4.869999,265500
