Date,Open,High,Low,Close,Adj Close,Volume
1992-02-05,9.125000,9.125000,8.250000,8.625000,5.318645,11325800
1992-02-06,8.625000,8.625000,8.375000,8.437500,5.203022,5696400
1992-02-07,8.437500,8.437500,7.812500,7.812500,4.817612,1698000
1992-02-10,7.875000,7.875000,7.500000,7.562500,4.663449,1104400
1992-02-11,7.562500,7.687500,7.562500,7.687500,4.740532,656200
1992-02-12,7.687500,8.000000,7.625000,7.937500,4.894696,629600
1992-02-13,8.000000,8.187500,7.937500,8.000000,4.933236,808200
1992-02-14,8.000000,8.000000,7.812500,7.812500,4.817612,418000
1992-02-18,7.875000,7.875000,7.750000,7.812500,4.817612,687200
1992-02-19,7.812500,8.000000,7.812500,8.000000,4.933236,638000
1992-02-20,8.000000,8.000000,7.812500,7.812500,4.817612,139000
1992-02-21,7.937500,7.937500,7.875000,7.937500,4.894696,410600
1992-02-24,7.937500,8.000000,7.875000,7.937500,4.894696,353800
1992-02-25,7.937500,7.937500,7.625000,7.687500,4.740532,590400
1992-02-26,7.750000,7.812500,7.562500,7.625000,4.701991,155200
1992-02-27,7.625000,7.875000,7.625000,7.687500,4.740532,438000
1992-02-28,7.875000,7.875000,7.750000,7.750000,4.779073,266600
1992-03-02,7.625000,7.937500,7.625000,7.812500,4.817612,83800
1992-03-03,7.750000,7.875000,7.750000,7.875000,4.856155,177400
1992-03-04,7.875000,7.875000,7.750000,7.750000,4.779073,247800
1992-03-05,7.812500,7.875000,7.687500,7.687500,4.740532,131200
1992-03-06,7.687500,7.812500,7.687500,7.812500,4.817612,453400
1992-03-09,7.750000,7.812500,7.750000,7.812500,4.817612,114000
1992-03-10,7.750000,7.812500,7.750000,7.750000,4.779073,57800
1992-03-11,7.750000,7.812500,7.687500,7.687500,4.740532,104200
1992-03-12,7.750000,7.750000,7.687500,7.687500,4.740532,70800
1992-03-13,7.687500,7.750000,7.687500,7.687500,4.740532,124800
1992-03-16,7.750000,7.750000,7.625000,7.750000,4.779073,34600
1992-03-17,7.687500,7.750000,7.687500,7.687500,4.740532,206200
1992-03-18,7.687500,7.687500,7.562500,7.687500,4.740532,53000
1992-03-19,7.687500,7.687500,7.500000,7.562500,4.663449,155600
1992-03-20,7.500000,7.500000,7.125000,7.250000,4.470746,218800
1992-03-23,7.125000,7.187500,6.875000,7.000000,4.316582,131600
1992-03-24,7.000000,7.062500,6.750000,7.000000,4.316582,231200
1992-03-25,7.000000,7.937500,7.000000,7.875000,4.856155,662000
1992-03-26,7.812500,7.937500,7.625000,7.625000,4.701991,162600
1992-03-27,7.625000,7.625000,7.312500,7.312500,4.509286,120600
1992-03-30,7.375000,7.375000,7.187500,7.187500,4.432205,96200
1992-03-31,7.125000,7.187500,7.062500,7.125000,4.393663,96400
1992-04-01,7.062500,7.250000,7.062500,7.062500,4.355125,503600
1992-04-02,7.125000,7.562500,7.125000,7.500000,4.624908,1363800
1992-04-03,7.437500,7.500000,7.312500,7.312500,4.509286,308600
1992-04-06,7.437500,7.437500,7.000000,7.125000,4.393663,440600
1992-04-07,7.187500,7.312500,6.875000,6.937500,4.278040,134200
1992-04-08,6.812500,6.875000,6.437500,6.750000,4.162416,136600
1992-04-09,7.000000,7.000000,6.500000,6.500000,4.008255,181200
1992-04-10,6.562500,6.750000,6.500000,6.750000,4.162416,166600
1992-04-13,6.812500,7.000000,6.625000,6.937500,4.278040,146800
1992-04-14,7.062500,7.062500,6.875000,7.000000,4.316582,161400
1992-04-15,7.000000,7.312500,6.937500,7.125000,4.393663,160600
1992-04-16,7.062500,7.125000,6.875000,6.937500,4.278040,113200
1992-04-20,6.937500,6.937500,6.687500,6.687500,4.123876,79200
1992-04-21,6.625000,6.687500,6.437500,6.500000,4.008255,123400
1992-04-22,6.500000,6.500000,6.312500,6.500000,4.008255,142600
1992-04-23,6.500000,6.500000,5.875000,6.000000,3.699928,322800
1992-04-24,5.937500,6.000000,5.625000,5.812500,3.584304,321000
1992-04-27,5.750000,6.000000,5.750000,5.875000,3.622844,247200
1992-04-28,5.875000,5.875000,5.750000,5.812500,3.584304,581600
1992-04-29,5.750000,6.250000,5.687500,6.250000,3.854090,517600
1992-04-30,6.375000,6.750000,6.375000,6.687500,4.123876,710800
1992-05-01,6.937500,6.937500,6.687500,6.687500,4.123876,199200
1992-05-04,6.750000,6.812500,6.687500,6.812500,4.200958,170400
1992-05-05,6.812500,6.812500,6.625000,6.687500,4.123876,70000
1992-05-06,6.687500,6.937500,6.687500,6.812500,4.200958,285400
1992-05-07,6.875000,6.875000,6.750000,6.812500,4.200958,125000
1992-05-08,6.750000,6.750000,6.437500,6.500000,4.008255,66000
1992-05-11,6.437500,6.875000,6.437500,6.875000,4.239500,251800
1992-05-12,6.875000,6.875000,6.625000,6.625000,4.085335,500200
1992-05-13,6.687500,6.937500,6.437500,6.437500,3.969714,646200
1992-05-14,6.437500,6.437500,6.312500,6.375000,3.931172,223000
1992-05-15,6.250000,6.375000,6.062500,6.187500,3.815551,643000
1992-05-18,6.250000,6.250000,6.062500,6.187500,3.815551,320000
1992-05-19,6.250000,6.312500,6.125000,6.187500,3.815551,576000
1992-05-20,6.062500,6.125000,5.812500,6.000000,3.699928,2278800
1992-05-21,5.812500,6.000000,5.812500,5.937500,3.661386,17965200
1992-05-22,6.062500,6.312500,6.062500,6.312500,3.892632,8355600
