Date,Open,High,Low,Close,Adj Close,Volume
2020-10-28,23.000000,32.930000,21.620001,31.860001,31.860001,5456400
2020-10-29,30.914000,38.290001,29.750000,32.849998,32.849998,1268600
2020-10-30,32.849998,35.939999,30.920000,33.830002,33.830002,321900
2020-11-02,34.340000,37.689999,34.000000,34.980000,34.980000,259000
2020-11-03,35.200001,37.959999,35.020000,37.000000,37.000000,964800
2020-11-04,37.189999,39.798000,36.250000,38.500000,38.500000,279300
2020-11-05,39.029999,41.880001,38.061001,40.790001,40.790001,254800
2020-11-06,41.180000,49.730000,41.180000,46.020000,46.020000,446800
2020-11-09,47.740002,52.930000,47.200001,49.029999,49.029999,507000
2020-11-10,48.950001,48.950001,37.299999,37.889999,37.889999,833100
2020-11-11,38.270000,40.846001,38.040001,39.000000,39.000000,228900
2020-11-12,38.529999,41.509998,38.529999,40.490002,40.490002,230100
2020-11-13,41.680000,42.770000,40.430000,41.000000,41.000000,135300
2020-11-16,41.259998,42.139999,34.230000,38.389999,38.389999,460800
2020-11-17,37.730000,40.439999,37.000000,39.500000,39.500000,124200
2020-11-18,39.419998,40.200001,38.200001,39.500000,39.500000,178200
2020-11-19,39.250000,39.980000,39.029999,39.820000,39.820000,124500
2020-11-20,39.900002,43.480000,38.575001,41.630001,41.630001,173500
2020-11-23,41.830002,42.500000,37.500000,38.330002,38.330002,145700
2020-11-24,38.570000,41.299999,38.250000,39.709999,39.709999,142200
2020-11-25,39.849998,41.889000,38.049999,38.349998,38.349998,146900
2020-11-27,38.240002,39.500000,38.240002,38.930000,38.930000,51600
2020-11-30,39.270000,40.939999,37.560001,37.750000,37.750000,248600
2020-12-01,38.169998,39.224998,35.959999,35.959999,35.959999,215000
2020-12-02,35.099998,35.919998,33.759998,34.180000,34.180000,139800
2020-12-03,34.320000,37.544998,34.320000,36.529999,36.529999,214100
2020-12-04,37.160000,39.200001,37.090000,38.160000,38.160000,169300
2020-12-07,38.630001,39.200001,36.150002,37.299999,37.299999,200600
2020-12-08,36.000000,37.330002,35.251999,36.560001,36.560001,124300
2020-12-09,36.369999,37.537998,36.209999,37.099998,37.099998,127900
2020-12-10,37.119999,38.500000,36.680000,38.299999,38.299999,163000
2020-12-11,39.200001,40.840000,36.529999,37.770000,37.770000,297100
2020-12-14,34.290001,35.369999,32.250000,33.980000,33.980000,374200
2020-12-15,34.400002,35.139999,33.599998,34.349998,34.349998,208200
2020-12-16,34.689999,35.094002,33.810001,33.900002,33.900002,231000
2020-12-17,34.340000,37.500000,34.340000,37.139999,37.139999,339700
2020-12-18,37.520000,41.860001,37.160000,40.520000,40.520000,1866000
2020-12-21,38.529999,41.099998,37.700001,41.009998,41.009998,225700
2020-12-22,40.799999,44.889999,40.259998,44.610001,44.610001,192800
2020-12-23,44.259998,44.750000,42.580002,44.680000,44.680000,196000
2020-12-24,44.680000,46.830002,43.900002,44.970001,44.970001,82600
2020-12-28,45.020000,45.020000,43.299999,43.950001,43.950001,106800
2020-12-29,43.810001,44.160000,39.529999,40.029999,40.029999,124000
2020-12-30,39.709999,40.849998,39.080002,39.419998,39.419998,92100
2020-12-31,39.799999,39.820000,38.220001,39.070000,39.070000,155500
2021-01-04,39.459999,39.700001,36.700001,37.580002,37.580002,148400
2021-01-05,37.560001,38.965000,37.160000,38.080002,38.080002,113000
2021-01-06,38.230000,40.490002,37.540001,39.099998,39.099998,155900
2021-01-07,39.750000,41.619999,38.750000,40.380001,40.380001,111500
2021-01-08,40.830002,40.976002,38.570000,39.779999,39.779999,61800
2021-01-11,39.770000,39.770000,38.310001,38.709999,38.709999,107000
2021-01-12,39.029999,40.910000,38.279999,39.009998,39.009998,137000
2021-01-13,39.580002,42.624001,39.520000,40.369999,40.369999,175000
2021-01-14,40.590000,41.450001,38.180000,38.279999,38.279999,117500
2021-01-15,38.549999,39.000000,37.160000,38.439999,38.439999,135000
2021-01-19,38.889999,39.790001,38.340000,39.340000,39.340000,76700
2021-01-20,39.490002,40.459999,39.000000,40.250000,40.250000,338900
2021-01-21,40.230000,43.000000,40.230000,41.990002,41.990002,117800
2021-01-22,41.509998,44.520000,41.255001,44.500000,44.500000,136500
2021-01-25,45.799999,48.480000,45.599998,47.529999,47.529999,142600
2021-01-26,48.610001,55.430000,48.610001,54.139999,54.139999,258000
2021-01-27,51.180000,54.380001,49.549999,53.099998,53.099998,253100
2021-01-28,52.810001,55.000000,50.639999,52.599998,52.599998,134500
2021-01-29,52.369999,55.279999,50.860001,55.000000,55.000000,171500
2021-02-01,56.000000,59.705002,55.270000,57.090000,57.090000,168800
2021-02-02,58.389999,58.849998,55.060001,57.000000,57.000000,103100
