Date,Open,High,Low,Close,Adj Close,Volume
2010-01-25,6.045949,6.964933,6.045949,6.571947,6.571947,2705613
2010-01-26,6.574970,6.574970,6.272672,6.441959,6.441959,1151846
2010-01-27,6.333132,6.438936,6.151753,6.181983,6.181983,1590486
2010-01-28,6.308948,6.308948,6.121524,6.166868,6.166868,931533
2010-01-29,6.166868,6.239420,5.894800,5.925030,5.925030,2655993
2010-02-01,6.257557,6.257557,5.925030,5.940145,5.940145,548797
2010-02-02,5.897823,6.039903,5.897823,5.925030,5.925030,489584
2010-02-03,5.925030,5.958283,5.834341,5.834341,5.834341,749262
2010-02-04,5.822249,5.888755,5.592503,5.592503,5.592503,55905
2010-02-05,5.592503,5.592503,5.290206,5.465538,5.465538,790281
2010-02-08,5.991536,5.991536,5.259976,5.713422,5.713422,436325
2010-02-09,5.891778,5.952237,5.456469,5.507860,5.507860,2045998
2010-02-10,5.562273,5.970375,4.942563,5.290206,5.290206,16512874
2010-02-11,5.305320,5.577388,5.172310,5.356711,5.356711,14868798
2010-02-12,5.244861,6.121524,5.241838,5.973398,5.973398,11665000
2010-02-16,6.045949,6.118501,5.819226,6.045949,6.045949,4047338
2010-02-17,6.106409,6.106409,5.894800,6.006651,6.006651,3395000
2010-02-18,5.819226,5.979444,5.758767,5.952237,5.952237,5559094
2010-02-19,5.912938,5.946191,5.864571,5.894800,5.894800,4070825
2010-02-22,5.792019,5.922007,5.743652,5.843410,5.843410,2328501
2010-02-23,5.843410,5.843410,5.719468,5.728537,5.728537,3727454
2010-02-24,5.659008,5.840387,5.628779,5.734583,5.734583,2753248
2010-02-25,5.607618,5.943168,5.562273,5.828295,5.828295,1900115
2010-02-26,5.795042,6.275695,5.668077,5.894800,5.894800,5583573
2010-03-01,5.934099,6.130593,5.925030,6.121524,6.121524,2535582
2010-03-02,6.067110,6.206167,6.045949,6.197098,6.197098,1779704
2010-03-03,6.100363,6.203144,6.051995,6.142684,6.142684,1864720
2010-03-04,6.115478,6.166868,5.997582,6.033857,6.033857,2081063
2010-03-05,6.073156,6.073156,5.834341,5.925030,5.925030,1457836
2010-03-08,5.915961,6.045949,5.888755,5.894800,5.894800,608010
2010-03-09,5.855502,5.982467,5.819226,5.855502,5.855502,870335
2010-03-10,5.834341,5.834341,5.722491,5.740629,5.740629,1856450
2010-03-11,5.716445,5.825272,5.668077,5.710399,5.710399,1968260
2010-03-12,5.716445,5.976421,5.716445,5.864571,5.864571,2042359
2010-03-15,5.864571,5.864571,5.674123,5.737606,5.737606,1285820
2010-03-16,5.628779,5.925030,5.628779,5.897823,5.897823,907715
2010-03-17,5.925030,6.088271,5.840387,6.055018,6.055018,1065176
2010-03-18,6.009674,6.242443,5.988513,6.064087,6.064087,1536897
2010-03-19,6.070133,6.121524,6.009674,6.070133,6.070133,1145560
2010-03-22,6.030834,6.115478,6.030834,6.079202,6.079202,849494
2010-03-23,6.097340,6.402660,6.076179,6.345224,6.345224,1650361
2010-03-24,6.305925,6.321040,6.181983,6.296856,6.296856,1571300
2010-03-25,6.302902,6.647521,6.287787,6.523579,6.523579,2774089
2010-03-26,6.541717,6.677751,6.466143,6.650544,6.650544,2753579
2010-03-29,6.650544,6.650544,6.508464,6.620314,6.620314,493554
2010-03-30,6.590085,6.662636,6.529625,6.623337,6.623337,626866
2010-03-31,6.602177,6.602177,6.523579,6.568924,6.568924,1029119
2010-04-01,6.587062,6.674728,6.487304,6.593108,6.593108,823361
2010-04-05,6.562878,6.617291,6.484281,6.587062,6.587062,1711890
2010-04-06,6.547763,6.686820,6.493349,6.668682,6.668682,5679836
2010-04-07,6.629383,6.680774,6.553809,6.656590,6.656590,1193857
2010-04-08,6.617291,6.711004,6.571947,6.659613,6.659613,1003316
2010-04-09,6.647521,6.720073,6.605200,6.698912,6.698912,730076
2010-04-12,6.717050,6.819831,6.623337,6.750302,6.750302,734707
2010-04-13,6.780532,6.865175,6.556832,6.620314,6.620314,2003325
2010-04-14,6.608222,6.714027,6.608222,6.647521,6.647521,1678148
2010-04-15,6.617291,6.650544,6.611245,6.644498,6.644498,346017
2010-04-16,6.620314,6.638452,6.472189,6.593108,6.593108,1235207
2010-04-19,6.605200,6.629383,6.538694,6.599154,6.599154,628520
2010-04-20,6.638452,6.726119,6.584039,6.626360,6.626360,1031765
2010-04-21,6.614268,6.650544,6.553809,6.629383,6.629383,675824
2010-04-22,6.568924,6.593108,6.520556,6.553809,6.553809,312275
2010-04-23,6.523579,6.562878,6.463120,6.526602,6.526602,473044
2010-04-26,6.487304,6.626360,6.487304,6.550786,6.550786,233214
2010-04-27,6.511487,6.529625,6.429867,6.463120,6.463120,626204
2010-04-28,6.463120,6.499395,6.209190,6.333132,6.333132,1824031
2010-04-29,6.351270,6.375453,6.257557,6.348247,6.348247,2078747
2010-04-30,6.372430,6.372430,6.224305,6.272672,6.272672,1072123
2010-05-03,6.257557,6.311971,6.191052,6.275695,6.275695,1365873
2010-05-04,6.215236,6.215236,6.082225,6.178960,6.178960,900768
2010-05-05,6.142684,6.142684,6.003628,6.033857,6.033857,857764
2010-05-06,6.000605,6.076179,5.652963,5.894800,5.894800,1309306
2010-05-07,5.912938,6.478235,5.909915,6.142684,6.142684,4008634
2010-05-10,6.330109,6.408706,6.151753,6.393591,6.393591,767456
2010-05-11,6.342201,6.574970,6.311971,6.559855,6.559855,868681
2010-05-12,6.559855,6.750302,6.547763,6.674728,6.674728,975860
2010-05-13,6.707981,6.744256,6.650544,6.692866,6.692866,1448242
2010-05-14,6.665659,6.707981,6.577993,6.650544,6.650544,836262
2010-05-17,6.650544,6.819831,6.602177,6.659613,6.659613,813437
2010-05-18,6.677751,6.813785,6.605200,6.617291,6.617291,738676
2010-05-19,6.593108,6.638452,6.469166,6.599154,6.599154,595440
