Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,5.289292,5.343264,5.181347,5.181347,1.752344,243180
1986-03-14,5.154361,5.208333,5.046416,5.046416,1.706710,135718
1986-03-17,5.073402,5.154361,5.073402,5.154361,1.743217,100514
1986-03-18,5.154361,5.154361,5.073402,5.100389,1.724964,839782
1986-03-19,5.154361,5.181347,5.100389,5.127375,1.734092,110705
1986-03-20,5.073402,5.181347,5.073402,5.073402,1.715838,174163
1986-03-21,5.100389,5.127375,4.965458,5.046416,1.706710,392330
1986-03-24,5.019430,5.019430,4.857513,4.938472,1.670204,113484
1986-03-25,4.938472,4.965458,4.911485,4.938472,1.670204,267266
1986-03-26,4.938472,5.046416,4.884499,4.884499,1.651949,362686
1986-03-27,4.938472,4.992444,4.857513,4.857513,1.642822,283942
1986-03-31,4.830527,4.938472,4.830527,4.857513,1.642822,496550
1986-04-01,4.857513,4.857513,4.695596,4.749568,1.606316,396036
1986-04-02,4.776554,4.857513,4.749568,4.776554,1.615442,702674
1986-04-03,4.776554,4.776554,4.695596,4.695596,1.588062,183427
1986-04-04,4.749568,4.749568,4.614637,4.695596,1.588062,375655
1986-04-07,4.803541,4.857513,4.749568,4.803541,1.624570,228821
1986-04-08,4.803541,5.073402,4.803541,5.046416,1.706710,215851
1986-04-09,5.100389,5.208333,5.073402,5.073402,1.715838,148687
1986-04-10,5.100389,5.127375,4.965458,4.965458,1.679330,491455
1986-04-11,5.019430,5.046416,4.965458,4.992444,1.688456,241327
1986-04-14,5.046416,5.046416,4.965458,4.992444,1.688456,424291
1986-04-15,5.019430,5.046416,4.884499,4.884499,1.651949,245033
1986-04-16,4.911485,4.992444,4.884499,4.911485,1.661078,499330
1986-04-17,4.884499,4.938472,4.776554,4.830527,1.633695,615593
1986-04-18,4.776554,4.857513,4.749568,4.830527,1.633695,378898
1986-04-21,4.857513,4.884499,4.641623,4.722582,1.597189,1874570
1986-04-22,4.749568,4.749568,4.641623,4.749568,1.606316,2529998
1986-04-23,4.695596,4.749568,4.695596,4.722582,1.597189,87545
1986-04-24,4.722582,4.749568,4.695596,4.695596,1.588062,273288
1986-04-25,4.668610,4.722582,4.533679,4.668610,1.578936,2740291
