Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,10.083333,10.111111,10.041667,10.069444,4.021135,343800
1986-03-14,10.125000,10.194444,10.041667,10.152778,4.054417,1377000
1986-03-17,10.125000,10.194444,10.027778,10.152778,4.054417,865800
1986-03-18,10.125000,10.138889,10.055556,10.111111,4.037778,619200
1986-03-19,10.222222,10.305556,10.208333,10.222222,4.082147,1240200
1986-03-20,10.250000,10.472222,10.250000,10.458333,4.176435,896400
1986-03-21,10.458333,10.625000,10.430556,10.513889,4.198619,2717100
1986-03-24,10.583333,10.611111,10.513889,10.597222,4.231898,659700
1986-03-25,10.569444,10.569444,10.472222,10.527778,4.204168,543600
1986-03-26,10.555556,10.750000,10.555556,10.666667,4.259632,846900
1986-03-27,10.652778,10.916667,10.652778,10.888889,4.348372,729900
1986-03-31,10.861111,11.027778,10.833333,10.916667,4.359466,902700
1986-04-01,10.916667,11.000000,10.611111,10.638889,4.248539,704700
1986-04-02,10.500000,10.500000,10.194444,10.486111,4.187530,964800
1986-04-03,10.458333,10.472222,10.333333,10.333333,4.126518,1104300
1986-04-04,10.305556,10.361111,9.777778,9.777778,3.904665,1029600
1986-04-07,9.791667,9.944444,9.694444,9.916667,3.960127,1449000
1986-04-08,9.930556,10.027778,9.888889,10.000000,3.993407,1295100
1986-04-09,10.166667,10.222222,10.000000,10.069444,4.021135,1056600
1986-04-10,10.041667,10.138889,10.013889,10.069444,4.021135,305100
1986-04-11,10.041667,10.069444,9.861111,10.000000,3.993407,1170900
1986-04-14,10.013889,10.111111,10.013889,10.083333,4.026682,575100
1986-04-15,10.055556,10.111111,10.013889,10.083333,4.026682,870300
1986-04-16,10.111111,10.291667,10.055556,10.250000,4.093240,918900
1986-04-17,10.263889,10.263889,10.083333,10.194444,4.071052,648000
1986-04-18,10.166667,10.250000,10.152778,10.194444,4.071052,585000
1986-04-21,10.222222,10.319444,10.194444,10.305556,4.115425,575100
1986-04-22,10.361111,10.444444,10.305556,10.375000,4.143158,527400
1986-04-23,10.347222,10.388889,10.291667,10.305556,4.115425,708300
1986-04-24,10.333333,10.361111,10.250000,10.250000,4.093240,706500
1986-04-25,10.138889,10.152778,10.041667,10.111111,4.037778,5065200
1986-04-28,10.069444,10.097222,10.000000,10.069444,4.059051,5848200
1986-04-29,10.097222,10.138889,9.888889,9.944444,4.008663,803700
1986-04-30,9.916667,9.916667,9.444444,9.472222,3.818305,1037700
1986-05-01,9.472222,9.597222,9.416667,9.569444,3.857498,1453500
1986-05-02,9.666667,9.666667,9.555556,9.611111,3.874291,565200
1986-05-05,9.611111,9.638889,9.555556,9.555556,3.851900,537300
1986-05-06,9.527778,9.597222,9.402778,9.555556,3.851900,804600
1986-05-07,9.555556,9.555556,9.361111,9.444444,3.807110,449100
1986-05-08,9.444444,9.472222,9.388889,9.388889,3.784713,350100
1986-05-09,9.430556,9.611111,9.388889,9.611111,3.874291,999900
1986-05-12,9.652778,9.694444,9.541667,9.569444,3.857498,513900
1986-05-13,9.555556,9.555556,9.263889,9.375000,3.779115,1789200
1986-05-14,9.375000,9.388889,9.222222,9.277778,3.739925,1008000
1986-05-15,9.250000,9.277778,9.166667,9.250000,3.728728,812700
1986-05-16,9.263889,9.263889,9.138889,9.208333,3.711930,934200
1986-05-19,9.236111,9.263889,9.180556,9.194444,3.706333,813600
1986-05-20,9.250000,9.430556,9.222222,9.388889,3.784713,335700
1986-05-21,9.333333,9.361111,9.222222,9.277778,3.739925,1237500
1986-05-22,9.250000,9.472222,9.250000,9.444444,3.807110,733500
1986-05-23,9.472222,9.597222,9.458333,9.555556,3.851900,419400
1986-05-27,9.527778,9.638889,9.527778,9.569444,3.857498,756000
1986-05-28,9.597222,9.597222,9.388889,9.458333,3.812708,969300
1986-05-29,9.472222,9.472222,9.236111,9.333333,3.762323,603900
1986-05-30,9.291667,9.333333,9.250000,9.291667,3.745525,1046700
1986-06-02,9.263889,9.333333,9.250000,9.291667,3.745525,1665000
1986-06-03,9.347222,9.402778,9.305556,9.361111,3.773517,1203300
1986-06-04,9.388889,9.472222,9.347222,9.472222,3.818305,1609200
1986-06-05,9.513889,9.944444,9.500000,9.944444,4.008663,724500
1986-06-06,9.888889,9.888889,9.708333,9.833333,3.963875,1070100
1986-06-09,9.777778,9.777778,9.527778,9.527778,3.840699,917100
1986-06-10,9.569444,9.569444,9.416667,9.500000,3.829504,734400
1986-06-11,9.472222,9.500000,9.444444,9.500000,3.829504,270000
1986-06-12,9.500000,9.611111,9.500000,9.583333,3.863095,1071000
1986-06-13,9.611111,9.805556,9.430556,9.791667,3.947077,965700
1986-06-16,9.777778,9.819444,9.666667,9.777778,3.941481,668700
1986-06-17,9.805556,9.833333,9.791667,9.805556,3.952674,492300
1986-06-18,9.833333,9.875000,9.750000,9.777778,3.941481,430200
1986-06-19,9.750000,9.763889,9.680556,9.680556,3.902287,515700
1986-06-20,9.666667,9.750000,9.625000,9.750000,3.930282,1090800
1986-06-23,9.750000,9.750000,9.555556,9.569444,3.857498,615600
1986-06-24,9.583333,9.694444,9.500000,9.611111,3.874291,1116000
1986-06-25,9.638889,9.652778,9.597222,9.625000,3.879893,1523700
1986-06-26,9.652778,9.722222,9.597222,9.597222,3.868695,1158300
1986-06-27,9.611111,9.694444,9.597222,9.694444,3.907885,1429200
1986-06-30,9.666667,9.777778,9.652778,9.777778,3.941481,508500
1986-07-01,9.777778,9.930556,9.777778,9.930556,4.003063,514800
1986-07-02,9.986111,10.000000,9.847222,9.847222,3.969471,585900
1986-07-03,9.875000,9.888889,9.750000,9.861111,3.975067,412200
1986-07-07,9.861111,9.861111,9.750000,9.847222,3.969471,1097100
1986-07-08,9.777778,9.777778,9.638889,9.694444,3.907885,1768500
1986-07-09,9.666667,9.666667,9.555556,9.555556,3.851900,480600
1986-07-10,9.555556,9.555556,9.375000,9.472222,3.818305,997200
1986-07-11,9.444444,9.486111,9.416667,9.458333,3.812708,680400
1986-07-14,9.458333,9.458333,9.333333,9.375000,3.779115,597600
1986-07-15,9.347222,9.402778,8.833333,8.833333,3.560767,1594800
1986-07-16,8.944444,9.097222,8.888889,8.916667,3.594358,1619100
1986-07-17,8.888889,9.013889,8.888889,8.958333,3.611156,798300
1986-07-18,8.972222,9.250000,8.902778,9.250000,3.728728,1365300
1986-07-21,9.222222,9.222222,9.138889,9.138889,3.683938,413100
1986-07-22,9.166667,9.180556,8.930556,8.958333,3.611156,963900
1986-07-23,8.944444,8.958333,8.916667,8.944444,3.605557,1212300
1986-07-24,8.930556,8.944444,8.861111,8.861111,3.571963,1199700
1986-07-25,8.833333,8.916667,8.819444,8.888889,3.583162,1393200
1986-07-28,8.861111,8.875000,8.819444,8.861111,3.610322,769500
1986-07-29,8.875000,8.944444,8.861111,8.916667,3.632957,850500
1986-07-30,8.916667,8.944444,8.777778,8.777778,3.576371,2546100
1986-07-31,8.750000,8.750000,8.666667,8.736111,3.559393,1472400
1986-08-01,8.708333,8.736111,8.472222,8.500000,3.463194,3709800
1986-08-04,8.500000,8.500000,8.208333,8.319444,3.389632,2797200
1986-08-05,8.375000,8.458333,8.291667,8.416667,3.429241,1502100
1986-08-06,8.388889,8.458333,8.361111,8.416667,3.429241,2349900
1986-08-07,8.430556,8.555556,8.416667,8.458333,3.446218,1943100
1986-08-08,8.472222,8.472222,8.388889,8.430556,3.434901,1940400
1986-08-11,8.430556,8.694444,8.430556,8.680556,3.536760,1377900
1986-08-12,8.750000,8.819444,8.694444,8.819444,3.593347,812700
1986-08-13,8.916667,9.097222,8.847222,9.027778,3.678230,1940400
1986-08-14,9.027778,9.111111,9.013889,9.055556,3.689549,617400
1986-08-15,9.097222,9.097222,9.055556,9.069444,3.695207,643500
1986-08-18,9.069444,9.069444,8.958333,9.013889,3.672572,645300
1986-08-19,9.041667,9.041667,8.819444,8.833333,3.599006,728100
1986-08-20,8.861111,8.888889,8.819444,8.875000,3.615986,689400
1986-08-21,8.875000,8.902778,8.819444,8.888889,3.621641,626400
1986-08-22,8.944444,9.055556,8.861111,9.027778,3.678230,1297800
1986-08-25,9.027778,9.111111,8.930556,9.055556,3.689549,955800
1986-08-26,9.111111,9.319444,9.111111,9.319444,3.797066,884700
1986-08-27,9.291667,9.361111,9.250000,9.277778,3.780089,1042200
1986-08-28,9.291667,9.291667,9.083333,9.194444,3.746135,1656000
1986-08-29,9.152778,9.166667,9.041667,9.083333,3.700866,1579500
1986-09-02,9.083333,9.083333,8.833333,8.875000,3.615986,1170000
1986-09-03,8.888889,9.027778,8.805556,9.013889,3.672572,584100
1986-09-04,9.000000,9.250000,8.972222,9.222222,3.757453,1864800
1986-09-05,9.222222,9.222222,8.986111,9.097222,3.706525,1541700
1986-09-08,9.125000,9.444444,9.055556,9.305556,3.791406,1293300
1986-09-09,9.333333,9.472222,9.305556,9.347222,3.808383,1006200
1986-09-10,9.305556,9.402778,9.305556,9.402778,3.831020,831600
1986-09-11,9.333333,9.333333,8.888889,9.055556,3.689549,3286800
1986-09-12,9.055556,9.083333,8.666667,8.666667,3.531099,1805400
1986-09-15,8.722222,8.722222,8.583333,8.666667,3.531099,1077300
