Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,2.531250,2.552083,2.500000,2.541667,1.262771,931200
1986-03-14,2.536458,2.593750,2.536458,2.588542,1.286060,1562400
1986-03-17,2.578125,2.708333,2.572917,2.666667,1.324875,780000
1986-03-18,2.666667,2.750000,2.656250,2.729167,1.355927,1480800
1986-03-19,2.739583,2.802083,2.739583,2.791667,1.386979,1044000
1986-03-20,2.786458,2.807292,2.781250,2.807292,1.394742,362400
1986-03-21,2.875000,2.875000,2.791667,2.791667,1.386979,1293600
1986-03-24,2.750000,2.786458,2.739583,2.750000,1.368525,576000
1986-03-25,2.687500,2.703125,2.645833,2.703125,1.345196,1000800
1986-03-26,2.708333,2.708333,2.645833,2.645833,1.316686,1017600
1986-03-27,2.661458,2.718750,2.656250,2.666667,1.327054,2083200
1986-03-31,2.635417,2.635417,2.541667,2.630208,1.308910,1207200
1986-04-01,2.640625,2.645833,2.562500,2.619792,1.303727,1226400
1986-04-02,2.625000,2.625000,2.541667,2.614583,1.301135,1437600
1986-04-03,2.625000,2.656250,2.604167,2.604167,1.295951,1140000
1986-04-04,2.583333,2.609375,2.572917,2.578125,1.282991,1142400
1986-04-07,2.572917,2.583333,2.562500,2.583333,1.285584,285600
1986-04-08,2.593750,2.677083,2.593750,2.666667,1.327054,878400
1986-04-09,2.656250,2.677083,2.593750,2.661458,1.324462,2229600
1986-04-10,2.666667,2.760417,2.661458,2.750000,1.368525,1204800
1986-04-11,2.770833,2.833333,2.750000,2.750000,1.368525,1528800
1986-04-14,2.781250,2.796875,2.770833,2.796875,1.391851,1118400
1986-04-15,2.791667,2.833333,2.791667,2.833333,1.409995,952800
1986-04-16,2.854167,2.885417,2.843750,2.854167,1.420363,1089600
1986-04-17,2.864583,2.875000,2.838542,2.854167,1.420363,585600
1986-04-18,2.833333,2.885417,2.833333,2.885417,1.435913,1046400
1986-04-21,2.885417,2.885417,2.822917,2.843750,1.415178,367200
1986-04-22,2.833333,2.854167,2.833333,2.843750,1.415178,691200
1986-04-23,2.833333,2.833333,2.807292,2.822917,1.404810,1041600
1986-04-24,2.812500,2.843750,2.812500,2.822917,1.404810,372000
1986-04-25,2.822917,2.843750,2.822917,2.822917,1.404810,549600
1986-04-28,2.822917,2.822917,2.791667,2.812500,1.399627,1166400
1986-04-29,2.802083,2.802083,2.645833,2.666667,1.327054,2085600
1986-04-30,2.645833,2.656250,2.635417,2.656250,1.321869,1375200
1986-05-01,2.645833,2.687500,2.645833,2.687500,1.337421,1680000
1986-05-02,2.697917,2.708333,2.625000,2.645833,1.316686,660000
1986-05-05,2.645833,2.656250,2.640625,2.645833,1.316686,549600
1986-05-06,2.645833,2.677083,2.645833,2.666667,1.327054,1632000
1986-05-07,2.671875,2.718750,2.671875,2.697917,1.342605,1440000
