Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,0.326250,0.326250,0.316250,0.320000,0.195170,24990000
1986-03-14,0.317500,0.318750,0.312500,0.315000,0.192121,13750000
1986-03-17,0.313750,0.313750,0.305000,0.305000,0.186022,10190000
1986-03-18,0.303750,0.312500,0.303750,0.310000,0.189071,6450000
1986-03-19,0.307500,0.310000,0.306250,0.310000,0.189071,5600000
1986-03-20,0.312500,0.315000,0.308750,0.311250,0.189834,14420000
1986-03-21,0.308750,0.315000,0.308750,0.315000,0.192121,5370000
1986-03-24,0.313750,0.316250,0.308750,0.312500,0.190596,5220000
1986-03-25,0.315000,0.315000,0.303750,0.306250,0.186784,10540000
1986-03-26,0.305000,0.305000,0.301250,0.305000,0.186022,13840000
1986-03-27,0.303750,0.303750,0.297500,0.300000,0.182972,7020000
1986-03-31,0.302500,0.303750,0.298750,0.302500,0.184497,3810000
1986-04-01,0.300000,0.302500,0.291250,0.300000,0.182972,5450000
1986-04-02,0.296250,0.300000,0.292500,0.295000,0.179923,11360000
1986-04-03,0.297500,0.300000,0.296250,0.298750,0.182210,2770000
1986-04-04,0.295000,0.298750,0.293750,0.297500,0.181447,2540000
1986-04-07,0.300000,0.308750,0.298750,0.305000,0.186022,7480000
1986-04-08,0.307500,0.313750,0.306250,0.312500,0.190596,4810000
1986-04-09,0.315000,0.325000,0.312500,0.323750,0.197457,17670000
1986-04-10,0.323750,0.338750,0.322500,0.335000,0.204319,17200000
1986-04-11,0.332500,0.337500,0.323750,0.323750,0.197457,16380000
1986-04-14,0.325000,0.333750,0.323750,0.331250,0.202032,4670000
1986-04-15,0.331250,0.332500,0.328750,0.332500,0.202794,6910000
1986-04-16,0.331250,0.347500,0.330000,0.345000,0.210418,12570000
1986-04-17,0.350000,0.355000,0.345000,0.347500,0.211943,29940000
1986-04-18,0.347500,0.350000,0.343750,0.345000,0.210418,5000000
1986-04-21,0.336250,0.340000,0.333750,0.336250,0.207147,5550000
1986-04-22,0.338750,0.338750,0.333750,0.335000,0.206377,2480000
1986-04-23,0.333750,0.336250,0.328750,0.328750,0.202526,2310000
1986-04-24,0.328750,0.332500,0.293750,0.303750,0.187125,20850000
1986-04-25,0.305000,0.318750,0.305000,0.311250,0.191745,17100000
1986-04-28,0.313750,0.313750,0.308750,0.310000,0.190975,4970000
1986-04-29,0.308750,0.308750,0.302500,0.305000,0.187895,5260000
1986-04-30,0.302500,0.306250,0.300000,0.302500,0.186355,15160000
1986-05-01,0.300000,0.305000,0.300000,0.303750,0.187125,3490000
