Date,Open,High,Low,Close,Adj Close,Volume
2010-10-06,20.760000,20.820000,20.760000,20.820000,13.173844,7700
2010-10-07,20.879999,20.879999,20.680000,20.860001,13.199148,41600
2010-10-08,20.760000,21.129999,20.700001,21.129999,13.369997,27600
2010-10-11,21.129999,21.129999,21.129999,21.129999,13.369997,0
2010-10-12,20.930000,22.040001,20.889999,22.040001,13.945795,76300
2010-10-13,22.150000,22.190001,21.760000,21.799999,13.793935,49500
2010-10-14,21.780001,21.820000,21.570000,21.709999,13.736984,52800
2010-10-15,21.700001,21.700001,21.480000,21.480000,13.591452,24700
2010-10-18,21.410000,21.799999,21.340000,21.740000,13.755970,17900
2010-10-19,21.250000,21.540001,21.230000,21.340000,13.502869,47900
2010-10-20,21.340000,21.790001,21.309999,21.790001,13.787603,32000
2010-10-21,21.660000,21.740000,21.410000,21.480000,13.591452,16300
2010-10-22,21.500000,21.500000,21.340000,21.379999,13.528176,16100
2010-10-25,21.549999,21.750000,21.230000,21.660000,13.705352,35000
2010-10-26,21.549999,21.559999,21.290001,21.299999,13.477555,32000
2010-10-27,21.200001,21.200001,21.010000,21.160000,13.388968,34800
2010-10-28,21.180000,21.340000,21.070000,21.070000,13.332024,24700
2010-10-29,21.170000,21.700001,21.100000,21.620001,13.680035,26100
2010-11-01,21.760000,21.980000,21.540001,21.540001,13.629418,70900
2010-11-02,21.750000,21.910000,21.750000,21.820000,13.806578,22000
2010-11-03,21.889999,22.120001,21.860001,21.930000,13.876196,24000
2010-11-04,22.030001,22.049999,20.820000,20.969999,13.268747,53600
2010-11-05,21.020000,21.110001,20.490000,20.620001,13.047287,117800
2010-11-08,20.629999,21.459999,20.590000,21.200001,13.414282,31800
2010-11-09,21.540001,21.600000,20.840000,20.889999,13.218129,42000
2010-11-10,21.059999,21.309999,20.820000,21.230000,13.433267,41600
2010-11-11,20.990000,21.110001,20.850000,21.030001,13.306717,36400
2010-11-12,20.920000,20.959999,20.600000,20.750000,13.129541,33800
2010-11-15,20.639999,21.040001,20.639999,20.870001,13.205472,20700
2010-11-16,20.730000,20.860001,20.520000,20.860001,13.199148,23700
2010-11-17,20.990000,21.260000,20.870001,21.120001,13.363657,18700
2010-11-18,21.370001,21.430000,21.219999,21.309999,13.483889,15700
2010-11-19,21.299999,21.620001,21.219999,21.620001,13.680035,20800
2010-11-22,21.639999,21.750000,21.410000,21.500000,13.604107,41600
2010-11-23,21.330000,21.360001,21.080000,21.280001,13.464905,17400
2010-11-24,21.510000,21.510000,21.250000,21.379999,13.528176,15400
2010-11-26,21.090000,21.090000,20.799999,20.860001,13.199148,15400
2010-11-29,20.730000,20.799999,20.340000,20.600000,13.034636,45600
2010-11-30,20.250000,20.709999,20.209999,20.690001,13.091584,29900
2010-12-01,20.990000,21.030001,20.639999,20.850000,13.192822,40600
2010-12-02,21.230000,21.230000,20.879999,20.900000,13.224463,36200
2010-12-03,20.920000,21.180000,20.840000,21.000000,13.287728,80400
2010-12-06,21.080000,21.280001,20.969999,21.110001,13.357335,70100
2010-12-07,21.200001,21.209999,20.889999,20.950001,13.256096,35200
2010-12-08,21.160000,21.230000,20.940001,21.000000,13.287728,32700
2010-12-09,21.049999,21.190001,20.920000,21.190001,13.407954,27300
