Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,6.953125,6.953125,6.843750,6.875000,1.820844,878400
1986-03-14,6.953125,6.968750,6.906250,6.937500,1.837397,528800
1986-03-17,6.937500,6.953125,6.843750,6.937500,1.837397,1049600
1986-03-18,6.875000,6.921875,6.843750,6.921875,1.833259,722400
1986-03-19,6.968750,7.140625,6.968750,7.046875,1.866365,1480000
1986-03-20,7.015625,7.046875,6.968750,7.031250,1.862227,672800
1986-03-21,7.000000,7.109375,6.968750,7.093750,1.878780,688800
1986-03-24,7.125000,7.187500,7.109375,7.156250,1.895334,702400
1986-03-25,7.187500,7.234375,7.078125,7.234375,1.916025,716000
1986-03-26,7.203125,7.296875,7.187500,7.296875,1.932579,1351200
1986-03-27,7.265625,7.375000,7.250000,7.343750,1.944993,612800
1986-03-31,7.343750,7.406250,7.312500,7.359375,1.949131,220800
1986-04-01,7.343750,7.375000,7.031250,7.250000,1.920164,1266400
1986-04-02,7.171875,7.234375,7.093750,7.234375,1.916025,424800
1986-04-03,7.234375,7.265625,7.140625,7.140625,1.891194,575200
1986-04-04,7.109375,7.156250,6.828125,6.843750,1.812568,910400
1986-04-07,6.843750,6.859375,6.796875,6.859375,1.816706,631200
1986-04-08,6.859375,7.156250,6.859375,7.156250,1.895334,1074400
1986-04-09,7.187500,7.296875,7.171875,7.250000,1.920164,611200
1986-04-10,7.218750,7.250000,7.156250,7.234375,1.916025,243200
1986-04-11,7.281250,7.281250,7.125000,7.125000,1.887058,474400
1986-04-14,7.093750,7.187500,7.031250,7.187500,1.903612,577600
1986-04-15,7.125000,7.218750,7.109375,7.187500,1.903612,212000
1986-04-16,7.218750,7.343750,7.203125,7.312500,1.936717,480000
1986-04-17,7.328125,7.437500,7.312500,7.406250,1.961545,615200
1986-04-18,7.421875,7.578125,7.187500,7.578125,2.007068,576800
1986-04-21,7.562500,7.671875,7.531250,7.656250,2.027760,364000
1986-04-22,7.671875,7.750000,7.609375,7.625000,2.019482,615200
1986-04-23,7.593750,7.625000,7.375000,7.390625,1.957407,552800
1986-04-24,7.359375,7.375000,7.250000,7.265625,1.924302,448800
1986-04-25,7.250000,7.265625,7.218750,7.234375,1.916025,232000
1986-04-28,7.234375,7.234375,7.156250,7.187500,1.903612,535200
1986-04-29,7.187500,7.203125,7.015625,7.062500,1.870504,638400
1986-04-30,7.031250,7.250000,7.031250,7.171875,1.899472,531200
1986-05-01,7.187500,7.500000,7.187500,7.500000,1.986375,943200
1986-05-02,7.468750,7.484375,7.312500,7.421875,1.965685,350400
1986-05-05,7.453125,7.578125,7.453125,7.578125,2.007068,388000
1986-05-06,7.609375,7.609375,7.484375,7.593750,2.011205,795200
1986-05-07,7.593750,7.593750,7.375000,7.531250,1.994654,283200
1986-05-08,7.531250,7.546875,7.421875,7.484375,1.982238,838400
1986-05-09,7.484375,7.500000,7.421875,7.468750,1.978100,488800
1986-05-12,7.484375,7.500000,7.390625,7.453125,1.973962,330400
1986-05-13,7.484375,7.484375,7.343750,7.375000,1.953269,680800
1986-05-14,7.406250,7.406250,7.187500,7.312500,1.936717,441600
1986-05-15,7.281250,7.281250,7.125000,7.187500,1.903612,717600
1986-05-16,7.218750,7.234375,7.171875,7.218750,1.911886,1584800
1986-05-19,7.218750,7.234375,7.171875,7.171875,1.899472,453600
1986-05-20,7.156250,7.187500,7.125000,7.171875,1.899472,365600
1986-05-21,7.093750,7.125000,6.968750,7.093750,1.889650,1090400
1986-05-22,7.109375,7.250000,7.109375,7.234375,1.927110,834400
1986-05-23,7.250000,7.484375,7.218750,7.484375,1.993704,1283200
1986-05-27,7.453125,7.515625,7.421875,7.515625,2.002028,841600
1986-05-28,7.625000,7.750000,7.609375,7.718750,2.056138,1300800
1986-05-29,7.781250,7.906250,7.781250,7.812500,2.081111,979200
1986-05-30,7.812500,7.859375,7.812500,7.843750,2.089436,384800
1986-06-02,7.828125,7.859375,7.812500,7.859375,2.093599,1116000
1986-06-03,7.843750,7.921875,7.812500,7.890625,2.101923,460000
1986-06-04,7.890625,7.890625,7.656250,7.703125,2.051976,453600
1986-06-05,7.671875,7.687500,7.578125,7.609375,2.027004,434400
1986-06-06,7.578125,7.609375,7.500000,7.578125,2.018678,506400
1986-06-09,7.562500,7.562500,7.281250,7.312500,1.947919,665600
1986-06-10,7.375000,7.468750,7.375000,7.437500,1.981219,473600
1986-06-11,7.421875,7.687500,7.421875,7.687500,2.047813,519200
1986-06-12,7.656250,7.843750,7.656250,7.765625,2.068625,730400
1986-06-13,7.781250,7.796875,7.750000,7.796875,2.076951,692800
1986-06-16,7.812500,7.843750,7.765625,7.843750,2.089436,497600
1986-06-17,7.812500,7.843750,7.562500,7.625000,2.031165,897600
1986-06-18,7.687500,7.687500,7.578125,7.593750,2.022839,746400
1986-06-19,7.609375,7.750000,7.578125,7.671875,2.043652,713600
1986-06-20,7.640625,7.671875,7.578125,7.671875,2.043652,992800
1986-06-23,7.671875,7.671875,7.531250,7.531250,2.006191,173600
1986-06-24,7.546875,7.718750,7.515625,7.625000,2.031165,248800
1986-06-25,7.625000,7.703125,7.546875,7.546875,2.010354,408800
1986-06-26,7.562500,7.562500,7.312500,7.500000,1.997867,480800
1986-06-27,7.531250,7.734375,7.515625,7.718750,2.056138,644000
1986-06-30,7.718750,7.781250,7.687500,7.765625,2.068625,724800
1986-07-01,7.796875,7.859375,7.765625,7.859375,2.093599,997600
1986-07-02,7.828125,7.921875,7.812500,7.875000,2.097761,794400
1986-07-03,7.890625,7.890625,7.687500,7.718750,2.056138,344800
1986-07-07,7.718750,7.750000,7.500000,7.500000,1.997867,490400
1986-07-08,7.468750,7.500000,7.375000,7.500000,1.997867,528000
1986-07-09,7.500000,7.515625,7.406250,7.437500,1.981219,301600
1986-07-10,7.406250,7.421875,7.218750,7.406250,1.972893,420800
1986-07-11,7.437500,7.437500,7.312500,7.343750,1.956244,222400
1986-07-14,7.312500,7.343750,7.187500,7.218750,1.922947,499200
1986-07-15,7.187500,7.281250,7.140625,7.187500,1.914623,473600
1986-07-16,7.218750,7.265625,6.906250,6.937500,1.848028,704000
1986-07-17,6.984375,7.062500,6.968750,7.046875,1.877162,400800
1986-07-18,7.000000,7.015625,6.859375,6.953125,1.852190,358400
1986-07-21,6.984375,6.984375,6.875000,6.968750,1.856352,219200
1986-07-22,6.968750,7.046875,6.875000,6.875000,1.831378,502400
1986-07-23,7.000000,7.109375,6.875000,7.000000,1.864676,911200
1986-07-24,7.062500,7.234375,7.062500,7.234375,1.927110,524000
1986-07-25,7.203125,7.421875,7.203125,7.406250,1.972893,544000
1986-07-28,7.390625,7.390625,7.250000,7.265625,1.935434,588800
1986-07-29,7.265625,7.453125,7.265625,7.453125,1.985381,435200
1986-07-30,7.453125,7.515625,7.390625,7.437500,1.981219,698400
1986-07-31,7.437500,7.484375,7.328125,7.328125,1.952083,385600
1986-08-01,7.390625,7.484375,7.375000,7.421875,1.977056,240800
1986-08-04,7.390625,7.484375,7.218750,7.484375,1.993704,755200
1986-08-05,7.500000,7.578125,7.468750,7.500000,1.997867,600000
1986-08-06,7.531250,7.546875,7.437500,7.468750,1.989544,265600
1986-08-07,7.437500,7.484375,7.406250,7.468750,1.989544,385600
1986-08-08,7.484375,7.484375,7.390625,7.453125,1.985381,180800
1986-08-11,7.453125,7.593750,7.375000,7.546875,2.010354,400800
1986-08-12,7.593750,7.843750,7.546875,7.843750,2.089436,572000
1986-08-13,7.812500,7.859375,7.750000,7.812500,2.081111,869600
1986-08-14,7.796875,7.921875,7.781250,7.875000,2.097761,624000
1986-08-15,7.843750,7.937500,7.843750,7.937500,2.114408,228000
1986-08-18,7.937500,7.937500,7.875000,7.921875,2.110247,330400
1986-08-19,7.890625,7.953125,7.828125,7.937500,2.114408,721600
1986-08-20,7.875000,7.968750,7.781250,7.968750,2.122734,496800
1986-08-21,7.968750,8.046875,7.843750,7.984375,2.126896,1015200
1986-08-22,8.000000,8.078125,7.859375,8.000000,2.142125,525600
1986-08-25,7.968750,8.000000,7.875000,7.937500,2.125389,333600
1986-08-26,7.906250,8.031250,7.859375,8.000000,2.142125,509600
1986-08-27,8.031250,8.109375,7.953125,8.046875,2.154677,696800
1986-08-28,8.062500,8.109375,8.031250,8.031250,2.150493,824800
1986-08-29,8.046875,8.046875,7.953125,8.000000,2.142125,415200
1986-09-02,8.000000,8.000000,7.687500,7.875000,2.108655,939200
1986-09-03,7.843750,7.875000,7.765625,7.875000,2.108655,407200
1986-09-04,7.875000,8.156250,7.812500,8.156250,2.183964,1288800
1986-09-05,8.125000,8.218750,8.046875,8.125000,2.175596,755200
1986-09-08,8.109375,8.250000,8.093750,8.218750,2.200699,698400
1986-09-09,8.187500,8.234375,8.046875,8.078125,2.163044,478400
1986-09-10,8.062500,8.062500,7.937500,7.984375,2.137942,620800
1986-09-11,7.781250,7.843750,7.437500,7.531250,2.016609,1230400
1986-09-12,7.562500,7.578125,7.390625,7.437500,1.991507,997600
1986-09-15,7.437500,7.484375,7.375000,7.375000,1.974771,964000
1986-09-16,7.312500,7.312500,7.140625,7.250000,1.941301,546400
1986-09-17,7.250000,7.484375,7.218750,7.406250,1.983139,553600
1986-09-18,7.437500,7.453125,7.296875,7.328125,1.962220,500800
1986-09-19,7.390625,7.468750,7.312500,7.390625,1.978955,519200
1986-09-22,7.343750,7.484375,7.343750,7.468750,1.999875,480800
1986-09-23,7.468750,7.734375,7.453125,7.656250,2.050081,344800
1986-09-24,7.671875,7.843750,7.656250,7.750000,2.075184,686400
1986-09-25,7.750000,7.765625,7.562500,7.578125,2.029161,557600
1986-09-26,7.578125,7.671875,7.562500,7.671875,2.054264,308000
1986-09-29,7.640625,7.671875,7.515625,7.515625,2.012425,430400
1986-09-30,7.515625,7.515625,7.437500,7.500000,2.008242,391200
1986-10-01,7.515625,7.812500,7.500000,7.781250,2.083551,608800
1986-10-02,7.750000,7.828125,7.687500,7.781250,2.083551,711200
1986-10-03,7.843750,7.843750,7.656250,7.687500,2.058449,410400
1986-10-06,7.656250,7.687500,7.593750,7.593750,2.033345,171200
1986-10-07,7.625000,7.687500,7.500000,7.562500,2.024977,492800
1986-10-08,7.609375,7.656250,7.562500,7.593750,2.033345,556000
1986-10-09,7.562500,7.781250,7.562500,7.734375,2.071001,472000
1986-10-10,7.703125,7.718750,7.640625,7.640625,2.045897,569600
1986-10-13,7.625000,7.671875,7.625000,7.671875,2.054264,39200
1986-10-14,7.703125,8.000000,7.687500,8.000000,2.142125,606400
1986-10-15,7.968750,8.031250,7.937500,7.968750,2.133758,271200
1986-10-16,7.937500,8.046875,7.921875,7.953125,2.129573,231200
1986-10-17,7.968750,8.000000,7.921875,8.000000,2.142125,355200
1986-10-20,7.968750,7.984375,7.875000,7.875000,2.108655,163200
1986-10-21,7.875000,8.062500,7.875000,8.031250,2.150493,172000
1986-10-22,8.046875,8.078125,7.937500,8.031250,2.150493,516000
1986-10-23,8.031250,8.109375,8.015625,8.078125,2.163044,385600
1986-10-24,8.078125,8.140625,8.078125,8.093750,2.167229,567200
1986-10-27,8.140625,8.218750,8.125000,8.218750,2.200699,372800
1986-10-28,8.234375,8.250000,8.156250,8.187500,2.192331,474400
1986-10-29,8.203125,8.343750,8.203125,8.296875,2.221619,716000
1986-10-30,8.328125,8.421875,8.281250,8.406250,2.250904,596000
1986-10-31,8.421875,8.500000,8.421875,8.500000,2.276008,510400
1986-11-03,8.625000,8.671875,8.578125,8.671875,2.322031,618400
1986-11-04,8.671875,8.687500,8.484375,8.500000,2.276008,462400
1986-11-05,8.500000,8.656250,8.500000,8.640625,2.313663,610400
1986-11-06,8.593750,8.609375,8.500000,8.546875,2.288560,350400
1986-11-07,8.578125,8.593750,8.531250,8.562500,2.292744,272800
1986-11-10,8.593750,8.734375,8.562500,8.734375,2.338766,415200
1986-11-11,8.734375,8.734375,8.500000,8.609375,2.305294,543200
1986-11-12,8.609375,8.609375,8.468750,8.531250,2.284376,338400
1986-11-13,8.500000,8.562500,8.421875,8.562500,2.292744,497600
1986-11-14,8.531250,8.593750,8.531250,8.531250,2.284376,266800
1986-11-17,8.500000,8.718750,8.500000,8.718750,2.334582,727200
1986-11-18,8.656250,8.687500,7.937500,8.187500,2.192331,1204400
1986-11-19,8.250000,8.593750,8.187500,8.531250,2.284376,753600
1986-11-20,8.437500,8.500000,8.312500,8.468750,2.267640,296000
1986-11-21,8.750000,8.750000,8.375000,8.750000,2.354418,1093200
1986-11-24,8.843750,9.031250,8.843750,9.031250,2.430095,870800
1986-11-25,8.968750,9.125000,8.843750,8.937500,2.404869,692000
1986-11-26,8.875000,9.062500,8.875000,8.937500,2.404869,970800
1986-11-28,8.937500,9.000000,8.781250,9.000000,2.421687,332400
1986-12-01,8.937500,8.968750,8.687500,8.812500,2.371234,348400
1986-12-02,8.875000,9.093750,8.875000,9.093750,2.446912,996000
1986-12-03,9.125000,9.562500,9.062500,9.343750,2.514181,1681200
1986-12-04,9.343750,9.343750,8.968750,9.093750,2.446912,1013200
1986-12-05,9.062500,9.218750,8.750000,8.968750,2.413277,657200
1986-12-08,9.000000,9.343750,8.937500,9.281250,2.497364,779600
1986-12-09,9.312500,9.343750,9.218750,9.281250,2.497364,493600
1986-12-10,9.218750,9.281250,9.031250,9.187500,2.472139,512800
1986-12-11,9.218750,9.250000,9.062500,9.125000,2.455320,386000
1986-12-12,9.000000,9.375000,8.875000,9.375000,2.522590,810400
1986-12-15,9.218750,9.343750,9.062500,9.343750,2.514181,625200
1986-12-16,9.312500,9.468750,9.156250,9.437500,2.539407,873600
1986-12-17,9.375000,9.468750,9.281250,9.312500,2.505773,531600
1986-12-18,9.312500,9.343750,9.062500,9.187500,2.472139,570800
1986-12-19,9.125000,9.375000,9.031250,9.375000,2.522590,1538400
1986-12-22,9.250000,9.281250,9.062500,9.250000,2.488954,437600
1986-12-23,9.312500,9.375000,9.125000,9.375000,2.522590,746800
1986-12-24,9.375000,9.437500,9.156250,9.156250,2.463730,383600
1986-12-26,9.187500,9.218750,9.000000,9.218750,2.480548,86000
1986-12-29,9.156250,9.250000,9.125000,9.187500,2.472139,383600
1986-12-30,9.062500,9.187500,9.031250,9.093750,2.446912,480800
1986-12-31,9.093750,9.250000,9.031250,9.156250,2.463730,507600
1987-01-02,9.218750,9.437500,9.218750,9.312500,2.505773,181600
1987-01-05,9.375000,9.500000,9.343750,9.468750,2.547816,558800
1987-01-06,9.437500,9.656250,9.437500,9.500000,2.556225,927200
1987-01-07,9.500000,9.593750,9.437500,9.531250,2.564633,576800
1987-01-08,9.500000,9.781250,9.437500,9.625000,2.589858,847200
1987-01-09,9.687500,9.875000,9.562500,9.687500,2.606677,350400
1987-01-12,9.718750,10.062500,9.562500,9.937500,2.673945,624000
1987-01-13,9.906250,10.093750,9.875000,10.062500,2.707580,1508800
1987-01-14,10.093750,10.125000,9.937500,10.062500,2.707580,1162000
1987-01-15,10.125000,10.125000,9.812500,9.875000,2.657128,1028400
1987-01-16,9.875000,10.125000,9.750000,10.125000,2.724398,817200
1987-01-19,10.062500,10.312500,10.031250,10.312500,2.774849,1430400
1987-01-20,10.125000,10.406250,9.843750,9.968750,2.682354,775600
1987-01-21,9.906250,10.500000,9.906250,10.468750,2.816891,682000
1987-01-22,10.437500,10.468750,10.312500,10.375000,2.791667,760000
1987-01-23,10.312500,10.781250,10.312500,10.375000,2.791667,1413200
1987-01-26,10.343750,10.406250,9.812500,9.875000,2.657128,654800
1987-01-27,9.937500,10.250000,9.937500,10.250000,2.758033,1189200
1987-01-28,10.187500,10.375000,10.031250,10.281250,2.766442,794000
1987-01-29,10.218750,10.250000,9.968750,10.156250,2.732805,594000
1987-01-30,10.156250,10.187500,9.968750,10.031250,2.699172,521200
1987-02-02,9.968750,10.125000,9.906250,10.000000,2.690764,664400
1987-02-03,10.062500,10.343750,10.031250,10.156250,2.732805,836400
1987-02-04,10.250000,10.375000,10.093750,10.312500,2.774849,360400
1987-02-05,10.500000,10.718750,10.156250,10.250000,2.758033,1179200
1987-02-06,10.218750,10.562500,10.187500,10.406250,2.800073,746800
1987-02-09,10.437500,10.468750,10.218750,10.250000,2.758033,711200
1987-02-10,10.187500,10.187500,9.625000,9.781250,2.631903,652800
