Date,Open,High,Low,Close,Adj Close,Volume
2001-06-27,15.000000,15.090000,15.000000,15.010000,4.331898,260200
2001-06-28,15.000000,15.300000,15.000000,15.000000,4.329013,61000
2001-06-29,15.010000,15.500000,15.010000,15.100000,4.357876,40400
2001-07-02,15.130000,15.130000,15.000000,15.010000,4.331898,54900
2001-07-03,15.060000,15.060000,15.010000,15.060000,4.346331,26800
2001-07-05,15.010000,15.050000,15.000000,15.050000,4.343446,40000
2001-07-06,15.060000,15.060000,15.000000,15.000000,4.329013,28600
2001-07-09,15.000000,15.050000,15.000000,15.050000,4.343446,61200
2001-07-10,15.040000,15.040000,15.000000,15.000000,4.329013,47000
2001-07-11,15.040000,15.200000,15.010000,15.040000,4.340556,72100
2001-07-12,15.050000,15.090000,15.040000,15.040000,4.340556,14900
2001-07-13,15.070000,15.100000,15.030000,15.040000,4.340556,15200
2001-07-16,15.020000,15.060000,15.010000,15.050000,4.343446,32400
2001-07-17,15.060000,15.060000,15.020000,15.050000,4.343446,45500
2001-07-18,15.020000,15.020000,15.000000,15.010000,4.331898,30200
2001-07-19,15.000000,15.010000,15.000000,15.010000,4.331898,21000
2001-07-20,15.010000,15.020000,15.000000,15.010000,4.331898,18500
2001-07-23,15.020000,15.020000,15.000000,15.020000,4.334787,7300
2001-07-24,15.010000,15.020000,15.000000,15.020000,4.334787,38100
2001-07-25,15.000000,15.040000,15.000000,15.040000,4.340556,29100
2001-07-26,15.050000,15.120000,15.050000,15.070000,4.349217,75100
2001-07-27,15.050000,15.080000,15.030000,15.050000,4.343446,16500
2001-07-30,15.080000,15.090000,15.020000,15.040000,4.340556,13500
2001-07-31,15.070000,15.070000,15.020000,15.070000,4.349217,9800
2001-08-01,15.070000,15.100000,15.030000,15.100000,4.357876,21000
2001-08-02,15.110000,15.150000,15.080000,15.140000,4.369421,23900
2001-08-03,15.150000,15.150000,15.080000,15.150000,4.372306,17800
2001-08-06,15.110000,15.110000,15.080000,15.080000,4.352104,16100
2001-08-07,15.070000,15.090000,15.050000,15.060000,4.346331,40000
2001-08-08,15.050000,15.100000,15.050000,15.100000,4.357876,20400
2001-08-09,15.070000,15.170000,15.060000,15.170000,4.378078,31400
2001-08-10,15.150000,15.200000,15.100000,15.160000,4.375190,33300
2001-08-13,15.150000,15.400000,15.100000,15.350000,4.430024,164200
2001-08-14,15.350000,15.400000,15.300000,15.300000,4.415598,126200
2001-08-15,15.300000,15.420000,15.300000,15.420000,4.450227,34800
2001-08-16,15.420000,16.049999,15.350000,15.950000,4.603184,307600
2001-08-17,15.800000,15.800000,15.470000,15.580000,4.496401,91000
2001-08-20,15.590000,15.590000,15.370000,15.370000,4.435796,87200
2001-08-21,15.450000,15.450000,15.200000,15.300000,4.415598,36900
2001-08-22,15.250000,15.370000,15.210000,15.270000,4.429227,33200
2001-08-23,15.210000,15.420000,15.210000,15.420000,4.472736,58400
2001-08-24,15.420000,15.420000,15.280000,15.340000,4.449533,38900
2001-08-27,15.340000,15.350000,15.210000,15.210000,4.411821,36800
2001-08-28,15.120000,15.140000,14.960000,14.980000,4.345112,124900
2001-08-29,15.020000,15.080000,14.980000,15.080000,4.374119,23000
2001-08-30,14.990000,15.080000,14.960000,15.080000,4.374119,34700
2001-08-31,15.090000,15.090000,15.020000,15.080000,4.374119,12600
2001-09-04,15.080000,15.090000,15.020000,15.090000,4.377015,13200
2001-09-05,15.120000,15.220000,15.100000,15.160000,4.397322,42000
2001-09-06,15.150000,15.190000,15.060000,15.140000,4.391524,30400
2001-09-07,15.060000,15.120000,15.030000,15.050000,4.365416,39300
2001-09-10,15.030000,15.080000,15.020000,15.060000,4.368313,17200
2001-09-17,15.000000,15.100000,14.870000,15.000000,4.350913,63600
2001-09-18,15.000000,15.000000,14.700000,14.820000,4.298700,47800
2001-09-19,14.850000,14.850000,14.000000,14.600000,4.234889,56100
2001-09-20,14.450000,14.620000,14.410000,14.480000,4.200077,27900
2001-09-21,14.430000,14.560000,13.910000,14.400000,4.176876,78800
