Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,7.654944,7.654944,7.567625,7.567625,1.234040,386515
1986-03-14,7.567625,7.596731,7.538519,7.567625,1.234040,338845
1986-03-17,7.538519,7.596731,7.392988,7.422094,1.210310,494310
1986-03-18,7.422094,7.451200,7.363881,7.392988,1.205563,574189
1986-03-19,7.392988,7.451200,7.392988,7.451200,1.215056,313507
1986-03-20,7.422094,7.451200,7.392988,7.451200,1.215056,437621
1986-03-21,7.451200,7.509413,7.392988,7.480306,1.219802,316942
1986-03-24,7.422094,7.422094,7.218350,7.334775,1.196070,407988
1986-03-25,7.334775,7.334775,7.247456,7.305669,1.191324,226326
1986-03-26,7.305669,7.363881,7.247456,7.334775,1.196070,259394
1986-03-27,7.276563,7.363881,7.276563,7.334775,1.196070,234056
1986-03-31,7.334775,7.392988,7.305669,7.363881,1.200817,641615
1986-04-01,7.422094,7.538519,7.334775,7.392988,1.205563,469830
1986-04-02,7.363881,7.392988,7.305669,7.363881,1.200817,234486
1986-04-03,7.334775,7.392988,7.305669,7.392988,1.205563,395104
1986-04-04,7.422094,7.451200,7.363881,7.392988,1.205563,603822
1986-04-07,7.363881,7.422094,7.334775,7.392988,1.205563,237492
1986-04-08,7.392988,7.509413,7.363881,7.451200,1.215056,419583
1986-04-09,7.509413,7.538519,7.451200,7.509413,1.224549,317801
1986-04-10,7.451200,7.567625,7.451200,7.538519,1.229295,189392
1986-04-11,7.538519,7.654944,7.509413,7.654944,1.248280,390380
1986-04-14,7.654944,7.684050,7.567625,7.625838,1.243533,202706
1986-04-15,7.596731,7.625838,7.538519,7.567625,1.234040,179515
1986-04-16,7.625838,7.742263,7.596731,7.713156,1.257773,463388
1986-04-17,7.713156,7.713156,7.654944,7.654944,1.248280,169637
1986-04-18,7.684050,7.713156,7.654944,7.684050,1.253025,230621
1986-04-21,7.654944,7.713156,7.654944,7.713156,1.257773,274426
1986-04-22,7.713156,7.713156,7.654944,7.654944,1.248280,840026
1986-04-23,7.684050,7.684050,7.509413,7.509413,1.224549,474125
1986-04-24,7.509413,7.538519,7.480306,7.509413,1.224549,258536
1986-04-25,7.509413,7.538519,7.480306,7.480306,1.219802,585355
1986-04-28,7.538519,7.538519,7.451200,7.538519,1.229295,264119
1986-04-29,7.480306,7.509413,7.363881,7.451200,1.215056,561306
1986-04-30,7.334775,7.392988,7.276563,7.334775,1.196070,1415074
1986-05-01,7.305669,7.334775,7.247456,7.276563,1.186578,423449
1986-05-02,7.276563,7.392988,7.276563,7.334775,1.196070,636032
1986-05-05,7.334775,7.480306,7.334775,7.480306,1.219802,377496
1986-05-06,7.480306,7.538519,7.451200,7.509413,1.224549,328108
1986-05-07,7.480306,7.509413,7.392988,7.451200,1.215056,252953
1986-05-08,7.422094,7.509413,7.422094,7.509413,1.224549,221172
1986-05-09,7.451200,7.480306,7.422094,7.480306,1.219802,260253
1986-05-12,7.451200,7.538519,7.422094,7.509413,1.224549,731372
1986-05-13,7.480306,7.538519,7.451200,7.451200,1.215056,191110
1986-05-14,7.451200,7.480306,7.451200,7.480306,1.219802,127120
1986-05-15,7.451200,7.509413,7.422094,7.451200,1.215056,1367404
1986-05-16,7.451200,7.509413,7.392988,7.422094,1.210310,2024050
1986-05-19,7.422094,7.480306,7.422094,7.480306,1.219802,147735
1986-05-20,7.480306,7.480306,7.422094,7.480306,1.219802,213872
1986-05-21,7.480306,7.538519,7.451200,7.538519,1.229295,249946
1986-05-22,7.538519,7.567625,7.509413,7.538519,1.229295,859352
1986-05-23,7.538519,7.625838,7.509413,7.596731,1.238787,320378
1986-05-27,7.567625,7.713156,7.567625,7.654944,1.248280,1341636
1986-05-28,7.625838,7.713156,7.625838,7.684050,1.253025,342280
1986-05-29,7.684050,7.800475,7.654944,7.771369,1.267265,977883
1986-05-30,7.742263,7.829581,7.742263,7.829581,1.276757,250376
1986-06-02,7.829581,7.887794,7.829581,7.829581,1.276757,291604
1986-06-03,7.800475,7.916900,7.800475,7.858688,1.281505,2829719
1986-06-04,7.713156,7.713156,7.684050,7.713156,1.282085,606828
1986-06-05,7.654944,7.742263,7.654944,7.713156,1.282085,2594804
1986-06-06,7.684050,7.713156,7.654944,7.654944,1.272408,182091
1986-06-09,7.625838,7.654944,7.538519,7.567625,1.257895,407129
1986-06-10,7.509413,7.509413,7.451200,7.451200,1.238542,201417
1986-06-11,7.451200,7.480306,7.422094,7.451200,1.238542,1735452
1986-06-12,7.422094,7.451200,7.422094,7.422094,1.233704,94052
1986-06-13,7.422094,7.538519,7.422094,7.480306,1.243380,182521
1986-06-16,7.451200,7.538519,7.451200,7.509413,1.248218,571613
1986-06-17,7.538519,7.596731,7.509413,7.596731,1.262733,215589
1986-06-18,7.567625,7.567625,7.538519,7.538519,1.253056,98347
1986-06-19,7.538519,7.596731,7.509413,7.509413,1.248218,535538
1986-06-20,7.509413,7.538519,7.451200,7.509413,1.248218,458664
1986-06-23,7.509413,7.596731,7.509413,7.567625,1.257895,662658
1986-06-24,7.567625,7.654944,7.538519,7.654944,1.272408,281726
1986-06-25,7.625838,7.742263,7.625838,7.713156,1.282085,867082
1986-06-26,7.713156,7.800475,7.684050,7.742263,1.286923,1289242
1986-06-27,7.742263,7.829581,7.742263,7.829581,1.301436,1304273
1986-06-30,7.829581,7.916900,7.800475,7.887794,1.311113,1276788
1986-07-01,7.916900,7.916900,7.829581,7.887794,1.311113,326390
1986-07-02,7.887794,7.916900,7.829581,7.858688,1.306275,161477
1986-07-03,7.858688,7.975113,7.829581,7.858688,1.306275,292463
1986-07-07,7.858688,7.887794,7.800475,7.887794,1.311113,218596
1986-07-08,7.829581,7.858688,7.771369,7.858688,1.306275,470689
1986-07-09,7.829581,7.887794,7.800475,7.858688,1.306275,441056
1986-07-10,7.858688,7.916900,7.858688,7.916900,1.315951,180374
1986-07-11,7.946006,8.062431,7.916900,8.062431,1.340140,152888
1986-07-14,8.062431,8.178856,8.033325,8.178856,1.359493,383079
1986-07-15,8.237069,8.382600,8.178856,8.295281,1.378846,457376
1986-07-16,8.324388,8.615450,8.324388,8.615450,1.432064,2152459
1986-07-17,8.615450,8.615450,8.440813,8.469919,1.407873,890702
1986-07-18,8.499025,8.499025,8.324388,8.353494,1.388522,313936
1986-07-21,8.353494,8.557238,8.353494,8.528131,1.417550,401117
1986-07-22,8.528131,8.586344,8.499025,8.586344,1.427226,1675757
1986-07-23,8.615450,8.702769,8.615450,8.702769,1.446579,875671
1986-07-24,8.673663,8.964725,8.644556,8.964725,1.490121,722783
1986-07-25,8.935619,9.022938,8.906513,9.022938,1.499797,510629
1986-07-28,9.022938,9.110256,8.935619,8.935619,1.485284,602534
1986-07-29,8.906513,8.935619,8.702769,8.790088,1.461092,790208
1986-07-30,8.731875,8.819194,8.731875,8.819194,1.465930,344428
1986-07-31,8.819194,8.935619,8.819194,8.935619,1.485284,426025
1986-08-01,8.877406,8.906513,8.790088,8.848300,1.470769,239210
