Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,0.000000,7.225380,7.179359,7.179359,2.262672,42371
1986-03-14,0.000000,7.225380,7.087316,7.179359,2.262672,176548
1986-03-17,0.000000,7.087316,6.903230,6.949251,2.190149,136892
1986-03-18,0.000000,7.087316,6.949251,7.041294,2.219158,148300
1986-03-19,0.000000,7.041294,6.949251,6.949251,2.190149,106472
1986-03-20,0.000000,6.995273,6.949251,6.949251,2.190149,42915
1986-03-21,0.000000,6.995273,6.903230,6.949251,2.190149,123312
1986-03-24,0.000000,6.949251,6.903230,6.949251,2.190149,145041
1986-03-25,0.000000,6.949251,6.903230,6.949251,2.190149,49433
1986-03-26,0.000000,6.949251,6.903230,6.926240,2.182898,204795
1986-03-27,0.000000,7.041294,6.949251,7.041294,2.219158,186326
1986-03-31,0.000000,7.179359,6.995273,7.179359,2.262672,269982
1986-04-01,0.000000,7.179359,7.087316,7.110326,2.240915,260204
1986-04-02,0.000000,7.179359,7.041294,7.087316,2.233663,225981
1986-04-03,0.000000,7.087316,6.995273,7.041294,2.219158,174375
1986-04-04,0.000000,7.041294,6.995273,7.041294,2.219158,332996
1986-04-07,0.000000,7.041294,6.995273,6.995273,2.204654,214030
1986-04-08,0.000000,7.133337,7.018283,7.133337,2.248168,1049509
1986-04-09,0.000000,7.133337,7.041294,7.041294,2.219158,73335
1986-04-10,0.000000,7.087316,7.041294,7.087316,2.233663,335169
1986-04-11,0.000000,7.087316,7.041294,7.041294,2.219158,241735
1986-04-14,0.000000,7.087316,7.041294,7.064305,2.226411,387862
1986-04-15,0.000000,7.087316,7.041294,7.087316,2.233663,143411
1986-04-16,0.000000,7.271402,7.087316,7.271402,2.291680,107015
1986-04-17,0.000000,7.363445,7.225380,7.363445,2.320688,65730
1986-04-18,0.000000,7.501510,7.317423,7.501510,2.364202,396010
1986-04-21,0.000000,7.593553,7.455488,7.547531,2.378705,260204
1986-04-22,0.000000,7.593553,7.501510,7.501510,2.364202,149930
1986-04-23,0.000000,7.547531,7.455488,7.501510,2.364202,111361
1986-04-24,0.000000,7.593553,7.501510,7.570542,2.385958,305292
1986-04-25,0.000000,7.731617,7.593553,7.731617,2.436723,166227
1986-04-28,0.000000,7.731617,7.639574,7.685596,2.422219,84200
1986-04-29,0.000000,7.731617,7.593553,7.593553,2.393210,221635
1986-04-30,0.000000,7.547531,7.317423,7.363445,2.320688,184153
1986-05-01,0.000000,7.363445,7.271402,7.271402,2.291680,187412
1986-05-02,0.000000,7.409466,7.271402,7.409466,2.335193,76595
1986-05-05,0.000000,7.593553,7.317423,7.593553,2.393210,110818
1986-05-06,0.000000,7.639574,7.593553,7.639574,2.407713,294971
1986-05-07,0.000000,7.731617,7.593553,7.731617,2.436723,129287
1986-05-08,0.000000,7.823660,7.685596,7.777639,2.451228,187956
1986-05-09,0.000000,8.007746,7.823660,7.961725,2.509245,220006
1986-05-12,0.000000,8.007746,7.846671,7.846671,2.472983,123312
1986-05-13,0.000000,7.869682,7.685596,7.731617,2.436723,230327
1986-05-14,0.000000,7.731617,7.685596,7.685596,2.422219,73335
1986-05-15,0.000000,7.731617,7.685596,7.708606,2.429471,38569
1986-05-16,0.000000,7.731617,7.685596,7.685596,2.422219,146127
1986-05-19,0.000000,7.731617,7.685596,7.731617,2.436723,318872
1986-05-20,0.000000,7.823660,7.685596,7.823660,2.465730,196647
1986-05-21,0.000000,7.915703,7.777639,7.869682,2.480237,212401
1986-05-22,0.000000,7.915703,7.869682,7.915703,2.494740,340601
1986-05-23,0.000000,7.915703,7.869682,7.869682,2.480237,64100
1986-05-27,0.000000,8.145811,7.869682,8.099789,2.552757,294427
1986-05-28,0.000000,8.560005,8.145811,8.513983,2.683297,1247242
1986-05-29,0.000000,8.790112,8.560005,8.698069,2.741314,847429
1986-05-30,0.000000,8.698069,8.606026,8.606026,2.712304,331367
1986-06-02,0.000000,8.698069,8.560005,8.652048,2.726808,212672
1986-06-03,0.000000,8.652048,8.467962,8.560005,2.697800,149115
1986-06-04,0.000000,8.560005,8.375919,8.467962,2.668792,75508
1986-06-05,0.000000,8.467962,8.375919,8.467962,2.668792,122225
1986-06-06,0.000000,8.467962,8.329897,8.421940,2.654288,102669
1986-06-09,0.000000,8.467962,8.191832,8.283876,2.610775,78224
1986-06-10,0.000000,8.237854,8.007746,8.191832,2.581765,199635
1986-06-11,0.000000,8.467962,8.191832,8.467962,2.668792,107015
1986-06-12,0.000000,8.467962,8.421940,8.467962,2.668792,199906
1986-06-13,0.000000,8.513983,8.421940,8.513983,2.683297,153189
1986-06-16,0.000000,8.513983,8.421940,8.421940,2.654288,269982
1986-06-17,0.000000,8.467962,8.421940,8.467962,2.668792,209684
1986-06-18,0.000000,8.513983,8.421940,8.513983,2.683297,96422
1986-06-19,0.000000,8.513983,8.375919,8.467962,2.668792,110003
1986-06-20,0.000000,8.467962,8.375919,8.375919,2.639784,58397
1986-06-23,0.000000,8.421940,8.329897,8.421940,2.654288,64372
1986-06-24,0.000000,8.467962,8.329897,8.467962,2.668792,153189
1986-06-25,0.000000,8.467962,8.375919,8.375919,2.639784,458481
1986-06-26,0.000000,8.513983,8.375919,8.513983,2.683297,107015
1986-06-27,0.000000,8.513983,8.467962,8.513983,2.683297,259933
1986-06-30,0.000000,8.744091,8.467962,8.652048,2.726808,217833
1986-07-01,0.000000,8.836134,8.652048,8.790112,2.770320,132003
1986-07-02,0.000000,9.204306,8.744091,9.204306,2.900860,193931
1986-07-03,0.000000,9.756565,9.158285,9.342371,2.944373,637473
1986-07-07,0.000000,9.526457,9.158285,9.158285,2.886357,299316
1986-07-08,0.000000,9.158285,8.652048,8.652048,2.726808,154547
1986-07-09,0.000000,8.790112,8.652048,8.790112,2.770320,141510
1986-07-10,0.000000,8.790112,8.467962,8.513983,2.683297,118423
1986-07-11,0.000000,8.560005,8.513983,8.560005,2.697800,44273
1986-07-14,0.000000,8.560005,8.421940,8.467962,2.668792,143140
1986-07-15,0.000000,8.560005,8.421940,8.421940,2.654288,175190
1986-07-16,0.000000,8.560005,8.421940,8.560005,2.697800,306922
1986-07-17,0.000000,8.560005,8.467962,8.513983,2.683297,200450
1986-07-18,0.000000,8.513983,8.283876,8.283876,2.610775,202623
1986-07-21,0.000000,8.375919,8.191832,8.191832,2.581765,80669
1986-07-22,0.000000,8.283876,8.007746,8.191832,2.581765,282205
1986-07-23,0.000000,8.421940,8.191832,8.375919,2.639784,206425
1986-07-24,0.000000,8.467962,8.053768,8.145811,2.567263,501939
1986-07-25,0.000000,8.145811,8.053768,8.145811,2.567263,262920
1986-07-28,0.000000,8.145811,7.915703,7.915703,2.494740,171659
1986-07-29,0.000000,8.007746,7.915703,8.007746,2.523749,253686
1986-07-30,0.000000,8.053768,7.961725,8.053768,2.538253,242006
1986-07-31,0.000000,8.375919,8.007746,8.375919,2.639784,261019
1986-08-01,0.000000,8.375919,8.191832,8.237854,2.596270,192301
1986-08-04,0.000000,8.237854,8.007746,8.007746,2.523749,185511
1986-08-05,0.000000,8.053768,8.007746,8.053768,2.538253,219191
1986-08-06,0.000000,8.053768,7.961725,8.007746,2.523749,95879
1986-08-07,0.000000,8.007746,7.915703,7.915703,2.494740,176276
1986-08-08,0.000000,8.007746,7.915703,8.007746,2.523749,355540
1986-08-11,0.000000,8.053768,7.961725,8.007746,2.523749,244722
1986-08-12,0.000000,8.145811,7.961725,8.145811,2.567263,815922
1986-08-13,0.000000,8.145811,8.007746,8.145811,2.567263,238475
1986-08-14,0.000000,8.145811,8.007746,8.053768,2.538253,126300
1986-08-15,0.000000,8.099789,8.053768,8.099789,2.552757,104027
1986-08-18,0.000000,8.145811,8.053768,8.099789,2.552757,108102
1986-08-19,0.000000,8.099789,8.053768,8.099789,2.552757,102941
1986-08-20,0.000000,8.099789,8.053768,8.053768,2.538253,305564
1986-08-21,0.000000,8.099789,8.053768,8.099789,2.552757,232771
1986-08-22,0.000000,8.145811,8.053768,8.053768,2.538253,121411
1986-08-25,0.000000,8.145811,8.053768,8.053768,2.538253,55680
1986-08-26,0.000000,8.099789,8.007746,8.007746,2.523749,141781
1986-08-27,0.000000,8.053768,7.915703,7.915703,2.494740,113534
1986-08-28,0.000000,8.007746,7.915703,8.007746,2.523749,55952
1986-08-29,0.000000,8.007746,7.915703,8.007746,2.523749,184425
1986-09-02,0.000000,8.007746,7.915703,7.961725,2.509245,116793
1986-09-03,0.000000,8.007746,7.731617,7.823660,2.465730,202623
1986-09-04,0.000000,7.823660,7.731617,7.823660,2.465730,56495
1986-09-05,0.000000,7.823660,7.547531,7.593553,2.393210,126300
1986-09-08,0.000000,7.593553,7.271402,7.363445,2.320688,255044
1986-09-09,0.000000,7.363445,7.271402,7.317423,2.306184,276229
1986-09-10,0.000000,7.455488,7.271402,7.455488,2.349698,227882
1986-09-11,0.000000,8.007746,7.455488,7.869682,2.480237,676314
1986-09-12,0.000000,7.869682,7.639574,7.685596,2.422219,533718
