Date,Open,High,Low,Close,Adj Close,Volume
2013-10-09,8.600000,8.650000,8.540000,8.540000,7.347363,400
2013-10-10,8.540000,8.540000,8.540000,8.540000,7.347363,0
2013-10-11,8.540000,8.540000,8.540000,8.540000,7.347363,0
2013-10-14,8.540000,8.540000,8.540000,8.540000,7.347363,0
2013-10-15,8.540000,8.540000,8.540000,8.540000,7.347363,0
2013-10-16,8.650000,8.650000,8.650000,8.650000,7.442001,100
2013-10-17,8.650000,8.650000,8.650000,8.650000,7.442001,0
2013-10-18,8.700000,9.440000,8.510000,8.880000,7.639880,35400
2013-10-21,8.800000,9.100000,8.740000,9.060000,7.794744,78700
2013-10-22,9.150000,9.150000,8.940000,9.050000,7.786139,66300
2013-10-23,9.050000,9.150000,8.880000,8.940000,7.691501,48400
2013-10-24,8.880000,9.020000,8.730000,8.750000,7.528036,54900
2013-10-25,8.840000,8.900000,8.710000,8.850000,7.614071,44600
2013-10-28,8.900000,8.950000,8.760000,8.760000,7.536639,45200
2013-10-29,8.740000,8.830000,8.720000,8.730000,7.510828,98500
2013-10-30,8.720000,8.850000,8.700000,8.700000,7.485018,75500
2013-10-31,8.700000,8.750000,8.520000,8.660000,7.450604,62200
2013-11-01,8.550000,8.660000,8.320000,8.460000,7.278535,88800
2013-11-04,8.410000,8.580000,8.410000,8.550000,7.355966,85400
2013-11-05,8.510000,9.570000,8.510000,8.540000,7.347363,64200
2013-11-06,8.520000,8.660000,8.510000,8.550000,7.355966,37100
2013-11-07,8.450000,8.660000,8.450000,8.500000,7.312949,63200
2013-11-08,8.430000,8.600000,8.430000,8.510000,7.321553,64800
2013-11-11,8.430000,8.650000,8.380000,8.550000,7.355966,53000
2013-11-12,8.450000,8.540000,8.410000,8.450000,7.269932,47800
2013-11-13,8.420000,8.500000,8.390000,8.450000,7.269932,76700
2013-11-14,8.430000,8.540000,8.420000,8.450000,7.269932,67100
2013-11-15,8.450000,8.550000,8.450000,8.530000,7.338758,67000
2013-11-18,8.470000,8.580000,8.470000,8.580000,7.381776,64200
2013-11-19,8.460000,8.690000,8.400000,8.640000,7.433398,96400
2013-11-20,8.530000,8.650000,8.480000,8.600000,7.398984,45300
2013-11-21,8.540000,8.780000,8.530000,8.660000,7.450604,83500
2013-11-22,8.560000,8.680000,8.550000,8.630000,7.424794,59600
2013-11-25,8.580000,8.750000,8.580000,8.680000,7.467811,88600
2013-11-26,8.820000,8.900000,8.610000,8.720000,7.502225,96400
2013-11-27,8.610000,8.870000,8.610000,8.720000,7.502225,39500
2013-11-29,8.700000,8.780000,8.660000,8.730000,7.510828,22600
2013-12-02,8.700000,8.760000,8.700000,8.710000,7.493621,48100
2013-12-03,8.700000,8.720000,8.580000,8.600000,7.398984,45400
2013-12-04,8.600000,8.730000,8.550000,8.550000,7.355966,22500
2013-12-05,8.560000,9.280000,8.560000,8.640000,7.433398,109600
2013-12-06,8.830000,8.830000,8.600000,8.650000,7.442001,69100
2013-12-09,8.600000,8.700000,8.600000,8.630000,7.424794,74600
2013-12-10,8.600000,8.670000,8.580000,8.610000,7.407587,58700
2013-12-11,8.590000,8.660000,8.580000,8.600000,7.398984,76900
2013-12-12,8.670000,8.670000,8.570000,8.600000,7.398984,33500
2013-12-13,8.600000,8.660000,8.570000,8.600000,7.398984,90000
2013-12-16,8.600000,8.670000,8.520000,8.560000,7.364570,64700
2013-12-17,8.520000,8.630000,8.520000,8.540000,7.347363,107100
2013-12-18,8.600000,8.660000,8.540000,8.600000,7.398984,60100
2013-12-19,8.650000,8.710000,8.550000,8.590000,7.390381,118400
2013-12-20,8.550000,8.670000,8.550000,8.630000,7.424794,40500
2013-12-23,8.640000,8.730000,8.630000,8.680000,7.467811,68000
2013-12-24,8.650000,8.790000,8.650000,8.690000,7.476415,20600
2013-12-26,8.790000,8.790000,8.680000,8.700000,7.485018,20000
2013-12-27,8.770000,8.790000,8.700000,8.790000,7.562449,50700
2013-12-30,8.750000,8.830000,8.710000,8.830000,7.596863,35600
2013-12-31,8.770000,8.890000,8.770000,8.890000,7.648485,35500
2014-01-02,8.810000,8.880000,8.750000,8.850000,7.614071,61800
2014-01-03,8.780000,8.920000,8.760000,8.810000,7.579657,34700
2014-01-06,8.800000,8.850000,8.750000,8.800000,7.571054,41200
2014-01-07,8.720000,8.880000,8.710000,8.810000,7.579657,23800
2014-01-08,8.880000,8.880000,8.800000,8.800000,7.571054,30400
