Date,Open,High,Low,Close,Adj Close,Volume
1995-07-27,7.083333,7.166667,6.906250,7.166667,4.723233,7674600
1995-07-28,7.041667,7.500000,7.041667,7.458333,4.915456,1039500
1995-07-31,7.375000,7.666667,7.375000,7.625000,5.025300,675900
1995-08-01,7.666667,7.666667,7.416667,7.458333,4.915456,1103400
1995-08-02,7.458333,7.583333,7.416667,7.458333,4.915456,901200
1995-08-03,7.416667,7.500000,7.416667,7.437500,4.901727,145800
1995-08-04,7.416667,7.625000,7.416667,7.541667,4.970378,226500
1995-08-07,7.666667,7.750000,7.541667,7.750000,5.107681,251700
1995-08-08,7.750000,7.750000,7.666667,7.750000,5.107681,465900
1995-08-09,7.666667,7.750000,7.666667,7.708333,5.080220,289200
1995-08-10,7.666667,7.708333,7.583333,7.666667,5.052760,96000
1995-08-11,7.583333,7.625000,7.541667,7.541667,4.970378,45600
1995-08-14,7.541667,7.541667,7.416667,7.416667,4.887993,242100
1995-08-15,7.416667,7.500000,7.416667,7.458333,4.915456,113700
1995-08-16,7.416667,7.458333,7.333333,7.416667,4.887993,201600
1995-08-17,7.333333,7.583333,7.333333,7.541667,4.970378,150900
1995-08-18,7.666667,7.875000,7.625000,7.875000,5.190062,122100
1995-08-21,7.875000,8.125000,7.750000,8.125000,5.354828,208800
1995-08-22,8.041667,8.250000,8.041667,8.250000,5.437210,366300
1995-08-23,8.416667,8.458333,8.166667,8.166667,5.382287,676500
1995-08-24,8.125000,8.208333,7.895833,7.916667,5.217524,255300
1995-08-25,8.000000,8.083333,7.916667,8.041667,5.299906,95700
1995-08-28,8.125000,8.125000,7.958333,8.020833,5.286176,220500
1995-08-29,8.041667,8.125000,8.041667,8.083333,5.327365,274200
1995-08-30,8.125000,8.166667,8.041667,8.083333,5.327365,146100
1995-08-31,8.166667,8.166667,8.083333,8.166667,5.382287,18000
1995-09-01,8.166667,8.166667,8.083333,8.166667,5.382287,19500
1995-09-05,8.166667,8.250000,8.083333,8.250000,5.437210,77700
1995-09-06,8.291667,8.333333,8.208333,8.291667,5.464669,288300
1995-09-07,8.166667,8.291667,8.166667,8.208333,5.409749,88200
1995-09-08,8.208333,8.208333,8.208333,8.208333,5.409749,600
1995-09-11,8.291667,8.291667,8.166667,8.291667,5.464669,46200
1995-09-12,8.291667,8.291667,8.166667,8.270833,5.450939,108600
1995-09-13,8.291667,8.333333,8.208333,8.333333,5.492129,24600
1995-09-14,8.208333,8.333333,8.208333,8.208333,5.409749,129600
1995-09-15,8.208333,8.333333,8.208333,8.208333,5.409749,49500
1995-09-18,8.250000,8.250000,8.125000,8.125000,5.354828,135900
1995-09-19,8.125000,8.166667,8.125000,8.166667,5.382287,96900
1995-09-20,8.125000,8.166667,8.125000,8.166667,5.382287,151800
1995-09-21,8.166667,8.166667,8.125000,8.125000,5.354828,271200
1995-09-22,8.166667,8.208333,8.125000,8.208333,5.409749,36900
1995-09-25,8.125000,8.291667,8.125000,8.291667,5.464669,105600
1995-09-26,8.208333,8.291667,8.208333,8.291667,5.464669,78000
1995-09-27,8.208333,8.250000,8.083333,8.208333,5.409749,191400
1995-09-28,8.125000,8.208333,8.041667,8.208333,5.409749,136200
1995-09-29,8.083333,8.208333,8.041667,8.125000,5.354828,53700
1995-10-02,8.000000,8.041667,8.000000,8.041667,5.299906,85500
1995-10-03,7.958333,7.958333,7.708333,7.708333,5.080220,422400
1995-10-04,7.708333,7.833333,7.708333,7.708333,5.080220,540000
1995-10-05,7.833333,7.833333,7.666667,7.666667,5.052760,357900
1995-10-06,7.666667,7.791667,7.666667,7.666667,5.052760,44400
1995-10-09,7.708333,7.833333,7.708333,7.833333,5.162600,6900
1995-10-10,7.708333,7.791667,7.625000,7.750000,5.107681,559800
1995-10-11,7.750000,7.833333,7.750000,7.833333,5.162600,21900
1995-10-12,7.916667,7.958333,7.875000,7.916667,5.217524,41400
1995-10-13,7.958333,8.250000,7.958333,8.250000,5.437210,33600
1995-10-16,8.291667,8.458333,8.291667,8.291667,5.464669,99300
1995-10-17,8.458333,8.583333,8.458333,8.583333,5.656893,57600
1995-10-18,8.625000,8.625000,8.541667,8.625000,5.684354,229500
1995-10-19,8.625000,8.666667,8.541667,8.666667,5.711815,57600
1995-10-20,8.666667,8.666667,8.583333,8.666667,5.711815,39300
1995-10-23,8.541667,8.666667,8.458333,8.458333,5.574511,122400
1995-10-24,8.666667,9.416667,8.625000,9.291667,6.123722,749700
1995-10-25,9.375000,9.375000,9.250000,9.291667,6.123722,336000
1995-10-26,9.208333,9.208333,8.958333,9.000000,5.931499,156000
1995-10-27,9.000000,9.166667,9.000000,9.104167,6.000153,54300
1995-10-30,9.166667,9.166667,9.041667,9.125000,6.013882,69600
1995-10-31,9.208333,9.208333,9.041667,9.041667,5.958962,63000
1995-11-01,9.083333,9.083333,8.958333,8.958333,5.904037,91500
1995-11-02,9.083333,9.083333,8.958333,8.958333,5.904037,24000
1995-11-03,9.083333,9.083333,8.916667,8.916667,5.876578,36600
1995-11-06,8.916667,9.000000,8.833333,8.833333,5.821657,55500
1995-11-07,8.625000,8.750000,8.625000,8.750000,5.766738,51300
1995-11-08,8.791667,8.791667,8.750000,8.791667,5.794195,9900
1995-11-09,8.791667,8.791667,8.708333,8.791667,5.794195,20700
1995-11-10,8.791667,8.791667,8.666667,8.791667,5.794195,107100
1995-11-13,8.791667,8.791667,8.625000,8.645833,5.698084,17100
1995-11-14,8.791667,8.791667,8.583333,8.666667,5.711815,249000
1995-11-15,8.666667,8.666667,8.666667,8.666667,5.711815,600
1995-11-16,8.666667,8.666667,8.541667,8.541667,5.629435,261900
1995-11-17,8.625000,8.666667,8.541667,8.583333,5.656893,139200
1995-11-20,8.562500,8.666667,8.541667,8.666667,5.711815,101100
1995-11-21,8.666667,8.750000,8.583333,8.750000,5.766738,208500
1995-11-22,8.750000,8.791667,8.708333,8.708333,5.739274,68700
1995-11-24,8.708333,8.833333,8.708333,8.833333,5.821657,46800
1995-11-27,8.833333,8.916667,8.750000,8.916667,5.876578,42300
1995-11-28,8.916667,8.916667,8.750000,8.916667,5.876578,47400
1995-11-29,9.041667,9.166667,9.000000,9.166667,6.041342,47100
1995-11-30,9.166667,9.166667,9.000000,9.166667,6.041342,36300
1995-12-01,9.250000,9.250000,9.083333,9.250000,6.096265,37500
1995-12-04,9.250000,9.375000,9.083333,9.375000,6.178649,44100
1995-12-05,9.375000,9.458333,9.250000,9.333333,6.151185,96000
1995-12-06,9.458333,9.625000,9.333333,9.625000,6.343407,213900
1995-12-07,9.625000,9.875000,9.583333,9.791667,6.453252,71400
1995-12-08,9.666667,10.041667,9.666667,10.000000,6.590556,99000
1995-12-11,10.041667,10.291667,10.041667,10.166667,6.700397,160500
1995-12-12,10.291667,11.041667,10.291667,10.958333,7.222151,295800
1995-12-13,10.958333,10.958333,10.666667,10.750000,7.084847,295500
1995-12-14,10.750000,10.750000,10.500000,10.541667,6.947547,226800
1995-12-15,10.500000,10.625000,10.333333,10.375000,6.837703,130200
1995-12-18,10.437500,10.437500,10.250000,10.250000,6.755320,34800
1995-12-19,10.166667,10.208333,10.083333,10.083333,6.645476,242700
1995-12-20,10.166667,10.166667,9.895833,9.958333,6.563094,25500
1995-12-21,9.875000,9.958333,9.750000,9.750000,6.425794,64200
1995-12-22,9.750000,9.833333,9.750000,9.750000,6.425794,410400
1995-12-26,9.750000,9.916667,9.750000,9.833333,6.480710,188700
1995-12-27,9.833333,9.916667,9.833333,9.916667,6.535632,36900
1995-12-28,9.875000,10.041667,9.875000,10.000000,6.590556,209100
1995-12-29,10.125000,10.125000,10.125000,10.125000,6.672939,4200
1996-01-02,9.958333,10.333333,9.958333,10.333333,6.810244,19500
1996-01-03,10.375000,10.375000,10.250000,10.375000,6.837703,16800
1996-01-04,10.375000,10.375000,10.250000,10.270833,6.769049,11100
1996-01-05,10.333333,10.375000,10.291667,10.375000,6.837703,71400
1996-01-08,10.291667,10.291667,10.291667,10.291667,6.782780,600
1996-01-09,10.291667,10.291667,10.250000,10.291667,6.782780,12000
1996-01-10,10.208333,10.250000,10.208333,10.208333,6.727861,31200
1996-01-11,10.291667,10.291667,10.166667,10.208333,6.727861,54000
1996-01-12,10.145833,10.166667,10.083333,10.083333,6.645476,41400
1996-01-15,10.083333,10.083333,10.083333,10.083333,6.645476,4200
1996-01-16,10.333333,10.500000,10.333333,10.500000,6.920084,78600
1996-01-17,10.333333,10.625000,10.333333,10.500000,6.920084,58800
1996-01-18,10.625000,10.625000,10.416667,10.541667,6.947547,12600
1996-01-19,10.541667,10.541667,10.416667,10.416667,6.865162,58800
1996-01-22,10.583333,10.583333,10.583333,10.583333,6.975002,1200
1996-01-23,10.458333,10.583333,10.416667,10.583333,6.975002,29400
1996-01-24,10.416667,10.500000,10.333333,10.333333,6.810244,66000
1996-01-25,10.416667,10.416667,10.250000,10.250000,6.755320,33900
1996-01-26,10.250000,10.291667,10.083333,10.083333,6.645476,46800
1996-01-29,10.208333,10.208333,9.958333,10.000000,6.590556,45000
1996-01-30,9.833333,10.000000,9.833333,10.000000,6.590556,76500
1996-01-31,10.000000,10.000000,10.000000,10.000000,6.590556,12000
1996-02-01,10.000000,10.000000,9.833333,9.833333,6.480710,48900
1996-02-02,10.000000,10.000000,9.833333,9.833333,6.480710,58800
1996-02-05,9.833333,10.000000,9.833333,9.958333,6.563094,28200
1996-02-06,9.833333,10.000000,9.833333,9.833333,6.480710,61800
1996-02-07,10.000000,10.000000,9.833333,9.833333,6.480710,52500
1996-02-08,9.833333,9.916667,9.750000,9.916667,6.535632,24300
1996-02-09,9.916667,9.916667,9.833333,9.833333,6.480710,220500
1996-02-12,9.833333,9.916667,9.750000,9.750000,6.425794,90600
1996-02-13,9.750000,9.916667,9.750000,9.750000,6.425794,42300
1996-02-14,9.916667,9.916667,9.750000,9.750000,6.425794,7500
1996-02-15,9.750000,9.791667,9.750000,9.750000,6.425794,9300
1996-02-16,9.750000,9.833333,9.750000,9.770833,6.439521,122100
1996-02-20,9.916667,9.916667,9.916667,9.916667,6.535632,5700
1996-02-21,9.916667,9.916667,9.791667,9.791667,6.453252,15900
1996-02-22,9.750000,9.750000,9.750000,9.750000,6.425794,9600
1996-02-23,9.750000,9.916667,9.750000,9.833333,6.480710,10800
1996-02-26,9.666667,9.666667,9.666667,9.666667,6.370871,3300
1996-02-27,9.583333,9.583333,9.250000,9.333333,6.151185,78300
1996-02-28,9.333333,9.375000,9.208333,9.250000,6.096265,6612600
1996-02-29,9.291667,9.500000,9.250000,9.333333,6.151185,614100
1996-03-01,9.291667,9.458333,9.291667,9.291667,6.123722,325800
1996-03-04,9.458333,9.458333,9.291667,9.291667,6.123722,417900
1996-03-05,9.375000,9.375000,9.291667,9.375000,6.178649,592800
1996-03-06,9.375000,9.375000,9.291667,9.291667,6.123722,294300
1996-03-07,9.291667,9.375000,9.291667,9.291667,6.123722,114000
1996-03-08,9.208333,9.333333,8.958333,8.958333,5.904037,282900
1996-03-11,9.125000,9.125000,8.958333,9.125000,6.013882,239400
1996-03-12,9.125000,9.125000,8.958333,8.958333,5.904037,68400
1996-03-13,8.916667,9.083333,8.916667,8.958333,5.904037,93600
1996-03-14,8.958333,9.208333,8.958333,9.166667,6.041342,110700
1996-03-15,9.250000,9.291667,9.125000,9.187500,6.055069,52200
1996-03-18,9.125000,9.416667,9.125000,9.375000,6.178649,100500
1996-03-19,9.500000,9.500000,9.250000,9.416667,6.206109,174300
1996-03-20,9.416667,9.416667,9.250000,9.250000,6.096265,34200
1996-03-21,9.250000,9.416667,9.250000,9.416667,6.206109,35100
1996-03-22,9.250000,9.416667,9.250000,9.250000,6.096265,52500
1996-03-25,9.250000,9.416667,9.250000,9.250000,6.096265,42300
1996-03-26,9.250000,9.416667,9.250000,9.250000,6.096265,129000
1996-03-27,9.250000,9.375000,9.250000,9.250000,6.096265,20400
1996-03-28,9.208333,9.333333,9.166667,9.166667,6.041342,182100
1996-03-29,9.166667,9.333333,9.166667,9.166667,6.041342,94200
