Date,Open,High,Low,Close,Adj Close,Volume
2012-04-09,8.650000,9.180000,8.630000,9.020000,5.821267,2037100
2012-04-10,9.120000,9.440000,8.730000,8.730000,5.634108,2001200
2012-04-11,8.960000,9.090000,8.800000,9.050000,5.840626,587900
2012-04-12,9.000000,9.150000,8.870000,9.150000,5.905164,492800
2012-04-13,9.110000,9.240000,8.850000,9.000000,5.808359,530100
2012-04-16,9.150000,9.180000,8.860000,9.020000,5.821267,413800
2012-04-17,9.030000,9.120000,8.920000,8.990000,5.801905,386100
2012-04-18,8.950000,9.100000,8.950000,9.010000,5.814812,543000
2012-04-19,9.000000,9.110000,8.970000,9.060000,5.847081,751300
2012-04-20,9.050000,9.200000,9.000000,9.160000,5.911618,568900
2012-04-23,9.050000,9.200000,9.000000,9.140000,5.898711,351600
2012-04-24,9.070000,9.180000,9.070000,9.150000,5.905164,523500
2012-04-25,9.090000,9.220000,9.080000,9.150000,5.905164,1231000
2012-04-26,9.120000,9.160000,9.070000,9.100000,5.872895,375700
2012-04-27,9.080000,9.110000,9.050000,9.080000,5.859989,201700
2012-04-30,9.080000,9.090000,9.000000,9.050000,5.840626,283000
2012-05-01,9.020000,9.140000,9.020000,9.100000,5.872895,230100
2012-05-02,9.050000,9.130000,9.010000,9.070000,5.853536,287500
2012-05-03,8.930000,9.120000,8.930000,9.050000,5.840626,602000
2012-05-04,8.930000,9.080000,8.930000,8.970000,5.788998,429200
2012-05-07,8.910000,9.000000,8.880000,8.970000,5.788998,253000
2012-05-08,8.900000,9.000000,8.800000,8.980000,5.795451,654800
2012-05-09,8.500000,9.000000,8.500000,8.930000,5.763183,184600
2012-05-10,8.900000,9.100000,8.900000,9.100000,5.872895,247000
2012-05-11,9.000000,9.120000,9.000000,9.090000,5.866441,638200
2012-05-14,9.080000,9.150000,9.080000,9.110000,5.879350,251800
2012-05-15,9.100000,9.170000,9.060000,9.100000,5.872895,366200
2012-05-16,9.060000,9.100000,8.950000,9.000000,5.808359,319100
2012-05-17,8.960000,8.970000,8.780000,8.790000,5.672830,328800
2012-05-18,8.750000,8.800000,8.630000,8.640000,5.576024,214300
2012-05-21,8.710000,9.000000,8.710000,8.930000,5.763183,224500
2012-05-22,8.860000,8.930000,8.810000,8.880000,5.730914,868900
2012-05-23,8.800000,8.960000,8.800000,8.870000,5.724459,168000
2012-05-24,8.900000,8.950000,8.830000,8.930000,5.763183,272500
2012-05-25,8.890000,8.940000,8.700000,8.910000,5.750274,259400
2012-05-29,8.970000,9.070000,8.870000,9.020000,5.821267,318300
2012-05-30,8.970000,9.040000,8.870000,9.040000,5.834174,247600
2012-05-31,9.000000,9.150000,8.950000,9.150000,5.905164,180400
2012-06-01,8.940000,9.130000,8.860000,8.860000,5.718006,261900
2012-06-04,8.830000,8.850000,8.500000,8.650000,5.582478,330600
2012-06-05,8.650000,8.900000,8.650000,8.890000,5.737368,137900
2012-06-06,8.900000,9.120000,8.830000,9.000000,5.808359,224900
2012-06-07,9.100000,9.130000,8.940000,8.940000,5.769635,461800
2012-06-08,8.980000,9.620000,8.920000,9.380000,6.053600,629600
2012-06-11,9.440000,9.440000,8.850000,8.880000,5.730914,561100
2012-06-12,8.930000,9.260000,8.860000,9.250000,5.969702,440800
2012-06-13,9.140000,9.650000,9.110000,9.420000,6.079415,651500
2012-06-14,9.470000,9.610000,9.430000,9.440000,6.092322,272100
2012-06-15,9.430000,9.650000,9.360000,9.650000,6.227851,647300
2012-06-18,9.580000,9.790000,9.560000,9.710000,6.266574,493700
2012-06-19,9.790000,9.790000,9.630000,9.680000,6.247215,487200
2012-06-20,9.640000,9.720000,9.470000,9.480000,6.118137,862700
2012-06-21,9.540000,9.540000,9.140000,9.210000,5.943886,812800
2012-06-22,9.290000,9.420000,9.150000,9.260000,5.976156,4487100
2012-06-25,9.200000,9.520000,9.050000,9.410000,6.072962,328100
2012-06-26,9.440000,9.570000,9.310000,9.530000,6.150408,428100
2012-06-27,9.470000,9.650000,9.210000,9.640000,6.331689,228600
2012-06-28,9.560000,9.690000,9.430000,9.640000,6.331689,457600
2012-06-29,9.750000,9.760000,9.620000,9.720000,6.384233,653300
2012-07-02,9.690000,9.740000,9.540000,9.650000,6.338255,488700
2012-07-03,9.610000,9.790000,9.610000,9.770000,6.417072,136600
2012-07-05,9.720000,9.800000,9.680000,9.690000,6.364527,212100
2012-07-06,9.640000,9.750000,9.620000,9.670000,6.351392,200400
2012-07-09,9.680000,9.750000,9.450000,9.630000,6.325119,122500
2012-07-10,9.560000,9.700000,9.460000,9.680000,6.357960,221400
2012-07-11,9.590000,9.720000,9.490000,9.710000,6.377663,154500
2012-07-12,9.570000,9.830000,9.520000,9.760000,6.410505,349600
2012-07-13,9.730000,9.760000,9.700000,9.760000,6.410505,130000
2012-07-16,9.650000,9.750000,9.520000,9.730000,6.390799,278700
2012-07-17,9.730000,9.770000,9.620000,9.740000,6.397367,90700
2012-07-18,9.680000,9.750000,9.680000,9.730000,6.390799,117000
2012-07-19,9.650000,9.740000,9.650000,9.710000,6.377663,87000
2012-07-20,9.630000,9.750000,9.630000,9.710000,6.377663,174600
2012-07-23,9.600000,9.760000,9.600000,9.760000,6.410505,149900
2012-07-24,9.750000,9.800000,9.720000,9.770000,6.417072,220700
2012-07-25,9.800000,9.870000,9.700000,9.750000,6.403937,203600
2012-07-26,9.840000,9.930000,9.730000,9.910000,6.509025,316900
2012-07-27,9.860000,9.880000,9.750000,9.850000,6.469619,257300
2012-07-30,9.890000,10.000000,9.890000,10.000000,6.568141,124300
2012-07-31,9.970000,9.990000,9.940000,9.970000,6.548436,357100
2012-08-01,9.980000,10.000000,9.930000,9.940000,6.528733,306100
2012-08-02,9.950000,9.990000,9.830000,9.960000,6.541869,393600
2012-08-03,10.000000,10.090000,9.930000,10.040000,6.594413,151600
2012-08-06,10.030000,10.100000,10.030000,10.100000,6.633821,316200
2012-08-07,10.080000,10.090000,9.960000,10.000000,6.568141,288500
2012-08-08,10.000000,11.360000,10.000000,10.220000,6.712638,308800
2012-08-09,10.200000,10.250000,10.110000,10.160000,6.673229,420300
2012-08-10,10.130000,10.360000,10.100000,10.220000,6.712638,318300
2012-08-13,10.220000,10.340000,10.200000,10.240000,6.725776,341500
2012-08-14,10.280000,10.390000,10.250000,10.360000,6.804593,310100
2012-08-15,10.390000,10.470000,10.230000,10.360000,6.804593,260300
2012-08-16,10.390000,10.480000,10.290000,10.380000,6.817731,322900
2012-08-17,10.350000,10.460000,10.310000,10.350000,6.798025,318000
2012-08-20,10.380000,10.600000,10.380000,10.410000,6.837433,337600
2012-08-21,10.430000,10.570000,10.410000,10.460000,6.870275,472600
2012-08-22,10.460000,10.680000,10.440000,10.630000,6.981934,665800
2012-08-23,10.630000,10.890000,10.560000,10.800000,7.093592,1824800
2012-08-24,10.770000,11.090000,10.770000,10.960000,7.198680,231200
