Date,Open,High,Low,Close,Adj Close,Volume
2013-02-11,6.068627,6.156863,5.960784,6.127451,5.140005,92004
2013-02-12,6.323529,6.509804,6.323529,6.509804,5.460741,17238
2013-02-13,6.519608,6.686275,6.519608,6.637255,5.567654,75174
2013-02-14,7.107843,8.147059,7.107843,7.323529,6.143333,41514
2013-02-15,7.284314,7.284314,7.019608,7.156863,6.003525,18258
2013-02-19,6.941176,6.941176,5.941176,6.029412,5.057765,232356
2013-02-20,5.823529,6.000000,5.627451,5.627451,4.720581,223176
2013-02-21,5.549020,6.235294,5.549020,5.627451,4.720581,1619352
2013-02-22,5.950980,5.950980,5.588235,5.745098,4.819268,899538
2013-02-25,5.892157,6.009804,5.862745,5.941176,4.983747,1653930
2013-02-26,5.960784,6.107843,5.843137,6.009804,5.041317,555084
2013-02-27,5.872549,5.921569,5.705882,5.774510,4.843941,1576104
2013-02-28,5.735294,5.735294,5.529412,5.549020,4.654789,597108
2013-03-01,5.941176,6.029412,5.676471,5.745098,4.819268,5949354
2013-03-04,5.598039,5.676471,5.470588,5.519608,4.630116,1036218
2013-03-05,5.764706,5.774510,5.647059,5.656863,4.745253,649434
2013-03-06,5.745098,6.215686,5.627451,6.098039,5.115333,1794384
2013-03-07,6.235294,6.235294,6.009804,6.029412,5.057765,776628
2013-03-08,6.058824,6.205882,6.009804,6.196078,5.197573,1899852
2013-03-11,6.078431,6.127451,5.696078,5.774510,4.843941,3214122
2013-03-12,5.941176,6.078431,5.892157,5.980392,5.016645,1844976
2013-03-13,6.098039,6.127451,5.931373,5.941176,4.983747,2410872
2013-03-14,6.039216,6.127451,5.960784,6.019608,5.049541,3249516
2013-03-15,6.009804,6.078431,5.754902,5.843137,4.901508,26537340
2013-03-18,5.833333,5.862745,5.735294,5.764706,4.835717,1430142
2013-03-19,5.735294,5.803922,5.666667,5.725490,4.802820,718386
2013-03-20,5.666667,5.686275,5.352941,5.372549,4.506756,1235118
2013-03-21,5.480392,5.519608,5.352941,5.382353,4.514979,1434528
2013-03-22,5.352941,5.352941,5.215686,5.235294,4.391620,818346
2013-03-25,5.235294,5.245098,5.166667,5.166667,4.334053,447882
2013-03-26,5.362745,5.441176,5.362745,5.421569,4.547876,1435854
2013-03-27,5.500000,5.617647,5.480392,5.598039,4.695909,546006
2013-03-28,5.607843,5.686275,5.509804,5.539216,4.646564,593028
2013-04-01,5.558824,5.558824,5.480392,5.509804,4.621892,515610
2013-04-02,5.539216,5.598039,5.421569,5.441176,4.564324,714306
2013-04-03,5.460784,5.509804,5.205882,5.235294,4.391620,750618
2013-04-04,5.284314,5.441176,5.156863,5.421569,4.547876,490212
2013-04-05,5.392157,5.509804,5.392157,5.460784,4.580771,379950
2013-04-08,5.549020,5.578431,5.519608,5.539216,4.646564,225114
2013-04-09,5.637255,5.725490,5.637255,5.725490,4.802820,154530
2013-04-10,5.696078,5.696078,5.598039,5.637255,4.728805,368628
2013-04-11,5.578431,5.627451,5.431373,5.431373,4.556101,242250
2013-04-12,5.372549,5.421569,5.117647,5.117647,4.292933,506634
2013-04-15,4.686275,4.735294,4.519608,4.549020,3.815940,562632
2013-04-16,4.607843,4.686275,4.382353,4.382353,3.676131,435336
2013-04-17,4.225490,4.303922,3.901961,3.921569,3.289603,623322
2013-04-18,3.931373,3.960784,3.862745,3.950980,3.314275,231744
2013-04-19,3.892157,3.941176,3.774510,3.803922,3.190915,336804
2013-04-22,3.872549,3.931373,3.794118,3.794118,3.182691,296514
2013-04-23,3.872549,3.931373,3.803922,3.843137,3.223811,247146
2013-04-24,3.960784,4.147059,3.941176,4.137255,3.470531,380256
2013-04-25,4.147059,4.147059,3.980392,4.049020,3.396516,368934
2013-04-26,4.039216,4.078431,3.970588,3.970588,3.330723,110364
2013-04-29,3.970588,4.029412,3.911765,3.960784,3.322499,259080
2013-04-30,3.813725,3.862745,3.705882,3.774510,3.166244,478890
2013-05-01,3.725490,3.735294,3.637255,3.705882,3.108675,448596
2013-05-02,3.686275,3.725490,3.549020,3.637255,3.051106,437682
2013-05-03,3.450980,3.519608,3.431373,3.480392,2.919523,455022
2013-05-06,3.529412,3.549020,3.490196,3.509804,2.944195,184518
2013-05-07,3.460784,3.549020,3.431373,3.480392,2.919523,393618
2013-05-08,3.676471,3.872549,3.598039,3.872549,3.248483,675954
2013-05-09,3.794118,4.019608,3.725490,3.754902,3.149795,977874
2013-05-10,3.666667,3.686275,3.568627,3.598039,3.018210,330174
2013-05-13,3.578431,3.627451,3.500000,3.500000,2.935971,525504
2013-05-14,3.480392,3.539216,3.441176,3.460784,2.903075,277134
2013-05-15,3.392157,3.450980,3.294118,3.294118,2.763267,246534
2013-05-16,3.215686,3.225490,3.049020,3.058824,2.565891,1151478
2013-05-17,3.039216,3.068627,2.852941,2.852941,2.393186,1326102
2013-05-20,2.784314,2.843137,2.725490,2.803922,2.352067,1792956
2013-05-21,2.725490,2.754902,2.666667,2.725490,2.286274,464100
2013-05-22,2.745098,2.901961,2.676471,2.745098,2.302722,1021122
2013-05-23,2.823529,2.882353,2.813725,2.813725,2.360290,296922
2013-05-24,2.941176,3.029412,2.941176,2.950980,2.475426,470832
2013-05-28,3.029412,3.049020,2.901961,2.970588,2.491874,400146
2013-05-29,2.950980,2.990196,2.921569,2.970588,2.491874,471342
2013-05-30,3.068627,3.215686,3.019608,3.205882,2.689250,1400154
2013-05-31,3.176471,3.588235,3.176471,3.549020,2.977091,1172184
2013-06-03,3.450980,3.509804,3.333333,3.470588,2.911299,337722
2013-06-04,3.460784,3.500000,3.284314,3.323529,2.787938,253674
2013-06-05,3.313725,3.313725,3.235294,3.294118,2.763267,196452
2013-06-06,3.392157,3.901961,3.049020,3.696078,3.100451,702474
2013-06-07,3.617647,3.666667,3.519608,3.539216,2.968867,244494
2013-06-10,3.705882,3.882353,3.656863,3.803922,3.190915,330888
2013-06-11,3.745098,3.852941,3.715686,3.745098,3.141571,184212
2013-06-12,3.833333,3.892157,3.794118,3.843137,3.223811,272340
2013-06-13,3.843137,3.941176,3.813725,3.872549,3.248483,177684
2013-06-14,3.784314,3.784314,3.607843,3.656863,3.067555,191250
2013-06-17,3.568627,3.696078,3.568627,3.686275,3.092227,83742
2013-06-18,3.460784,3.549020,3.441176,3.519608,2.952419,195432
2013-06-19,3.450980,3.568627,3.411765,3.441176,2.886626,257448
2013-06-20,3.068627,3.088235,2.892157,2.892157,2.426082,844356
2013-06-21,3.009804,3.039216,2.901961,2.921569,2.450755,1393422
2013-06-24,2.921569,2.950980,2.882353,2.882353,2.417859,429828
2013-06-25,2.843137,2.901961,2.754902,2.882353,2.417859,359448
2013-06-26,2.794118,2.794118,2.568627,2.598039,2.179362,409836
2013-06-27,2.686275,2.715686,2.607843,2.696078,2.261602,460530
2013-06-28,2.627451,2.882353,2.627451,2.882353,2.417859,321402
2013-07-01,2.941176,2.980392,2.892157,2.960784,2.483650,192882
2013-07-02,2.931373,2.960784,2.833333,2.843137,2.384962,231030
2013-07-03,2.882353,2.911765,2.823529,2.882353,2.417859,77214
2013-07-05,2.784314,2.872549,2.735294,2.764706,2.319170,169014
2013-07-08,2.754902,2.823529,2.754902,2.754902,2.310946,109344
2013-07-09,2.764706,2.950980,2.745098,2.892157,2.426082,811308
2013-07-10,2.950980,3.127451,2.931373,3.058824,2.565891,408612
2013-07-11,3.264706,3.450980,3.137255,3.441176,2.886626,383826
2013-07-12,3.264706,3.333333,3.147059,3.215686,2.697474,621486
2013-07-15,3.274510,3.343137,3.225490,3.284314,2.755043,230826
2013-07-16,3.352941,3.490196,3.323529,3.401961,2.853731,211650
2013-07-17,3.411765,3.431373,3.303922,3.362745,2.820835,264384
2013-07-18,3.421569,3.490196,3.294118,3.294118,2.763267,234396
2013-07-19,3.352941,3.421569,3.294118,3.392157,2.845507,139842
2013-07-22,3.549020,3.588235,3.441176,3.480392,2.919523,641988
2013-07-23,3.568627,3.588235,3.509804,3.588235,3.009986,462366
2013-07-24,3.627451,3.666667,3.411765,3.441176,2.886626,465834
2013-07-25,3.509804,3.519608,3.431373,3.450980,2.894850,157284
2013-07-26,3.372549,3.382353,3.196078,3.274510,2.746819,264894
2013-07-29,3.313725,3.323529,3.186275,3.235294,2.713922,188700
2013-07-30,3.186275,3.245098,3.137255,3.147059,2.639907,178092
2013-07-31,3.078431,3.107843,3.000000,3.049020,2.557667,240006
2013-08-01,3.058824,3.274510,3.058824,3.176471,2.664579,268974
2013-08-02,3.186275,3.225490,3.088235,3.107843,2.607011,233172
2013-08-05,3.225490,3.245098,3.098039,3.117647,2.615234,325584
2013-08-06,3.117647,3.156863,3.029412,3.029412,2.541219,185436
2013-08-07,3.009804,3.068627,2.970588,2.990196,2.508322,97614
2013-08-08,3.019608,3.186275,3.019608,3.186275,2.672803,251226
2013-08-09,3.186275,3.205882,3.078431,3.186275,2.672803,99246
2013-08-12,3.245098,3.352941,3.245098,3.303922,2.771491,512958
2013-08-13,3.431373,3.460784,3.362745,3.382353,2.837283,408714
2013-08-14,3.470588,3.519608,3.392157,3.519608,2.952419,585276
2013-08-15,3.519608,3.774510,3.441176,3.774510,3.166244,543762
2013-08-16,3.803922,3.892157,3.774510,3.862745,3.240259,441558
2013-08-19,3.794118,3.833333,3.696078,3.823529,3.207363,350982
2013-08-20,3.803922,3.970588,3.794118,3.960784,3.322499,409632
2013-08-21,4.049020,4.166667,4.019608,4.019608,3.371843,470730
2013-08-22,4.098039,4.166667,4.019608,4.068627,3.412963,316404
2013-08-23,4.068627,4.068627,3.725490,3.892157,3.264931,1652706
