Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,1.737221,1.737221,1.697739,1.737221,1.478562,98145
1986-03-14,1.737221,1.737221,1.697739,1.737221,1.478562,98145
1986-03-17,1.737221,1.737221,1.697739,1.697739,1.444959,12664
1986-03-18,1.697739,1.737221,1.697739,1.717480,1.461760,168430
1986-03-19,1.717480,1.737221,1.697739,1.697739,1.444959,134237
1986-03-20,1.697739,1.737221,1.677998,1.697739,1.444959,40524
1986-03-21,1.697739,1.737221,1.677998,1.697739,1.444959,76617
1986-03-24,1.697739,1.717480,1.697739,1.717480,1.461760,15197
1986-03-25,1.697739,1.697739,1.677998,1.697739,1.444959,44957
1986-03-26,1.697739,1.717480,1.677998,1.717480,1.461760,126639
1986-03-27,1.717480,1.737221,1.697739,1.697739,1.444959,30393
1986-03-31,1.697739,1.717480,1.677998,1.677998,1.428157,38625
1986-04-01,1.677998,1.717480,1.677998,1.677998,1.428157,50022
1986-04-02,1.677998,1.717480,1.677998,1.697739,1.444959,138037
1986-04-03,1.697739,1.717480,1.658256,1.717480,1.461760,34193
1986-04-04,1.658256,1.658256,1.658256,1.658256,1.411355,67752
1986-04-07,1.658256,1.697739,1.638515,1.638515,1.394552,136137
1986-04-08,1.638515,1.658256,1.599033,1.599033,1.360949,98145
1986-04-09,1.599033,1.638515,1.599033,1.599033,1.360949,37359
1986-04-10,1.599033,1.638515,1.599033,1.638515,1.394552,39258
1986-04-11,1.638515,1.638515,1.599033,1.638515,1.394552,22795
1986-04-14,1.638515,1.638515,1.599033,1.638515,1.394552,36725
1986-04-15,1.638515,1.638515,1.599033,1.599033,1.360949,8232
1986-04-16,1.599033,1.638515,1.599033,1.599033,1.360949,54455
1986-04-17,1.599033,1.658256,1.599033,1.658256,1.411355,123473
1986-04-18,1.658256,1.697739,1.638515,1.638515,1.394552,29127
1986-04-21,1.658256,1.697739,1.658256,1.658256,1.411355,49389
1986-04-22,1.658256,1.697739,1.658256,1.697739,1.444959,18996
1986-04-23,1.697739,1.697739,1.658256,1.658256,1.411355,49389
1986-04-24,1.658256,1.697739,1.658256,1.697739,1.444959,20262
1986-04-25,1.638515,1.638515,1.638515,1.638515,1.394552,32293
1986-04-28,1.638515,1.677998,1.618774,1.677998,1.428157,38625
1986-04-29,1.658256,1.658256,1.579292,1.579292,1.344147,96879
1986-04-30,1.579292,1.638515,1.579292,1.599033,1.360949,83582
1986-05-01,1.599033,1.618774,1.579292,1.579292,1.344147,70918
1986-05-02,1.579292,1.599033,1.539810,1.559551,1.327346,356489
1986-05-05,1.559551,1.579292,1.539810,1.579292,1.344147,67752
1986-05-06,1.579292,1.638515,1.579292,1.638515,1.394552,292536
1986-05-07,1.638515,1.658256,1.599033,1.638515,1.394552,236815
1986-05-08,1.638515,1.638515,1.599033,1.638515,1.394552,32926
1986-05-09,1.638515,1.638515,1.579292,1.599033,1.360949,170330
1986-05-12,1.599033,1.599033,1.579292,1.599033,1.360949,84215
1986-05-13,1.599033,1.638515,1.599033,1.638515,1.394552,79149
1986-05-14,1.638515,1.638515,1.599033,1.638515,1.394552,9498
1986-05-15,1.638515,1.638515,1.599033,1.599033,1.360949,25961
