Date,Open,High,Low,Close,Adj Close,Volume
1993-02-02,18.134991,18.599991,17.483990,18.134991,2.292957,4571776
1993-02-03,18.413990,18.413990,18.041990,18.413990,2.328233,819892
1993-02-04,18.413990,18.785990,18.227989,18.413990,2.328233,420430
1993-02-05,18.134991,18.599991,17.855989,18.134991,2.292957,340591
1993-02-08,18.320990,18.320990,18.134991,18.320990,2.316476,128629
1993-02-09,18.134991,18.413990,18.134991,18.134991,2.292957,201613
1993-02-10,18.227989,18.227989,18.134991,18.227989,2.304717,191666
1993-02-11,18.413990,18.413990,18.227989,18.413990,2.328233,172580
1993-02-12,18.227989,18.413990,18.041990,18.227989,2.304717,126747
1993-02-16,17.855989,18.134991,17.669991,17.855989,2.257682,336828
1993-02-17,17.855989,18.041990,17.855989,17.855989,2.257682,92607
1993-02-18,17.948990,18.134991,17.948990,17.948990,2.269440,83198
1993-02-19,18.041990,18.134991,17.948990,18.041990,2.281199,103091
1993-02-22,18.041990,18.134991,17.855989,18.041990,2.281199,360349
1993-02-23,18.134991,18.227989,17.948990,18.134991,2.292957,64247
1993-02-24,18.041990,18.320990,18.041990,18.041990,2.281199,22983
1993-02-25,17.948990,18.134991,17.948990,17.948990,2.269440,10752
1993-02-26,18.320990,18.320990,17.948990,18.320990,2.316476,44489
1993-03-01,18.506990,18.506990,18.134991,18.506990,2.339994,14784
1993-03-02,18.599991,18.692989,18.320990,18.599991,2.351752,62365
1993-03-03,18.878988,18.878988,18.599991,18.878988,2.387028,54301
1993-03-04,19.064989,19.157990,18.785990,19.064989,2.410545,85618
1993-03-05,19.715988,19.715988,18.878988,19.715988,2.492857,97177
1993-03-08,19.901989,20.087990,19.715988,19.901989,2.516376,46370
1993-03-09,20.552988,20.738989,20.087990,20.552988,2.598685,108333
1993-03-10,20.273989,20.738989,20.273989,20.273989,2.563410,59946
1993-03-11,20.087990,20.459990,20.087990,20.087990,2.539892,69623
1993-03-12,20.087990,20.180988,19.994989,20.087990,2.539892,85483
1993-03-15,20.273989,20.273989,19.994989,20.273989,2.563410,61021
1993-03-16,20.273989,20.273989,20.087990,20.273989,2.563410,78360
1993-03-17,19.994989,20.273989,19.994989,19.994989,2.528133,14919
1993-03-18,20.087990,20.087990,19.901989,20.087990,2.539892,87634
1993-03-19,20.366989,20.366989,19.994989,20.366989,2.575169,74193
1993-03-22,20.831987,20.831987,20.366989,20.831987,2.633962,71908
1993-03-23,21.389988,21.575989,21.017988,21.389988,2.704514,106720
1993-03-24,21.203987,21.296988,21.017988,21.203987,2.680997,56048
1993-03-25,21.017988,21.296988,20.924988,21.017988,2.682566,83198
1993-03-26,21.296988,21.296988,21.017988,21.296988,2.718176,28629
1993-03-29,21.389988,21.482988,21.296988,21.389988,2.730044,105107
1993-03-30,21.482988,21.482988,21.389988,21.482988,2.741915,50134
1993-03-31,21.854988,21.947989,21.389988,21.854988,2.789394,44892
1993-04-01,21.947989,22.226988,21.947989,21.947989,2.801264,29704
1993-04-02,21.203987,21.761988,21.203987,21.203987,2.706306,48118
1993-04-05,20.366989,21.203987,19.808989,20.366989,2.599479,86693
1993-04-06,20.366989,20.366989,19.901989,20.366989,2.599479,90457
1993-04-07,20.366989,20.552988,20.366989,20.366989,2.599479,32258
1993-04-08,20.552988,20.831987,20.459990,20.552988,2.623217,65053
1993-04-12,20.645988,20.738989,20.459990,20.645988,2.635087,33064
1993-04-13,21.017988,21.017988,20.645988,21.017988,2.682566,38172
1993-04-14,21.203987,21.203987,20.831987,21.203987,2.706306,37768
1993-04-15,21.389988,21.389988,21.296988,21.389988,2.730044,13037
1993-04-16,21.389988,21.389988,21.296988,21.389988,2.730044,10618
1993-04-19,21.575989,21.575989,21.389988,21.575989,2.753785,71505
1993-04-20,21.482988,21.482988,21.203987,21.482988,2.741915,49731
1993-04-21,21.203987,21.482988,21.203987,21.203987,2.706306,15860
1993-04-22,21.203987,21.389988,21.203987,21.203987,2.706306,39784
1993-04-23,20.831987,21.017988,20.831987,20.831987,2.658827,49596
1993-04-26,20.831987,20.924988,20.831987,20.831987,2.658827,24865
1993-04-27,19.715988,20.831987,19.529989,19.715988,2.516389,107661
1993-04-28,19.715988,19.901989,19.622990,19.715988,2.516389,23924
1993-04-29,19.436989,19.715988,19.436989,19.436989,2.480780,95295
1993-04-30,19.250990,19.436989,19.064989,19.250990,2.457041,72849
1993-05-03,19.343988,19.343988,19.157990,19.343988,2.468910,29166
1993-05-04,19.622990,19.622990,19.343988,19.622990,2.504520,38978
1993-05-05,19.994989,20.087990,19.622990,19.994989,2.551999,43817
1993-05-06,20.180988,20.273989,19.994989,20.180988,2.575738,38306
1993-05-07,19.994989,20.180988,19.901989,19.994989,2.551999,11290
1993-05-10,20.087990,20.087990,19.901989,20.087990,2.563869,14650
1993-05-11,20.087990,20.180988,19.901989,20.087990,2.563869,19086
1993-05-12,19.901989,20.087990,19.901989,19.901989,2.540130,23118
1993-05-13,19.994989,20.087990,19.901989,19.994989,2.551999,13978
1993-05-14,19.808989,19.901989,19.808989,19.808989,2.528260,9677
1993-05-17,19.436989,19.715988,19.436989,19.436989,2.480780,14112
1993-05-18,19.343988,19.529989,19.250990,19.343988,2.468910,22311
1993-05-19,19.808989,19.808989,19.343988,19.808989,2.528260,20833
1993-05-20,20.087990,20.087990,19.901989,20.087990,2.563869,38575
1993-05-21,19.529989,20.087990,19.436989,19.529989,2.492651,59274
1993-05-24,19.343988,19.622990,19.343988,19.343988,2.468910,15053
1993-05-25,19.250990,19.250990,19.157990,19.250990,2.457041,32930
1993-05-26,18.785990,19.343988,18.785990,18.785990,2.397692,33198
1993-05-27,19.250990,19.343988,18.971989,19.250990,2.457041,149193
1993-05-28,19.250990,19.250990,19.157990,19.250990,2.457041,20967
1993-06-01,19.250990,19.436989,18.971989,19.250990,2.457041,105376
1993-06-02,19.157990,19.343988,19.157990,19.157990,2.445172,66935
1993-06-03,18.506990,19.157990,18.413990,18.506990,2.362084,70430
1993-06-04,18.785990,18.785990,18.506990,18.785990,2.397692,34005
1993-06-07,19.343988,19.436989,18.878988,19.343988,2.468910,26478
1993-06-08,19.343988,19.622990,19.250990,19.343988,2.468910,15725
1993-06-09,19.250990,19.343988,19.157990,19.250990,2.457041,8870
1993-06-10,19.157990,19.250990,18.971989,19.157990,2.445172,26747
1993-06-11,19.157990,19.250990,19.064989,19.157990,2.445172,20161
1993-06-14,18.785990,19.157990,18.785990,18.785990,2.397692,21505
1993-06-15,19.250990,19.250990,18.971989,19.250990,2.457041,17338
1993-06-16,19.343988,19.343988,19.157990,19.343988,2.468910,8198
1993-06-17,19.343988,19.343988,19.064989,19.343988,2.468910,28897
1993-06-18,19.994989,19.994989,19.436989,19.994989,2.551999,35887
1993-06-21,20.087990,20.087990,19.901989,20.087990,2.563869,28091
1993-06-22,20.273989,20.552988,19.994989,20.273989,2.587608,63172
1993-06-23,20.831987,21.017988,20.180988,20.831987,2.658827,51612
1993-06-24,20.645988,20.645988,20.366989,20.645988,2.681497,50268
1993-06-25,20.924988,20.924988,20.459990,20.924988,2.717733,80645
1993-06-28,20.924988,21.203987,20.831987,20.924988,2.717733,21774
1993-06-29,21.203987,21.296988,21.017988,21.203987,2.753968,43817
1993-06-30,21.296988,21.482988,21.017988,21.296988,2.766048,72177
1993-07-01,21.575989,21.854988,21.389988,21.575989,2.802285,31989
1993-07-02,21.575989,21.575989,21.296988,21.575989,2.802285,15053
1993-07-06,21.296988,21.482988,21.110989,21.296988,2.766048,22043
1993-07-07,21.296988,21.482988,21.110989,21.296988,2.766048,25134
1993-07-08,21.575989,21.668987,21.296988,21.575989,2.802285,67338
1993-07-09,21.575989,21.761988,21.575989,21.575989,2.802285,29166
1993-07-12,21.761988,21.761988,21.482988,21.761988,2.826443,30779
1993-07-13,22.133987,22.133987,21.668987,22.133987,2.874758,23387
1993-07-14,22.040989,22.133987,21.761988,22.040989,2.862679,63575
1993-07-15,22.226988,22.226988,21.947989,22.226988,2.886838,16935
1993-07-16,22.040989,22.319988,22.040989,22.040989,2.862679,13978
1993-07-19,21.575989,22.133987,21.575989,21.575989,2.802285,40457
1993-07-20,21.203987,21.482988,21.110989,21.203987,2.753968,20295
1993-07-21,20.924988,21.203987,20.831987,20.924988,2.717733,58064
1993-07-22,21.203987,21.203987,20.924988,21.203987,2.753968,146102
1993-07-23,20.924988,21.203987,20.924988,20.924988,2.717733,87231
1993-07-26,20.831987,21.017988,20.831987,20.831987,2.705654,11155
1993-07-27,20.831987,21.017988,20.738989,20.831987,2.705654,7123
1993-07-28,20.924988,21.017988,20.831987,20.924988,2.717733,23118
1993-07-29,21.296988,21.296988,20.831987,21.296988,2.766048,50940
1993-07-30,21.575989,21.668987,21.389988,21.575989,2.802285,8333
1993-08-02,21.575989,21.761988,21.482988,21.575989,2.802285,24731
1993-08-03,21.389988,21.575989,21.389988,21.389988,2.778127,40457
1993-08-04,21.482988,21.575989,21.389988,21.482988,2.790205,12768
1993-08-05,21.389988,21.482988,21.296988,21.389988,2.778127,3494
1993-08-06,21.575989,21.575989,21.389988,21.575989,2.802285,23252
1993-08-09,21.761988,21.947989,21.575989,21.761988,2.826443,6048
1993-08-10,21.389988,21.668987,21.296988,21.389988,2.778127,26747
1993-08-11,21.482988,21.482988,21.389988,21.482988,2.790205,30645
1993-08-12,21.575989,21.575989,21.389988,21.575989,2.802285,37634
1993-08-13,21.947989,21.947989,21.482988,21.947989,2.850600,22446
1993-08-16,22.226988,22.319988,22.040989,22.226988,2.886838,18413
1993-08-17,22.226988,22.412987,22.133987,22.226988,2.886838,64650
1993-08-18,22.226988,22.319988,22.133987,22.226988,2.886838,42876
1993-08-19,22.226988,22.319988,22.133987,22.226988,2.886838,40322
1993-08-20,22.226988,22.319988,22.133987,22.226988,2.886838,43548
1993-08-23,22.505987,22.505987,22.133987,22.505987,2.923074,108467
1993-08-24,22.505987,22.598988,22.319988,22.505987,2.923074,9677
1993-08-25,22.505987,22.505987,22.319988,22.505987,2.923074,10483
1993-08-26,22.505987,22.598988,22.505987,22.505987,2.923074,10215
1993-08-27,22.784986,22.877987,22.505987,22.784986,2.959310,20026
1993-08-30,22.784986,22.970987,22.505987,22.784986,2.959310,16935
1993-08-31,23.249987,23.249987,22.784986,23.249987,3.019704,29704
1993-09-01,23.063988,23.435987,23.063988,23.063988,2.995545,63844
1993-09-02,23.435987,23.435987,23.156986,23.435987,3.043861,16263
1993-09-03,22.970987,23.249987,22.877987,22.970987,2.983467,48655
1993-09-07,22.784986,23.063988,22.784986,22.784986,2.959310,13440
1993-09-08,22.784986,22.784986,22.598988,22.784986,2.959310,28225
1993-09-09,22.691986,22.691986,22.598988,22.691986,2.947229,2688
1993-09-10,22.505987,22.691986,22.505987,22.505987,2.923074,23924
1993-09-13,22.784986,22.784986,22.598988,22.784986,2.959310,30376
1993-09-14,22.319988,22.784986,22.319988,22.319988,2.898916,53763
1993-09-15,22.412987,22.505987,22.319988,22.412987,2.910993,30913
1993-09-16,22.505987,22.505987,22.412987,22.505987,2.923074,12365
1993-09-17,22.412987,22.598988,22.412987,22.412987,2.910993,50268
1993-09-20,22.412987,22.505987,22.319988,22.412987,2.910993,19623
1993-09-21,22.133987,22.505987,21.947989,22.133987,2.874758,159946
1993-09-22,22.133987,22.133987,21.947989,22.133987,2.874758,100134
1993-09-23,22.505987,22.505987,22.133987,22.505987,2.923074,19220
1993-09-24,22.319988,22.319988,22.226988,22.319988,2.946112,47983
1993-09-27,22.505987,22.505987,22.133987,22.505987,2.970664,34408
1993-09-28,22.505987,22.505987,22.319988,22.505987,2.970664,55645
1993-09-29,23.063988,23.063988,22.691986,23.063988,3.044315,7258
1993-09-30,23.528988,23.528988,22.970987,23.528988,3.105694,24462
1993-10-01,23.621986,23.714987,23.528988,23.621986,3.117966,35887
1993-10-04,23.621986,23.621986,23.435987,23.621986,3.117966,39112
1993-10-05,23.435987,23.528988,23.342987,23.435987,3.093418,4301
1993-10-06,23.435987,23.528988,23.249987,23.435987,3.093418,19623
1993-10-07,23.156986,23.249987,23.156986,23.156986,3.056591,4838
1993-10-08,23.249987,23.342987,23.249987,23.249987,3.068867,30913
1993-10-11,22.784986,23.249987,22.691986,22.784986,3.007489,29301
1993-10-12,22.505987,22.598988,22.505987,22.505987,2.970664,6182
1993-10-13,22.226988,22.505987,22.226988,22.226988,2.933838,18010
1993-10-14,22.040989,22.133987,21.854988,22.040989,2.909286,870430
1993-10-15,22.133987,22.226988,22.133987,22.133987,2.921561,94892
1993-10-18,22.040989,22.226988,22.040989,22.040989,2.909286,58870
1993-10-19,22.040989,22.133987,21.947989,22.040989,2.909286,134139
