Date,Open,High,Low,Close,Adj Close,Volume
2010-05-11,10.500000,10.500000,8.000000,9.750000,6.434287,230400
2010-05-12,9.500000,9.500000,9.000000,9.375000,6.186814,110000
2010-05-13,9.000000,9.625000,9.000000,9.375000,6.186814,223200
2010-05-14,9.350000,9.350000,9.250000,9.325000,6.153817,26800
2010-05-17,9.312500,9.725000,9.287500,9.287500,6.129069,249600
2010-05-18,9.250000,9.425000,9.100000,9.175000,6.054826,2888000
2010-05-19,9.062500,9.187500,9.062500,9.125000,6.021831,89200
2010-05-20,9.000000,9.000000,9.000000,9.000000,5.939340,88800
2010-05-21,8.750000,9.187500,8.750000,9.062500,5.980586,64400
2010-05-24,8.875000,8.875000,8.875000,8.875000,5.856848,4800
2010-05-25,9.162500,9.162500,8.750000,8.750000,5.774359,90400
2010-05-26,8.750000,8.775000,8.750000,8.775000,5.790855,2800
2010-05-27,8.750000,9.000000,8.750000,9.000000,5.939340,10000
2010-05-28,8.750000,9.000000,8.750000,8.750000,5.774359,34400
2010-06-01,8.750000,8.875000,8.750000,8.750000,5.774359,112000
2010-06-02,8.750000,8.812500,8.437500,8.625000,5.691868,184800
2010-06-03,8.625000,8.625000,8.500000,8.595000,5.672071,8800
2010-06-04,8.500000,8.500000,8.025000,8.125000,5.361903,9200
2010-06-07,8.250000,8.312500,8.250000,8.312500,5.485639,46400
2010-06-08,8.025000,8.375000,8.012500,8.375000,5.526886,4000
2010-06-09,8.387500,8.500000,8.125000,8.500000,5.609376,3200
2010-06-10,8.125000,8.500000,8.125000,8.500000,5.609376,90400
2010-06-11,8.500000,8.625000,8.500000,8.562500,5.650621,54000
2010-06-14,8.525000,8.875000,8.525000,8.875000,5.856848,65200
2010-06-15,8.850000,9.062500,8.850000,9.062500,5.980586,19600
2010-06-16,9.000000,9.062500,9.000000,9.025000,5.955838,59600
2010-06-17,9.000000,9.000000,9.000000,9.000000,5.939340,54400
2010-06-18,9.000000,9.062500,9.000000,9.062500,5.980586,49600
2010-06-21,9.087500,9.305000,9.062500,9.122500,6.020183,46400
2010-06-22,9.087500,9.100000,9.000000,9.000000,5.939340,53600
2010-06-23,9.000000,9.147500,8.900000,9.147500,6.036680,32000
2010-06-24,9.137500,9.162500,8.562500,8.590000,5.668770,44800
2010-06-25,8.637500,8.672500,8.562500,8.562500,5.650621,22400
2010-06-28,8.560000,8.560000,8.475000,8.475000,5.592879,5600
2010-06-29,8.452500,8.462500,8.360000,8.442500,5.571433,4000
2010-06-30,8.437500,8.537500,8.387500,8.407500,5.548335,32000
2010-07-01,8.375000,8.410000,8.125000,8.250000,5.444395,79600
2010-07-02,8.312500,8.315000,8.250000,8.250000,5.444395,44000
2010-07-06,8.317500,8.317500,7.987500,8.002500,5.281063,36800
2010-07-07,8.172500,8.250000,8.062500,8.062500,5.320659,887200
2010-07-08,8.265000,9.040000,8.170000,8.212500,5.419648,2865200
2010-07-09,8.217500,8.250000,8.127500,8.195000,5.408101,36800
2010-07-12,8.207500,8.700000,8.160000,8.197500,5.409749,113600
2010-07-13,8.325000,8.415000,8.280000,8.412500,5.551633,676000
2010-07-14,8.395000,8.560000,8.395000,8.480000,5.596179,29600
2010-07-15,8.525000,8.610000,8.475000,8.502500,5.611026,63200
2010-07-16,8.572500,8.725000,8.337500,8.520000,5.622575,915200
2010-07-19,8.427500,8.487500,8.212500,8.270000,5.457594,123600
2010-07-20,8.247500,8.345000,8.247500,8.290000,5.470792,70400
2010-07-21,8.095000,8.300000,8.095000,8.250000,5.444395,139200
2010-07-22,8.275000,8.372500,8.235000,8.250000,5.444395,94800
2010-07-23,8.312500,8.437500,8.250000,8.270000,5.457594,51600
2010-07-26,8.250000,8.327500,8.237500,8.260000,5.450995,39600
2010-07-27,8.262500,8.262500,8.200000,8.200000,5.411399,42000
2010-07-28,8.212500,8.237500,8.060000,8.135000,5.368503,55200
2010-07-29,8.150000,8.185000,8.040000,8.087500,5.337157,156000
2010-07-30,8.147500,8.150000,8.062500,8.117500,5.356956,202000
2010-08-02,8.150000,8.150000,8.102500,8.125000,5.361903,552000
2010-08-03,8.125000,8.187500,8.062500,8.100000,5.345406,235600
2010-08-04,8.102500,8.125000,8.100000,8.100000,5.345406,79200
2010-08-05,8.095000,8.105000,8.062500,8.097500,5.343756,45200
2010-08-06,8.060000,8.130000,8.000000,8.122500,5.360254,617600
2010-08-09,8.205000,8.205000,8.100000,8.167500,5.389950,130800
2010-08-10,8.127500,8.127500,8.090000,8.100000,5.345406,86000
2010-08-11,8.010000,8.062500,7.990000,7.997500,5.277762,96000
2010-08-12,8.000000,8.125000,7.985000,7.997500,5.277762,51600
2010-08-13,8.062500,8.117500,7.962500,8.000000,5.279413,96400
2010-08-16,8.250000,8.872500,8.250000,8.432500,5.564832,338000
2010-08-17,8.575000,8.637500,8.482500,8.577500,5.660522,244800
2010-08-18,8.590000,8.807500,8.475000,8.717500,5.752910,432400
2010-08-19,8.667500,8.802500,8.590000,8.787500,5.799106,1253200
2010-08-20,8.787500,8.852500,8.775000,8.850000,5.840350,622800
2010-08-23,8.830000,8.992500,8.827500,8.937500,5.898095,148800
2010-08-24,9.012500,9.012500,8.867500,8.920000,5.886544,247600
2010-08-25,8.880000,9.060000,8.855000,8.950000,5.906344,230400
2010-08-26,8.932500,9.087500,8.932500,9.077500,5.990485,296000
2010-08-27,9.185000,9.302500,9.097500,9.242500,6.099372,240800
2010-08-30,9.312500,9.537500,9.277500,9.492500,6.264356,272000
2010-08-31,9.495000,9.500000,9.445000,9.452500,6.237958,570000
2010-09-01,9.537500,9.947500,9.522500,9.770000,6.447484,185200
2010-09-02,9.752500,10.247500,9.752500,10.245000,6.760949,298400
2010-09-03,10.352500,10.415000,10.132500,10.242500,6.759300,148400
2010-09-07,10.137500,10.137500,9.875000,10.002500,6.600916,351200
2010-09-08,9.967500,10.117500,9.967500,10.075000,6.648760,132400
2010-09-09,10.187500,10.190000,10.032500,10.090000,6.658660,127600
2010-09-10,9.985000,10.142500,9.865000,10.142500,6.693305,84400
2010-09-13,10.400000,10.400000,10.250000,10.280000,6.784045,239200
2010-09-14,10.412500,10.557500,10.412500,10.537500,6.953978,196800
2010-09-15,10.625000,10.747500,10.592500,10.625000,7.011720,159600
2010-09-16,10.625000,10.675000,10.497500,10.647500,7.026567,134000
2010-09-17,10.682500,11.375000,10.500000,11.125000,7.341684,1307200
2010-09-20,11.030000,11.112500,10.925000,11.062500,7.300439,240400
2010-09-21,11.125000,11.125000,10.875000,10.997500,7.257545,124400
2010-09-22,11.000000,11.312500,11.000000,11.010000,7.265793,82000
2010-09-23,10.960000,11.007500,10.940000,10.955000,7.229496,110400
2010-09-24,10.955000,11.035000,10.942500,11.010000,7.265793,306400
2010-09-27,11.062500,11.062500,11.010000,11.025000,7.275690,218400
2010-09-28,11.000000,11.000000,10.875000,10.992500,7.254245,76800
2010-09-29,10.997500,11.062500,10.962500,11.015000,7.269093,182000
2010-09-30,11.060000,11.060000,10.812500,10.990000,7.252594,122400
2010-10-01,11.087500,11.087500,10.987500,11.002500,7.260844,218000
2010-10-04,11.022500,11.062500,10.847500,10.877500,7.178352,111600
2010-10-05,10.860000,11.227500,10.830000,11.227500,7.409329,470800
2010-10-06,11.415000,11.415000,11.065000,11.240000,7.417578,207200
2010-10-07,11.200000,11.272500,11.125000,11.267500,7.435724,57200
2010-10-08,11.212500,11.265000,11.070000,11.257500,7.429123,86000
2010-10-11,11.500000,11.525000,11.057500,11.090000,7.318587,337200
