Date,Open,High,Low,Close,Adj Close,Volume
1999-11-16,6.602641,6.752701,6.602641,6.752701,4.786394,141943
1999-11-17,6.777711,6.902761,6.777711,6.865246,4.866166,63475
1999-11-18,6.890256,6.902761,6.890256,6.902761,4.892758,12995
1999-11-19,6.902761,6.902761,6.802721,6.815226,4.830712,18493
1999-11-22,6.815226,6.877751,6.815226,6.865246,4.866166,14994
1999-11-23,6.865246,6.927771,6.865246,6.927771,4.910486,8497
1999-11-24,6.927771,6.927771,6.902761,6.902761,4.892758,7497
1999-11-26,6.902761,6.902761,6.902761,6.902761,4.892758,0
1999-11-29,6.902761,6.902761,6.865246,6.865246,4.866166,8996
1999-11-30,6.902761,6.915266,6.902761,6.915266,4.901621,5498
1999-12-01,6.927771,6.927771,6.915266,6.915266,4.901621,1499
1999-12-02,6.902761,6.915266,6.902761,6.915266,4.901621,6997
1999-12-03,6.902761,6.902761,6.902761,6.902761,4.892758,500
1999-12-06,6.852741,6.852741,6.802721,6.802721,4.821848,1999
1999-12-07,6.752701,6.777711,6.752701,6.777711,4.804121,3499
1999-12-08,6.577631,6.590136,6.577631,6.590136,4.671166,11495
1999-12-09,6.590136,6.602641,6.590136,6.590136,4.671166,2499
1999-12-10,6.602641,6.602641,6.602641,6.602641,4.680030,1000
1999-12-13,6.552621,6.577631,6.552621,6.577631,4.662302,2999
1999-12-14,6.577631,6.577631,6.577631,6.577631,4.662302,1000
1999-12-15,6.702681,6.702681,6.702681,6.702681,4.750937,1999
1999-12-16,6.702681,6.702681,6.702681,6.702681,4.750937,0
1999-12-17,6.702681,6.702681,6.652661,6.652661,4.715484,6497
1999-12-20,6.627651,6.702681,6.627651,6.702681,4.750937,12495
1999-12-21,6.752701,6.752701,6.740196,6.740196,4.777530,2999
1999-12-22,6.852741,6.852741,6.852741,6.852741,4.857303,2499
1999-12-23,6.752701,6.752701,6.752701,6.752701,4.786394,3998
1999-12-27,6.752701,6.752701,6.752701,6.752701,4.786394,0
1999-12-28,6.752701,6.752701,6.752701,6.752701,4.786394,1499
1999-12-29,6.752701,6.752701,6.752701,6.752701,4.786394,500
1999-12-30,6.740196,6.752701,6.740196,6.740196,4.777530,2999
1999-12-31,6.740196,6.740196,6.740196,6.740196,4.777530,0
2000-01-03,6.727691,6.727691,6.715186,6.727691,4.768666,5998
2000-01-04,6.852741,6.902761,6.852741,6.877751,4.875031,12995
2000-01-05,6.890256,6.890256,6.890256,6.890256,4.883893,4998
2000-01-06,6.890256,6.890256,6.890256,6.890256,4.883893,500
2000-01-07,6.927771,6.927771,6.927771,6.927771,4.910486,500
2000-01-10,7.002801,7.002801,7.002801,7.002801,4.963666,8497
2000-01-11,7.102841,7.102841,7.102841,7.102841,5.034577,6497
2000-01-12,7.102841,7.102841,7.102841,7.102841,5.034577,0
2000-01-13,7.052821,7.065326,7.052821,7.065326,5.007987,14994
2000-01-14,6.902761,6.902761,6.802721,6.902761,4.892758,59476
2000-01-18,6.852741,6.852741,6.852741,6.852741,4.857303,4998
2000-01-19,6.852741,6.852741,6.852741,6.852741,4.857303,17493
2000-01-20,6.877751,6.877751,6.877751,6.877751,4.875031,1000
2000-01-21,6.802721,6.802721,6.802721,6.802721,4.821848,7997
2000-01-24,6.552621,6.552621,6.527611,6.527611,4.626846,5998
2000-01-25,6.527611,6.552621,6.527611,6.552621,4.644574,5498
2000-01-26,6.402561,6.427571,6.402561,6.427571,4.555938,1000
2000-01-27,6.177471,6.177471,5.889856,5.914866,4.192525,62975
2000-01-28,5.914866,6.002401,5.914866,6.002401,4.254572,22491
2000-01-31,6.102441,6.102441,6.077431,6.077431,4.307754,8996
2000-02-01,5.752301,5.752301,5.627251,5.677271,4.024115,23491
2000-02-02,5.852341,5.889856,5.852341,5.889856,4.174798,14994
2000-02-03,5.914866,6.052421,5.914866,6.052421,4.290027,22991
2000-02-04,6.064926,6.064926,6.064926,6.064926,4.298890,3499
2000-02-07,6.064926,6.064926,5.977391,5.977391,4.236845,29988
2000-02-08,6.002401,6.002401,5.977391,5.977391,4.236845,5498
2000-02-09,5.927371,5.927371,5.764806,5.839836,4.139344,12495
2000-02-10,5.577231,5.577231,5.264606,5.314626,3.767070,50480
2000-02-11,5.252101,5.277111,5.127051,5.227091,3.705023,44482
2000-02-14,5.227091,5.227091,5.227091,5.227091,3.705023,1999
2000-02-15,5.552221,5.552221,5.527211,5.527211,3.917753,6997
2000-02-16,5.552221,5.552221,5.502201,5.527211,3.917753,17493
2000-02-17,5.677271,5.677271,5.677271,5.677271,4.024115,1000
2000-02-18,5.902361,5.952381,5.902361,5.952381,4.219118,27489
2000-02-22,5.602241,5.627251,5.602241,5.602241,3.970933,1000
2000-02-23,6.302521,6.352541,6.290016,6.352541,4.502756,112455
2000-02-24,6.152461,6.152461,6.152461,6.152461,4.360936,15494
2000-02-25,5.952381,6.002401,5.952381,6.002401,4.254572,7997
2000-02-28,5.877351,5.889856,5.827331,5.877351,4.165936,10496
2000-02-29,5.927371,6.152461,5.927371,6.102441,4.325481,62975
2000-03-01,6.102441,6.102441,6.102441,6.102441,4.325481,500
2000-03-02,6.114946,6.177471,6.114946,6.177471,4.378664,16993
2000-03-03,6.177471,6.227491,6.152461,6.152461,4.360936,24490
2000-03-06,6.127451,6.127451,6.127451,6.127451,4.343209,500
2000-03-07,6.152461,6.164966,6.139956,6.164966,4.369800,7497
2000-03-08,6.164966,6.164966,6.127451,6.127451,4.343209,10996
2000-03-09,5.852341,5.864846,5.852341,5.864846,4.157072,2999
2000-03-10,5.752301,5.877351,5.752301,5.877351,4.165936,23491
2000-03-13,5.877351,5.939876,5.877351,5.927371,4.201390,29488
2000-03-14,5.602241,5.652261,5.502201,5.514706,3.908890,85966
2000-03-15,5.527211,5.577231,5.527211,5.552221,3.935478,16493
2000-03-16,6.002401,6.177471,5.964886,5.977391,4.236845,718213
2000-03-17,5.702281,5.802321,5.702281,5.764806,4.086162,35986
2000-03-20,5.777311,5.802321,5.777311,5.802321,4.112752,7497
2000-03-21,5.802321,5.964886,5.802321,5.927371,4.201390,25990
2000-03-22,5.852341,5.964886,5.852341,5.939876,4.210253,11495
2000-03-23,5.952381,5.952381,5.952381,5.952381,4.219118,2999
2000-03-24,5.952381,5.952381,5.939876,5.939876,4.210253,18493
2000-03-27,5.939876,5.939876,5.939876,5.939876,4.210253,0
2000-03-28,5.952381,5.964886,5.927371,5.964886,4.227981,21491
2000-03-29,5.964886,5.964886,5.964886,5.964886,4.227981,2999
2000-03-30,5.964886,5.964886,5.902361,5.902361,4.183662,125950
2000-03-31,5.914866,6.002401,5.902361,5.927371,4.201390,84966
2000-04-03,5.902361,5.927371,5.902361,5.927371,4.201390,313874
2000-04-04,5.964886,6.089936,5.964886,6.052421,4.290027,16493
