Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,3.572778,3.604256,3.557039,3.572778,1.436777,300208
1986-03-14,3.572778,3.572778,3.494082,3.525560,1.417789,175518
1986-03-17,3.525560,3.557039,3.478343,3.478343,1.398801,130249
1986-03-18,3.494082,3.541299,3.494082,3.525560,1.417789,251761
1986-03-19,3.525560,3.635734,3.462604,3.478343,1.398801,58771
1986-03-20,3.478343,3.541299,3.431126,3.541299,1.424118,136602
1986-03-21,3.525560,3.525560,3.478343,3.525560,1.417789,346271
1986-03-24,3.525560,3.557039,3.446865,3.494082,1.405130,188225
1986-03-25,3.494082,3.557039,3.462604,3.557039,1.430448,408219
1986-03-26,3.557039,3.588517,3.525560,3.588517,1.443107,187431
1986-03-27,3.714430,3.745908,3.588517,3.714430,1.493743,182666
1986-03-31,3.682951,3.682951,3.619995,3.682951,1.481083,110394
1986-04-01,3.682951,3.714430,3.682951,3.698691,1.487412,127866
1986-04-02,3.714430,3.761647,3.714430,3.730169,1.500072,428074
1986-04-03,3.730169,3.745908,3.651473,3.651473,1.468425,92127
1986-04-04,3.651473,3.714430,3.635734,3.651473,1.468425,409013
1986-04-07,3.651473,3.667212,3.541299,3.541299,1.424118,44475
1986-04-08,3.541299,3.635734,3.541299,3.635734,1.462095,45269
1986-04-09,3.651473,3.698691,3.651473,3.682951,1.481083,65124
1986-04-10,3.682951,3.761647,3.651473,3.714430,1.493743,77037
1986-04-11,3.714430,3.714430,3.667212,3.667212,1.474753,49240
1986-04-14,3.667212,3.698691,3.667212,3.667212,1.474753,65124
1986-04-15,3.667212,3.698691,3.651473,3.667212,1.474753,52417
1986-04-16,3.667212,3.698691,3.667212,3.698691,1.487412,44475
1986-04-17,3.698691,3.730169,3.651473,3.730169,1.500072,197756
1986-04-18,3.730169,3.745908,3.667212,3.714430,1.493743,100863
1986-04-21,3.698691,3.698691,3.667212,3.698691,1.487412,17472
1986-04-22,3.698691,3.714430,3.651473,3.714430,1.493743,322445
1986-04-23,3.714430,3.714430,3.651473,3.651473,1.468425,38122
1986-04-24,3.651473,3.651473,3.635734,3.635734,1.462095,133426
1986-04-25,3.635734,3.651473,3.557039,3.588517,1.443107,113571
1986-04-28,3.619995,3.761647,3.619995,3.761647,1.512730,243819
1986-04-29,3.761647,3.761647,3.572778,3.619995,1.455766,77037
1986-04-30,3.604256,3.604256,3.494082,3.509821,1.411459,46858
1986-05-01,3.509821,3.509821,3.462604,3.462604,1.392472,17472
1986-05-02,3.462604,3.462604,3.336691,3.336691,1.341837,92127
1986-05-05,3.336691,3.478343,3.336691,3.478343,1.398801,54006
1986-05-06,3.478343,3.478343,3.399647,3.399647,1.367154,51623
1986-05-07,3.399647,3.462604,3.368169,3.462604,1.392472,185049
1986-05-08,3.446865,3.446865,3.415387,3.446865,1.386142,50035
1986-05-09,3.446865,3.478343,3.446865,3.478343,1.398801,26209
1986-05-12,3.478343,3.509821,3.462604,3.509821,1.411459,88950
1986-05-13,3.509821,3.604256,3.509821,3.588517,1.443107,362155
