Date,Open,High,Low,Close,Adj Close,Volume
2003-12-18,3.500000,3.915000,3.500000,3.875000,3.754682,30861600
2003-12-19,3.800000,3.975000,3.750000,3.812500,3.694122,4060400
2003-12-22,3.800000,3.877500,3.787500,3.840000,3.720768,932400
2003-12-23,3.830000,3.862500,3.775000,3.810000,3.691700,953200
2003-12-24,3.750000,3.750000,3.612500,3.725000,3.609339,585600
2003-12-26,3.725000,3.727500,3.675000,3.685000,3.570581,964000
2003-12-29,3.675000,3.725000,3.662500,3.687500,3.573004,994000
2003-12-30,3.687500,3.792500,3.687500,3.772500,3.655364,1283200
2003-12-31,3.762500,3.875000,3.747500,3.875000,3.754682,1769600
2004-01-02,3.850000,3.997500,3.850000,3.937500,3.815241,720000
2004-01-05,4.000000,4.062500,3.950000,4.037500,3.912136,1220000
2004-01-06,4.047500,4.330000,4.037500,4.135000,4.006608,839200
2004-01-07,4.137500,4.240000,4.087500,4.155000,4.025988,1077600
2004-01-08,4.167500,4.250000,4.165000,4.187500,4.057478,384800
2004-01-09,4.142500,4.325000,4.100000,4.220000,4.088969,3350400
2004-01-12,4.227500,4.400000,4.210000,4.350000,4.214932,688000
2004-01-13,4.352500,4.450000,4.352500,4.440000,4.302139,338000
2004-01-14,4.442500,4.442500,4.390000,4.407500,4.270647,498800
2004-01-15,4.392500,4.545000,4.390000,4.475000,4.336052,180000
2004-01-16,4.495000,4.500000,4.337500,4.337500,4.202821,415600
2004-01-20,4.155000,4.207500,4.027500,4.050000,3.924248,1892400
2004-01-21,3.900000,4.080000,3.900000,4.000000,3.875800,1188800
2004-01-22,4.012500,4.112500,4.012500,4.095000,3.967850,830000
2004-01-23,4.097500,4.302500,4.097500,4.267500,4.134994,2196000
2004-01-26,4.237500,4.330000,4.232500,4.330000,4.195554,544800
2004-01-27,4.330000,4.350000,4.275000,4.312500,4.178597,1400400
2004-01-28,4.325000,4.345000,4.250000,4.250000,4.118038,532000
2004-01-29,4.250000,4.277500,4.037500,4.085000,3.958161,1028800
2004-01-30,4.075000,4.077500,3.937500,4.050000,3.924248,1107600
2004-02-02,4.080000,4.320000,4.045000,4.272500,4.139840,464000
2004-02-03,4.250000,4.250000,4.225000,4.250000,4.118038,367200
2004-02-04,4.245000,4.392500,4.150000,4.337500,4.202821,878000
2004-02-05,4.325000,4.325000,4.197500,4.207500,4.076858,302800
2004-02-06,4.175000,4.275000,4.150000,4.267500,4.134994,391600
2004-02-09,4.267500,4.300000,4.267500,4.292500,4.159218,308800
2004-02-10,4.297500,4.312500,4.187500,4.250000,4.118038,544000
2004-02-11,4.250000,4.250000,4.162500,4.250000,4.118038,729200
