Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,0.000000,5.062500,5.000000,5.031250,4.199441,5600
1986-03-14,0.000000,5.062500,5.000000,5.062500,4.225526,6000
1986-03-17,0.000000,5.031250,4.937500,4.937500,4.121189,4400
1986-03-18,0.000000,5.062500,5.000000,5.062500,4.225526,10400
1986-03-19,0.000000,5.093750,5.031250,5.031250,4.199441,12000
1986-03-20,0.000000,5.031250,5.000000,5.000000,4.173357,10000
1986-03-21,0.000000,5.000000,4.906250,4.937500,4.121189,21200
1986-03-24,0.000000,5.000000,4.968750,4.968750,4.147274,20400
1986-03-25,0.000000,4.968750,4.875000,4.875000,4.069022,4000
1986-03-26,0.000000,4.968750,4.875000,4.968750,4.147274,10400
1986-03-27,0.000000,4.968750,4.906250,4.906250,4.095109,2000
1986-03-31,0.000000,4.875000,4.812500,4.812500,4.016856,2800
1986-04-01,0.000000,5.000000,4.906250,5.000000,4.173357,22800
1986-04-02,0.000000,5.000000,4.937500,5.000000,4.173357,18000
1986-04-03,0.000000,5.312500,5.062500,5.250000,4.382027,42400
1986-04-04,0.000000,5.250000,5.125000,5.250000,4.382027,21200
1986-04-07,0.000000,5.218750,5.187500,5.218750,4.355943,6800
1986-04-08,0.000000,5.312500,5.156250,5.312500,4.434192,32000
1986-04-09,0.000000,5.406250,5.312500,5.375000,4.486358,15200
1986-04-10,0.000000,5.375000,5.281250,5.375000,4.486358,19600
1986-04-11,0.000000,5.375000,5.312500,5.343750,4.460276,25200
1986-04-14,0.000000,5.562500,5.281250,5.562500,4.642859,19200
1986-04-15,0.000000,5.625000,5.500000,5.625000,4.695026,22400
1986-04-16,0.000000,5.687500,5.531250,5.687500,4.747193,52400
1986-04-17,0.000000,5.937500,5.750000,5.812500,4.851530,37600
1986-04-18,0.000000,5.875000,5.750000,5.750000,4.799360,17200
1986-04-21,0.000000,5.968750,5.812500,5.968750,4.981943,16000
1986-04-22,0.000000,6.156250,6.000000,6.000000,5.008028,22000
1986-04-23,0.000000,5.937500,5.906250,5.906250,4.929778,6800
1986-04-24,0.000000,5.906250,5.812500,5.812500,4.851530,14800
1986-04-25,0.000000,6.062500,5.781250,6.062500,5.060196,18400
1986-04-28,0.000000,6.156250,6.062500,6.156250,5.138445,18000
1986-04-29,0.000000,6.718750,6.250000,6.625000,5.529699,87200
1986-04-30,0.000000,6.781250,6.593750,6.687500,5.581866,38000
1986-05-01,0.000000,7.000000,6.437500,7.000000,5.842700,53200
1986-05-02,0.000000,7.000000,6.875000,7.000000,5.842700,38400
1986-05-05,0.000000,6.937500,6.781250,6.937500,5.790531,40400
1986-05-06,0.000000,6.937500,6.750000,6.750000,5.634032,45200
1986-05-07,0.000000,6.812500,6.312500,6.312500,5.268863,28000
1986-05-08,0.000000,6.625000,6.250000,6.593750,5.503617,61600
1986-05-09,0.000000,6.750000,6.437500,6.750000,5.634032,51200
1986-05-12,0.000000,6.812500,6.750000,6.750000,5.634032,8000
1986-05-13,0.000000,6.812500,6.750000,6.750000,5.634032,42400
1986-05-14,0.000000,6.781250,6.625000,6.781250,5.660117,82000
1986-05-15,0.000000,6.781250,6.687500,6.750000,5.634032,18000
1986-05-16,0.000000,6.812500,6.750000,6.750000,5.634032,24400
1986-05-19,0.000000,6.812500,6.687500,6.812500,5.686200,21600
1986-05-20,0.000000,6.968750,6.781250,6.906250,5.764449,22000
