Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,0.000000,1.987145,1.936193,1.936193,1.511662,52009
1986-03-14,0.000000,1.987145,1.936193,1.961669,1.531552,80467
1986-03-17,0.000000,1.961669,1.910717,1.923455,1.501716,76542
1986-03-18,0.000000,1.910717,1.885240,1.910717,1.491771,143271
1986-03-19,0.000000,2.025360,1.897979,2.025360,1.581277,180561
1986-03-20,0.000000,2.063574,2.012622,2.038098,1.591223,141308
1986-03-21,0.000000,2.089050,2.038098,2.038098,1.591223,97149
1986-03-24,0.000000,2.012622,1.936193,1.948931,1.521607,107944
1986-03-25,0.000000,1.936193,1.910717,1.910717,1.491771,27477
1986-03-26,0.000000,2.063574,1.910717,2.063574,1.611113,96168
1986-03-27,0.000000,2.140003,2.050836,2.076312,1.621058,346401
1986-03-31,0.000000,2.101788,2.063574,2.101788,1.640948,170747
1986-04-01,0.000000,2.127265,2.076312,2.076312,1.621058,144252
1986-04-02,0.000000,2.089050,2.050836,2.050836,1.601168,125607
1986-04-03,0.000000,2.063574,2.038098,2.038098,1.591223,61822
1986-04-04,0.000000,2.025360,1.987145,1.987145,1.551442,21589
1986-04-07,0.000000,2.038098,1.936193,1.936193,1.511662,105981
1986-04-08,0.000000,2.012622,1.974407,1.999883,1.561387,66729
1986-04-09,0.000000,2.050836,1.999883,2.025360,1.581277,179579
1986-04-10,0.000000,2.089050,2.050836,2.089050,1.631003,73598
1986-04-11,0.000000,2.165479,2.063574,2.165479,1.690674,41215
1986-04-14,0.000000,2.203693,2.165479,2.203693,1.720509,380747
1986-04-15,0.000000,2.203693,2.178217,2.190955,1.710564,100093
1986-04-16,0.000000,2.203693,2.178217,2.203693,1.720509,114813
1986-04-17,0.000000,2.203693,2.140003,2.152741,1.680729,166822
1986-04-18,0.000000,2.190955,2.127265,2.190955,1.710564,128551
1986-04-21,0.000000,2.178217,2.165479,2.165479,1.690674,70654
1986-04-22,0.000000,2.165479,2.165479,2.165479,1.690674,8832
1986-04-23,0.000000,2.178217,2.165479,2.165479,1.690674,42196
1986-04-24,0.000000,2.190955,2.165479,2.190955,1.710564,116776
1986-04-25,0.000000,2.190955,2.178217,2.190955,1.710564,256121
1986-04-28,0.000000,2.178217,2.152741,2.178217,1.700619,42196
1986-04-29,0.000000,2.178217,2.140003,2.152741,1.680729,106962
1986-04-30,0.000000,2.165479,2.114526,2.114526,1.650893,11776
1986-05-01,0.000000,2.140003,2.089050,2.127265,1.660839,55935
1986-05-02,0.000000,2.114526,2.101788,2.114526,1.650893,26495
1986-05-05,0.000000,2.127265,2.101788,2.101788,1.640948,39252
1986-05-06,0.000000,2.127265,2.101788,2.114526,1.650893,24533
1986-05-07,0.000000,2.114526,2.089050,2.089050,1.631003,49065
1986-05-08,0.000000,2.140003,2.114526,2.140003,1.670784,83411
1986-05-09,0.000000,2.127265,2.101788,2.101788,1.640948,5888
1986-05-12,0.000000,2.114526,2.076312,2.089050,1.631003,50047
1986-05-13,0.000000,2.089050,2.089050,2.089050,1.631003,76542
1986-05-14,0.000000,2.076312,2.076312,2.076312,1.621058,5888
1986-05-15,0.000000,2.089050,2.089050,2.089050,1.631003,9813
1986-05-16,0.000000,2.229169,2.114526,2.229169,1.740399,45140
1986-05-19,0.000000,2.203693,2.178217,2.190955,1.710564,362102
1986-05-20,0.000000,2.216431,2.190955,2.203693,1.720509,30421
1986-05-21,0.000000,2.216431,2.190955,2.190955,1.710564,62804
1986-05-22,0.000000,2.229169,2.190955,2.229169,1.740399,172710
1986-05-23,0.000000,2.241908,2.229169,2.229169,1.740399,113832
1986-05-27,0.000000,2.280122,2.229169,2.267384,1.770235,103037
1986-05-28,0.000000,2.292860,2.254646,2.292860,1.790126,34346
1986-05-29,0.000000,2.292860,2.280122,2.280122,1.780180,11776
1986-05-30,0.000000,2.432979,2.292860,2.407503,1.879632,72617
1986-06-02,0.000000,2.432979,2.407503,2.432979,1.899522,25514
1986-06-03,0.000000,2.534884,2.432979,2.509408,1.959193,41215
1986-06-04,0.000000,2.522146,2.458455,2.496670,1.949248,91262
1986-06-05,0.000000,2.522146,2.496670,2.496670,1.949248,65748
1986-06-06,0.000000,2.522146,2.496670,2.522146,1.969138,52009
1986-06-09,0.000000,2.496670,2.496670,2.496670,1.949248,23551
1986-06-10,0.000000,2.471194,2.394765,2.420241,1.889577,48084
1986-06-11,0.000000,2.407503,2.407503,2.407503,1.879632,981
1986-06-12,0.000000,2.407503,2.407503,2.407503,1.879632,981
1986-06-13,0.000000,2.432979,2.407503,2.432979,1.899522,7850
1986-06-16,0.000000,2.471194,2.420241,2.458455,1.919412,116776
1986-06-17,0.000000,2.471194,2.458455,2.458455,1.919412,41215
1986-06-18,0.000000,2.458455,2.432979,2.432979,1.899522,36308
1986-06-19,0.000000,2.394765,2.369289,2.369289,1.849796,59860
1986-06-20,0.000000,2.369289,2.343812,2.343812,1.829906,121682
1986-06-23,0.000000,2.356551,2.356551,2.356551,1.839851,10794
1986-06-24,0.000000,2.369289,2.343812,2.343812,1.829906,15701
1986-06-25,0.000000,2.394765,2.356551,2.394765,1.869686,14720
1986-06-26,0.000000,2.420241,2.369289,2.369289,1.849796,206075
1986-06-27,0.000000,2.394765,2.343812,2.343812,1.829906,6869
1986-06-30,0.000000,2.343812,2.343812,2.343812,1.829906,1963
1986-07-01,0.000000,2.369289,2.343812,2.343812,1.829906,7850
1986-07-02,0.000000,2.369289,2.331074,2.331074,1.819961,75561
1986-07-03,0.000000,2.356551,2.331074,2.331074,1.819961,14720
1986-07-07,0.000000,2.356551,2.331074,2.331074,1.819961,21589
1986-07-08,0.000000,2.305598,2.267384,2.292860,1.790126,14720
1986-07-09,0.000000,2.254646,2.178217,2.203693,1.720509,46121
1986-07-10,0.000000,2.216431,2.190955,2.203693,1.720509,80467
1986-07-11,0.000000,2.178217,2.165479,2.165479,1.690674,49065
1986-07-14,0.000000,2.152741,2.076312,2.076312,1.621058,33364
1986-07-15,0.000000,2.101788,2.038098,2.063574,1.611113,113832
1986-07-16,0.000000,2.089050,2.063574,2.089050,1.631003,20607
1986-07-17,0.000000,2.114526,2.089050,2.089050,1.631003,53972
1986-07-18,0.000000,2.140003,2.114526,2.114526,1.650893,69673
1986-07-21,0.000000,2.292860,2.140003,2.292860,1.790126,75561
1986-07-22,0.000000,2.267384,2.241908,2.241908,1.750345,62804
1986-07-23,0.000000,2.318336,2.241908,2.241908,1.750345,72617
1986-07-24,0.000000,2.292860,2.216431,2.267384,1.770235,40234
1986-07-25,0.000000,2.292860,2.267384,2.280122,1.780180,6869
1986-07-28,0.000000,2.267384,2.267384,2.267384,1.770235,17664
1986-07-29,0.000000,2.267384,2.241908,2.241908,1.750345,62804
1986-07-30,0.000000,2.267384,2.216431,2.216431,1.730454,58878
1986-07-31,0.000000,2.216431,2.216431,2.216431,1.730454,1963
1986-08-01,0.000000,2.229169,2.178217,2.178217,1.700619,15701
1986-08-04,0.000000,2.152741,2.140003,2.140003,1.670784,9813
1986-08-05,0.000000,2.178217,2.140003,2.140003,1.670784,25514
1986-08-06,0.000000,2.114526,2.089050,2.089050,1.631003,9813
1986-08-07,0.000000,2.089050,2.063574,2.089050,1.631003,2944
1986-08-08,0.000000,2.089050,2.038098,2.038098,1.591223,60841
1986-08-11,0.000000,2.063574,2.050836,2.063574,1.611113,22570
1986-08-12,0.000000,2.089050,2.063574,2.089050,1.631003,15701
1986-08-13,0.000000,2.140003,2.076312,2.140003,1.670784,15701
1986-08-14,0.000000,2.190955,2.165479,2.190955,1.710564,31402
1986-08-15,0.000000,2.267384,2.216431,2.241908,1.750345,107944
1986-08-18,0.000000,2.292860,2.254646,2.280122,1.780180,19626
1986-08-19,0.000000,2.280122,2.165479,2.165479,1.690674,61822
1986-08-20,0.000000,2.190955,2.165479,2.190955,1.710564,2944
1986-08-21,0.000000,2.190955,2.190955,2.190955,1.710564,8832
1986-08-22,0.000000,2.190955,2.140003,2.140003,1.670784,16682
1986-08-25,0.000000,2.203693,2.165479,2.165479,1.690674,19626
1986-08-26,0.000000,2.241908,2.190955,2.241908,1.750345,54953
1986-08-27,0.000000,2.267384,2.241908,2.267384,1.770235,41215
1986-08-28,0.000000,2.254646,2.254646,2.254646,1.760290,981
