Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,1.869489,1.869489,1.869489,1.869489,0.931377,709
1986-03-14,1.869489,1.869489,1.869489,1.869489,0.931377,0
1986-03-17,1.869489,1.940035,1.869489,1.869489,0.931377,1772
1986-03-18,1.869489,1.940035,1.869489,1.940035,0.966523,1772
1986-03-19,1.940035,1.940035,1.869489,1.940035,0.966523,1418
1986-03-20,1.940035,1.940035,1.940035,1.940035,0.966523,0
1986-03-21,1.940035,1.940035,1.869489,1.940035,0.966523,1772
1986-03-24,1.940035,1.940035,1.940035,1.940035,0.966523,0
1986-03-25,1.869489,1.869489,1.869489,1.869489,0.931377,709
1986-03-26,1.869489,1.869489,1.869489,1.869489,0.931377,354
1986-03-27,1.869489,1.869489,1.869489,1.869489,0.931377,0
1986-03-31,1.869489,1.869489,1.869489,1.869489,0.931377,0
1986-04-01,1.869489,1.869489,1.798942,1.869489,0.931377,6379
1986-04-02,1.869489,1.869489,1.869489,1.869489,0.931377,709
1986-04-03,1.869489,1.940035,1.869489,1.869489,0.931377,15238
1986-04-04,1.940035,2.045855,1.940035,2.045855,1.019242,14175
1986-04-07,2.010582,2.010582,1.975309,1.975309,0.984096,5670
1986-04-08,1.975309,2.081129,1.975309,2.081129,1.036816,12049
1986-04-09,2.116402,2.116402,2.116402,2.116402,1.054388,709
1986-04-10,2.151675,2.222222,2.151675,2.222222,1.107108,3544
1986-04-11,2.222222,2.257496,2.222222,2.257496,1.124682,3544
1986-04-14,2.257496,2.257496,2.222222,2.222222,1.107108,1418
1986-04-15,2.222222,2.222222,2.222222,2.222222,1.107108,0
1986-04-16,2.222222,2.222222,2.081129,2.151675,1.071962,39690
1986-04-17,2.151675,2.151675,2.151675,2.151675,1.071962,0
1986-04-18,2.151675,2.151675,2.151675,2.151675,1.071962,354
1986-04-21,2.186949,2.186949,2.186949,2.186949,1.089536,709
1986-04-22,2.222222,2.328042,2.222222,2.328042,1.159828,16656
1986-04-23,2.328042,2.680776,2.328042,2.645503,1.317987,29768
1986-04-24,2.645503,2.645503,2.645503,2.645503,1.317987,0
1986-04-25,2.610229,2.610229,2.398589,2.398589,1.194974,17719
1986-04-28,2.469136,2.539683,2.469136,2.469136,1.230120,8505
1986-04-29,2.469136,2.539683,2.469136,2.469136,1.230120,1772
1986-04-30,2.469136,2.469136,2.469136,2.469136,1.230120,1772
1986-05-01,2.469136,2.539683,2.469136,2.539683,1.265267,6379
1986-05-02,2.539683,2.539683,2.539683,2.539683,1.265267,0
1986-05-05,2.539683,2.539683,2.539683,2.539683,1.265267,0
1986-05-06,2.539683,2.539683,2.539683,2.539683,1.265267,0
1986-05-07,2.539683,2.610229,2.469136,2.610229,1.300413,4607
1986-05-08,2.645503,2.716049,2.645503,2.716049,1.353132,2835
1986-05-09,2.751323,2.857143,2.751323,2.857143,1.423425,3544
1986-05-12,2.857143,2.998236,2.857143,2.998236,1.493717,13112
1986-05-13,2.927690,2.927690,2.927690,2.927690,1.458571,3898
1986-05-14,2.857143,2.857143,2.857143,2.857143,1.423425,3544
1986-05-15,2.821869,2.821869,2.716049,2.716049,1.353132,7442
1986-05-16,2.680776,2.680776,2.680776,2.680776,1.335559,1418
1986-05-19,2.645503,2.645503,2.610229,2.610229,1.300413,3544
1986-05-20,2.539683,2.539683,2.539683,2.539683,1.265267,3544
1986-05-21,2.539683,2.539683,2.539683,2.539683,1.265267,0
1986-05-22,2.539683,2.539683,2.539683,2.539683,1.265267,709
1986-05-23,2.539683,2.610229,2.469136,2.610229,1.300413,8151
1986-05-27,2.610229,2.610229,2.610229,2.610229,1.300413,0
1986-05-28,2.539683,2.539683,2.539683,2.539683,1.265267,354
1986-05-29,2.539683,2.539683,2.539683,2.539683,1.265267,354
1986-05-30,2.539683,2.610229,2.539683,2.610229,1.300413,3544
1986-06-02,2.645503,2.645503,2.645503,2.645503,1.317987,354
1986-06-03,2.645503,2.645503,2.645503,2.645503,1.317987,0
1986-06-04,2.645503,2.680776,2.645503,2.680776,1.335559,6379
1986-06-05,2.680776,2.680776,2.680776,2.680776,1.335559,0
1986-06-06,2.680776,2.680776,2.680776,2.680776,1.335559,0
1986-06-09,2.680776,2.680776,2.680776,2.680776,1.335559,0
1986-06-10,2.680776,2.680776,2.680776,2.680776,1.335559,0
1986-06-11,2.610229,2.610229,2.539683,2.539683,1.265267,1772
1986-06-12,2.539683,2.539683,2.539683,2.539683,1.265267,0
1986-06-13,2.539683,2.539683,2.539683,2.539683,1.265267,0
1986-06-16,2.469136,2.469136,2.398589,2.398589,1.194974,3544
1986-06-17,2.398589,2.398589,2.398589,2.398589,1.194974,709
1986-06-18,2.398589,2.398589,2.328042,2.328042,1.159828,3544
1986-06-19,2.328042,2.328042,2.257496,2.257496,1.124682,2835
1986-06-20,2.257496,2.257496,2.257496,2.257496,1.124682,709
1986-06-23,2.257496,2.257496,2.257496,2.257496,1.124682,0
1986-06-24,2.328042,2.328042,2.328042,2.328042,1.159828,4607
1986-06-25,2.398589,2.398589,2.398589,2.398589,1.194974,709
1986-06-26,2.398589,2.398589,2.398589,2.398589,1.194974,0
1986-06-27,2.398589,2.398589,2.398589,2.398589,1.194974,709
1986-06-30,2.398589,2.398589,2.398589,2.398589,1.194974,0
1986-07-01,2.398589,2.398589,2.398589,2.398589,1.194974,0
1986-07-02,2.398589,2.398589,2.398589,2.398589,1.194974,709
1986-07-03,2.398589,2.398589,2.398589,2.398589,1.194974,0
1986-07-07,2.328042,2.328042,2.328042,2.328042,1.159828,1772
1986-07-08,2.328042,2.328042,2.328042,2.328042,1.159828,0
1986-07-09,2.328042,2.328042,2.328042,2.328042,1.159828,0
1986-07-10,2.328042,2.328042,2.328042,2.328042,1.159828,0
1986-07-11,2.398589,2.398589,2.398589,2.398589,1.194974,709
1986-07-14,2.398589,2.398589,2.398589,2.398589,1.194974,0
1986-07-15,2.398589,2.398589,2.328042,2.398589,1.194974,3898
1986-07-16,2.398589,2.398589,2.328042,2.328042,1.159828,1418
1986-07-17,2.328042,2.328042,2.257496,2.328042,1.159828,1772
1986-07-18,2.328042,2.398589,2.328042,2.398589,1.194974,1418
1986-07-21,2.398589,2.398589,2.398589,2.398589,1.194974,0
1986-07-22,2.398589,2.469136,2.398589,2.469136,1.230120,2835
1986-07-23,2.398589,2.398589,2.398589,2.398589,1.194974,354
1986-07-24,2.398589,2.398589,2.398589,2.398589,1.194974,0
1986-07-25,2.398589,2.469136,2.398589,2.469136,1.230120,3544
1986-07-28,2.469136,2.469136,2.469136,2.469136,1.230120,709
1986-07-29,2.469136,2.469136,2.469136,2.469136,1.230120,0
1986-07-30,2.469136,2.469136,2.469136,2.469136,1.230120,1418
1986-07-31,2.469136,2.469136,2.469136,2.469136,1.230120,0
1986-08-01,2.398589,2.398589,2.398589,2.398589,1.194974,1772
1986-08-04,2.469136,2.469136,2.469136,2.469136,1.230120,709
1986-08-05,2.469136,2.469136,2.469136,2.469136,1.230120,709
1986-08-06,2.469136,2.469136,2.469136,2.469136,1.230120,0
1986-08-07,2.469136,2.539683,2.469136,2.539683,1.265267,3544
1986-08-08,2.469136,2.469136,2.469136,2.469136,1.230120,354
1986-08-11,2.469136,2.469136,2.469136,2.469136,1.230120,0
1986-08-12,2.539683,2.539683,2.539683,2.539683,1.265267,709
1986-08-13,2.539683,2.645503,2.539683,2.610229,1.300413,8505
1986-08-14,2.539683,2.539683,2.539683,2.539683,1.265267,3544
1986-08-15,2.469136,2.469136,2.469136,2.469136,1.230120,709
1986-08-18,2.469136,2.469136,2.469136,2.469136,1.230120,0
1986-08-19,2.469136,2.469136,2.469136,2.469136,1.230120,0
1986-08-20,2.469136,2.610229,2.469136,2.610229,1.300413,3898
1986-08-21,2.539683,2.539683,2.539683,2.539683,1.265267,709
1986-08-22,2.539683,2.539683,2.539683,2.539683,1.265267,0
1986-08-25,2.539683,2.539683,2.539683,2.539683,1.265267,354
1986-08-26,2.610229,2.610229,2.610229,2.610229,1.300413,1418
1986-08-27,2.610229,2.610229,2.610229,2.610229,1.300413,0
1986-08-28,2.610229,2.610229,2.610229,2.610229,1.300413,0
1986-08-29,2.680776,2.716049,2.680776,2.716049,1.353132,4607
1986-09-02,2.680776,2.680776,2.645503,2.645503,1.317987,1772
1986-09-03,2.645503,2.645503,2.539683,2.539683,1.265267,1772
1986-09-04,2.539683,2.610229,2.539683,2.610229,1.300413,1418
1986-09-05,2.539683,2.539683,2.469136,2.469136,1.230120,1772
1986-09-08,2.469136,2.469136,2.398589,2.469136,1.230120,3898
1986-09-09,2.469136,2.469136,2.398589,2.469136,1.230120,3544
1986-09-10,2.469136,2.469136,2.469136,2.469136,1.230120,1418
1986-09-11,2.398589,2.398589,2.398589,2.398589,1.194974,1418
1986-09-12,2.398589,2.398589,2.398589,2.398589,1.194974,3898
1986-09-15,2.398589,2.398589,2.398589,2.398589,1.194974,0
1986-09-16,2.398589,2.398589,2.328042,2.398589,1.194974,1418
1986-09-17,2.398589,2.398589,2.398589,2.398589,1.194974,0
1986-09-18,2.328042,2.328042,2.328042,2.328042,1.159828,709
1986-09-19,2.328042,2.328042,2.328042,2.328042,1.159828,0
1986-09-22,2.257496,2.257496,2.257496,2.257496,1.124682,1772
1986-09-23,2.257496,2.257496,2.257496,2.257496,1.124682,0
1986-09-24,2.257496,2.257496,2.257496,2.257496,1.124682,0
