Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,9.750000,10.990000,6.980000,7.000000,7.000000,13234100
2020-10-01,7.210000,7.340000,6.260000,6.920000,6.920000,2438800
2020-10-02,6.450000,6.840000,6.400000,6.700000,6.700000,1169200
2020-10-05,6.700000,6.700000,6.270000,6.600000,6.600000,1039000
2020-10-06,6.620000,7.490000,6.600000,7.410000,7.410000,1866200
2020-10-07,7.600000,8.480000,7.600000,8.080000,8.080000,2542100
2020-10-08,8.300000,9.430000,8.080000,9.000000,9.000000,2189700
2020-10-09,9.300000,9.330000,8.150000,8.600000,8.600000,2059400
2020-10-12,8.710000,9.060000,8.510000,8.510000,8.510000,549200
2020-10-13,8.510000,8.600000,8.150000,8.350000,8.350000,431500
2020-10-14,8.280000,8.500000,7.500000,7.760000,7.760000,992400
2020-10-15,7.750000,8.990000,7.578000,8.960000,8.960000,1498500
2020-10-16,9.000000,9.050000,8.580000,8.910000,8.910000,1582700
2020-10-19,8.910000,9.200000,8.330000,8.480000,8.480000,829400
2020-10-20,8.450000,8.790000,8.120000,8.480000,8.480000,514800
2020-10-21,8.440000,8.700000,8.050000,8.220000,8.220000,288100
2020-10-22,8.120000,8.310000,7.880000,8.140000,8.140000,202300
2020-10-23,8.160000,9.010000,8.160000,8.990000,8.990000,970100
2020-10-26,8.390000,8.698000,8.120000,8.150000,8.150000,560200
2020-10-27,8.280000,8.530000,8.250000,8.520000,8.520000,225100
2020-10-28,8.200000,8.500000,8.140000,8.220000,8.220000,508600
2020-10-29,8.220000,9.000000,8.220000,8.800000,8.800000,698500
2020-10-30,8.550000,8.850000,8.270000,8.410000,8.410000,240600
2020-11-02,8.670000,9.680000,8.520000,8.650000,8.650000,1533800
2020-11-03,8.760000,9.080000,8.650000,8.840000,8.840000,528400
2020-11-04,9.000000,9.500000,8.310000,8.520000,8.520000,2401300
2020-11-05,8.640000,9.150000,8.620000,8.940000,8.940000,536700
2020-11-06,8.940000,10.350000,8.820000,10.290000,10.290000,2024500
2020-11-09,11.090000,11.880000,10.290000,11.530000,11.530000,2402600
2020-11-10,9.820000,10.460000,9.080000,9.510000,9.510000,2076000
2020-11-11,10.050000,10.080000,9.120000,9.210000,9.210000,1039100
2020-11-12,9.210000,9.360000,8.680000,9.030000,9.030000,1723900
2020-11-13,9.030000,9.030000,8.600000,9.000000,9.000000,767800
2020-11-16,9.000000,9.300000,8.500000,8.660000,8.660000,979800
2020-11-17,8.730000,9.600000,8.680000,9.560000,9.560000,1353100
2020-11-18,9.300000,9.960000,9.010000,9.020000,9.020000,1279100
2020-11-19,9.200000,9.590000,9.080000,9.220000,9.220000,531300
2020-11-20,9.230000,9.772000,9.150000,9.600000,9.600000,910900
2020-11-23,9.820000,10.800000,9.700000,10.650000,10.650000,2176500
2020-11-24,10.670000,11.580000,10.460000,10.880000,10.880000,2195800
2020-11-25,10.700000,11.040000,10.050000,10.500000,10.500000,1096100
2020-11-27,10.650000,11.090000,10.550000,10.810000,10.810000,654500
2020-11-30,11.000000,15.655000,10.480000,15.410000,15.410000,6590600
2020-12-01,15.400000,15.585000,13.020000,13.350000,13.350000,5017700
2020-12-02,13.500000,13.780000,12.610000,13.480000,13.480000,1839600
2020-12-03,13.790000,15.000000,13.750000,14.580000,14.580000,2393300
2020-12-04,14.780000,18.030001,14.580000,17.139999,17.139999,5350800
2020-12-07,18.450001,18.510000,16.219999,16.980000,16.980000,2794600
2020-12-08,17.129999,19.870001,17.030001,19.870001,19.870001,3276800
2020-12-09,19.490000,23.180000,17.510000,18.680000,18.680000,6355800
2020-12-10,19.070000,20.600000,18.700001,20.150000,20.150000,2196800
2020-12-11,20.150000,22.260000,19.480000,19.990000,19.990000,3132600
2020-12-14,20.240000,20.240000,17.830000,18.670000,18.670000,2315900
2020-12-15,18.070000,18.398001,15.840000,16.150000,16.150000,3084900
2020-12-16,16.709999,17.500000,16.350000,16.980000,16.980000,1868200
2020-12-17,16.980000,17.230000,15.720000,15.810000,15.810000,1713700
2020-12-18,15.970000,18.850000,15.890000,17.900000,17.900000,3375900
2020-12-21,17.420000,19.500000,16.860001,17.900000,17.900000,3003800
2020-12-22,18.410000,20.700001,18.000000,18.150000,18.150000,2714500
2020-12-23,19.080000,19.340000,16.860001,17.480000,17.480000,2911900
2020-12-24,17.490000,17.830000,16.260000,17.010000,17.010000,1341600
2020-12-28,17.299999,17.299999,15.010000,16.500000,16.500000,2475000
2020-12-29,16.719999,16.719999,15.200000,16.120001,16.120001,1459900
2020-12-30,16.510000,16.510000,15.100000,15.250000,15.250000,1859800
2020-12-31,15.360000,15.470000,13.850000,14.330000,14.330000,2012500
2021-01-04,14.140000,15.979000,14.010000,15.200000,15.200000,1629400
2021-01-05,15.300000,15.590000,14.730000,15.540000,15.540000,891000
2021-01-06,15.430000,15.430000,14.148000,14.380000,14.380000,2136800
2021-01-07,14.600000,15.750000,14.210000,15.500000,15.500000,1479200
2021-01-08,15.490000,15.650000,14.730000,15.190000,15.190000,1083500
2021-01-11,15.200000,18.600000,14.680000,17.709999,17.709999,4625600
2021-01-12,17.969999,18.190001,16.059999,17.790001,17.790001,2720000
2021-01-13,17.790001,19.469999,17.790001,18.100000,18.100000,2290500
2021-01-14,18.500000,18.580000,17.110001,17.340000,17.340000,1213700
2021-01-15,17.809999,18.100000,16.200001,16.360001,16.360001,2002200
2021-01-19,16.770000,17.850000,16.020000,17.020000,17.020000,1775600
2021-01-20,17.780001,19.000000,17.170000,18.570000,18.570000,2623200
2021-01-21,18.730000,19.639999,17.850000,18.010000,18.010000,2108800
2021-01-22,18.100000,18.950001,17.680000,18.600000,18.600000,1638200
2021-01-25,19.650000,24.780001,19.450001,24.639999,24.639999,6814600
2021-01-26,24.629999,27.469999,21.799999,25.879999,25.879999,6304300
2021-01-27,24.200001,26.320000,22.510000,23.160000,23.160000,2612200
2021-01-28,24.280001,25.600000,21.020000,24.719999,24.719999,3755000
2021-01-29,23.760000,28.400000,23.750000,25.490000,25.490000,3769000
2021-02-01,26.170000,29.180000,25.150000,28.780001,28.780001,2850500
2021-02-02,30.000000,31.000000,28.010000,29.379999,29.379999,2282200
